🔴 Przed jamnikiem uderz czołem, jamnik górą chociaż dołem | LIVE #2
🔗 https://www.youtube.com/watch?v=n62fW7lX9yc

1:  Witajcie serdecznie na drugim livestreamie w trybie Q&A.
11766:  To nie jest tak, że jak w Polsce trzeba przyjść i pocałować w pierścień feudalny, bo o, wielki profesor.
11771:  Nie, tam ludzie są wielcy i prawdziwy wielkość człowieka poznaje się po tym, że on nie mówi o swojej wielkości.
11781:  gdyby istniał gwarantowany dochód podstawowy, byłbym dużo spokojniejszy i odważniejszy w pracy.
11785:  Tak, chodzi też o to, co jest istotą kapitalizmu, zauważcie.
11789:  Kapitalizm i jego potęga polega na tym, że ryzykujemy, ale trzeba mieć czym ryzykować.
11796:  Nie gra się na giełdzie wtedy, kiedy mamy ten swój tysiączek, który zakumulowaliśmy i to powie każdy analityk giełdowy i wydajemy ten tysiączek i się wypłukujemy ze wszystkiego, bo on już zagramy.
11807:  Tak robi kretyn.
11808:  Mądry gracz na giełdzie ma 11 tysięcy zakumulowane, a gra 12 tysiącem albo następnym dziesiątkiem tysięcy.
11818:  Marmurencjo, witamy w gronie trybutariuszy.
11823:  Zadanie.
11824:  Skoro Krzysztof spędził 23 lata na edukacji, jest to więcej niż połowa.
11827:  To w jakim jest wieku?
11828:  Obliżnie wiek Krzysztofa.
11829:  Nie musisz, podałem go, miałem 32 lata.
11831:  Psuje zabawę matematyką.
11834:  Myślę, że łatwo jest odróżnić pasjonatów od wyrobników na uczelni.
11836:  Tak, robię to całe życie.
11839:  I wiecie, jaka jest smutna tego konkluzja?
11842:  Pasjonatów wciąż mogę policzyć na palcach dwóch rąk.
11845:  Witamy przeciętnego człowieka.
11847:  Dzięki wielkie.
11847:  Dzięki za inspirację w sprawie patologii polskiego systemu edukacji.
11851:  Poznałem świetne vlogi.
11852:  Wzajemnie i bardzo się cieszę, że przyniosły jakąś inspirację.
11857:  Czy edukacja domowa, przynajmniej w okresie szkoły podstawowej i wczesnoszkolnym, nie wpłynie negatywnie na dziecko w kontekście relacji z rówieśnikami?
11864:  Dlaczego to się ciągle pojawia?
11865:  Naprawdę?
11866:  Jedyne relacje z rówieśnikami, jakie możemy mieć, są w szkole?
11869:  Wszystkie najwartościowsze i najfajniejsze relacje z rówieśnikami, jakie miałem, były poza szkołą.
11875:  Od czego są, nie wiem, konwenty na przykład, nie?
11878:  Od czego są, nie wiem, wyjście na zewnątrz, do miasta, gdziekolwiek, tak?
11884:  Na szkole się nie kończy to wszystko.
11886:  Od czego są nasi znajomi, którzy też mają swoje dzieciaki?
11889:  Wszyscy moi przyjaciele, których mam w latach wczesnoszkolnych, są przyjaciółmi, którzy byli w otoczeniu moim, ale raczej pozaszkolnym.
11898:  Ze szkoły mam kolegów.
11901:  Ale może to jest bardzo indywidualne z mojej strony, ale na pewno nie zgodzę się z tym, że szkoła jest jedynym miejscem socjalizacji.
11907:  Nie.
11908:  Zróbmy inne, lepsze.
11910:  Instytut Szkoły, wiecie jaka jest, trochę palę to, bo to miała być, od czego są live'y, będziecie mieli spoiler tego, co planuję akurat w najbliższym odcinku, dla każdego coś przykrego.
11922:  Etymologia słowa szkoły oznacza czas wolny.
11928:  Czas wolny na poszukiwanie, na uczenie się.
11931:  To jest coś, co mnie mega zainspirowało, tak się rozpoczyna książka Mikołaja Marceli, Selekcje właśnie.
11936:  Szkła to czas wolny etymologicznie.
11938:  Co się odjebało w naszej historii, że szkła jest antonimem czasu wolnego?
11946:  Więc nie, to nie jest jedyne miejsce socjalizacji.
11949:  Akademiki, czyli mieszkania dla studenta, co twoim zdaniem jest lepsze, czy bardziej sprzyja nauce?
11954:  Pewnie jak się uczy człowiek w grupie, zwłaszcza głupot, to pewnie jest weselej.
11960:  Czy jest ciekawe książkowe czy serialowe wyzwanie intelektualne, przy którym można się poczuć czasem głupim?
11965:  Serialowe?
11965:  No to albo Mr. Robot, albo Sense8, to jeszcze bardziej.
11969:  Albo Utopia przywołana już na czacie.
11973:  No, myślę, że tak.
11974:  Ergo Proxy, ewentualnie po stronie anime.
11976:  Jeżeli chodzi o książki, polecam Egipt, Juna Crowleya, Tetralogia.
11980:  Już małe, duże było polecane, więc nie chcę się powtarzać.
11989:  Chodzenie do szkoły wpłynęło negatywnie na moje relacje z wyróżnieniem ścigami i ogólnie wychowanie społeczne.
11993:  W moim przypadku było podobnie.
11994:  Mnie szkoła traumatyzowała głównie.
11996:  Stop kultury, problem na uczelni, pisze Illusive Man, Mass Effect, jest znacznie głębszy.
12001:  Na UJ odsłyszałem na zajęciach, że książka z fantastyki młodzieżowej nie musi być ambitna, bo młodzieżowa.
12007:  Zrobiłem rant o Pratchecie i Gaimanie.
12008:  Szanuję za to.
12009:  Tak, to jest rzecz, której się specjalizuję.
12013:  UJH jest nieme, ale za to na przykład na Uniwersytecie Warszawskim jest Pracownia Badań Literatury Młodzieżowej i Dziecięcej, prowadzona przez profesora Grzegorza Leszczyńskiego, przesympatycznego człowieka, równie przesympatyczną dr Weronikę Kostecką i dr Macieja Skowerek, których wszystkich serdecznie pozdrawiam.
12028:  Fantastyczni ludzie, którzy robią zajebiste zajęcia i bardzo są cenieni za to właśnie, że starają się walczyć z tym stereotypem.
12036:  Witamy Piotra Rado w gronie Trybutariuszy.
12040:  Pracuję 190 godzin na miesiąc na trzy zmiany i to nic w porównaniu z tym, co muszą robić niektórzy.
12045:  Jak widzę ludzi, którzy uważają taki system za dobry, to wiem, że w życiu nic nie przepracowali.
12049:  To jest straszne, to co mówisz.
12051:  Ja miałem taki epizod, że pracowałem 22 godziny dziennie i nie chcę do tego wrócić nigdy w życiu.
12057:  Dominika ponownie się pojawia na czacie.
12060:  Witamy również Dominikę i raz jeszcze dziękujemy za przyozdobienie nas jamnikami.
12067:  Pozdrawiam jako studentka, która się nie dostała do akademika.
12069:  W ogóle ten system dostawania się do akademików i nie dostawania się to nawet... Don't get me even started on this.
12076:  Ja nie znoszę tego.
12077:  Uważam, że to jest absurdalne.
12079:  Dla mnie ideałem uniwersytetu jest uniwersytet kolegialny.
12083:  To znaczy jest college, w którym w jednym miejscu mieszkają profesorowie i studenci.
12088:  Tworzą razem w społeczność.
12090:  Dla mnie szokiem jako studenta, jak pojechałem na konferencję na Oxford, było to, jak przy jednym stole...
12097:  Siadłem z profesorami.
12098:  Ja po UJ, po tym jak mnie tam traktowano, ja uważałem, że jestem robakiem, że jestem nikim.
12106:  Jak profesor potraktował mnie jako swojego człowieka i zaczął ze mną w ogóle rozmawiać, ja byłem w szoku.
12112:  Tak to powinno wyglądać.
12114:  Jeżeli tak to nie wygląda, uciekajcie z grona dowolnego, w którym tak to nie wygląda, w którym ktoś...
12120:  daje wam do zrozumienia, że jesteście gorszymi ludźmi od niego, tylko dlatego, że nie macie jakiegoś tytułu czy czegoś.
12125:  To jest powód, dla którego walczę z tytułaturą.
12127:  Jeżeli komuś jest lepiej czy wygodniej mnie tytułować, spoko, nie walczę z tym.
12131:  Ale generalnie rzecz biorąc, ja zawsze się boję, że to buduje dystans.
12137:  Najlepsze przyjaźnie na lata, kontynuuje przeciętny człowiek.
12140:  Mam, gdy robiliśmy konwent fantastyki przez parę lat, po szkole, po pracy, większość znajomych ze szkoły do domu mnie zaprosił, niektórych serdecznie nie cierpię.
12146:  No właśnie, te konwenty to jest taka przestrzeń, w której dzieją się miłe rzeczy, bo nagle spotykają się ludzie, którzy kochają to, co... autentycznie kochają kulturę i chcą o tym rozmawiać.
12159:  Też byłem klasowym outcastem Erin, absolutnie.
12163:  Byłem, byłem, nie będę ukrywał.
12165:  Złośliwym, często niedobrym dla kolegów też, bo ja się zawsze wyzłośliwiałem i słusznie byłem outcastem klasowym, ale zrobiłem się złośliwy dlatego, że w szkole podstawowej odebrałem paskudną lekcję życia i potem w gimnazjum.
12179:  Więc tak to ze mną zostało i dopiero później zrozumiałem, żeby być złośliwym raczej dla wypowiedzi niż dla drugiego człowieka.
12186:  Więc tak po swoim własnym doświadczeniu mogę powiedzieć, że to szkoła bardzo często robi z nas tego złego albo tego cierpiącego albo tego wykluczanego.
12200:  Słucham Powiedz Siostro jak najbardziej, nawet oglądam, bo jest na YouTubie i wolę oglądać, szczerze powiedziawszy.
12206:  Ta muzyka sprawia, że chyba włączę sobie Oblivion do Skyrim.
12210:  Cieszę się strasznie, że Soul wypuścił to na otwartej licencji.
12215:  Bardzo dobrze to nim świadczy.
12217:  Wiem, że pytanie dość specyficzne, ale czy wiesz może jak wygląda edukacja na Uniwersytecie Wrocławskim na Wydziale Filozofii?
12223:  Nie wiem, niestety.
12225:  Problemem pruskiego systemu edukacji jest fakt, że spędzamy czas z rówieśnikami, nie mamy okazji ani czasu czerpać z doświadczenia starszych kolegów i koleżanek.
12232:  To jest bardzo mądra uwaga.
12234:  I o tym też pisze Mikołaj Marcela w swoich wypowiedziach, mówi w swoich wypowiedziach i pisze w swoich książkach.
12239:  Podział na klasy jest już kretyński.
12242:  Nie ma takiej sytuacji, żebyśmy mieli ludzi, którzy mają jednakowy potencjał.
12246:  Są tacy, którzy są i znacie przypadki ludzi przechodzących do klasy wyżej, na palcach jednej ręki można policzyć.
12252:  Rzadko się zdarzają.
12253:  To jest błędne założenie.
12259:  Szanuję wszystkich, którzy byli empatycznym outcastem.
12261:  Ja się dopiero potem tego nauczyłem.
12262:  Co sądzę o uczelniach prywatnych?
12267:  Bardzo trudne pytanie.
12268:  Mam złe zdanie na temat uczelni prywatnych, ale wiem, że bardzo dużo ludzi na uczelniach prywatnych ma...
12275:  To są ci ludzie, którzy zostali wykluczeni i oni robią dobrą robotę, robią świetną robotę nawet.
12280:  Więc nie chcę potępiać w czambu, ale wydaje mi się, że idea, którą my mamy w Europie, edukacji, która jest bezpłatna, to jest coś, za co warto walczyć.
12290:  Nie jest odpowiedzią na patologię edukacji bezpłatnej, zrobienie edukacji płatnej.
12294:  To jest droga, z której się nie wraca niestety.
12298:  i w Stanach Zjednoczonych system kredytów studenckich, porozmawiajcie z dowolną osobą ze Stanów Zjednoczonych, przeklina płatny system edukacji.
12305:  Każda.
12306:  Więc istnienie uczelni prywatnych nie zmienia tego faktu.
12311:  Są szkół prywatnych też, ale dobrze wiemy, że to nie jest rozwiązanie problemu.
12319:  Jaki rodzaj miodu jest mój ulubiony?
12321:  Wielokwiatowy.
12321:  A jeżeli chodzi o właściwszy miód, no to każdy, który ma procent, wiadomo.
12330:  Cześć, pisze Monika.
12331:  Cześć Monika.
12331:  Absolutnie zgadzam się z tym, jak jest na UJ-cie, bo jeden wyjątek, uważam te kobiety za genialną taktyczkę, potrafią na dyżurze siąść z herbatką i ciasteczkami i pitolić z nami o życiu.
12339:  To mi przypomina cudowną profesor Annę Burzyńską z Wydziału Polonistyki UJ.
12344:  Jest jedna, jedyna osoba, naprawdę, dla której uważam, że warto było pójść na ten wydział.
12348:  Ona swoją drogą nauczyła mnie o dekonstrukcji i postmodernizmie.
12353:  W taki sposób, że ja, który byłem przeciwny temu, skrajnie, uważałem to za bełkot,
12359:  Przekonałem się do tego i co więcej w taki sposób, że później wykorzystywałem tę metodologię w swoich tekstach.
12365:  Co myślę o studiach zaocznych?
12366:  Czasami nie ma wyjścia.
12369:  Szanuję każdego, kto idzie na studia zaoczne, bo to są najciężej pracujący studenci najczęściej, bo to pracują, a potem jeszcze w weekend studiują, więc cóż można innego sądzić, jak nie szanować.
12381:  Widziałem trailer We Love Time of Zamazona i jach!
12385:  Jestem nachajpowany, chociaż rozumiem wszystkich tych, którzy twierdzą, że tak, będzie plasticzanie i tak dalej, ale ja wciąż mam nadzieję, że to jest jednak Amazon i w to zainwestują.
12397:  Adam pisze, wszyscy chodzimy do szkoły zróżnicowani, a wychodzimy z równanień do 30% z matury.
12402:  Ten temat w pigułce określa problemy polskiej edukacji.
12404:  Nie mógłbym się bardziej zgodzić.
12406:  Nigdy nie spytałem żadnego studenta, ile miał z matury, ale spytałem go, czym się interesuje.
12410:  To jest pytanie, które z uporem maniaka zadaję.
12414:  Jak się ktoś zapisze np.
12415:  na seminarium dyplomowe, to ja w ogóle odmawiam zaczęcia rozmowy o pracy dyplomowej, zanim się nie dowiem, kto co lubi.
12421:  Miód eukaliptusowy, jest coś takiego?
12423:  Coca-Cola czy Pepsi?
12426:  Cola Zero.
12428:  Pepsi Max kiedyś piłem, ale przestałem.
12431:  Wiem, że może dziwne pytanie, ale kto wie coś na temat kierunku kognitywistyka?
12435:  Pewnie na UJ.
12436:  Na UJ jest dobrze prowadzona kognitywistyka na filozofii.
12439:  W ogóle kognitywistyka to jest fajny pomysł, tylko pamiętajcie, że to jest niszowa rzecz.
12444:  Transfer przemocy w systemie kontynuuje.
12445:  Przeciętny człowiek jest dramatyczny.
12447:  Większość nauczycieli skarży się na kuratoria ministerstwa, które fiksują wszystko wokół raportów cywilek, a uczeń i potrzeby są na samym końcu.
12453:  Był kiedyś taki świetny tekst.
12455:  Polska nauka na krześle elektrycznym.
12457:  Uczeń boi się prymusa, prymus się boi nauczyciela, nauczyciel boi się kuratora, kurator się boi ministra, a w wersji uczelnianej student się boi doktoranta, doktoranta asystenta, asystent doktora, doktor profesora, profesor prodziekana, prodziekan, dziekana, dziekan prorektora, prorektor rektora, rektor szefa kraspu, a szef kraspu ministra.
12479:  Krasp to jest konferencja rektorów akademickich w szkół polskich.
12482:  i przez to nie ma tej odwagi do zmian, niestety, no bo każdy się czegoś boi albo kogoś boi i jest od niego zależny.
12490:  Jak wpadłem na tematy prac dyplomowych, było to ośnienie, czy wszystko miałem zaplanowane.
12496:  Jeżeli chodzi o pracę z pierwszą, Utopię Dystopię, to było to, czym się interesowałem.
12503:  Praca druga, czyli Allotopię, to było w sumie rzeczą przypadku, bo przeczytałem
12508:  wywiad Andrzeja Sapkowskiego ze Stanisławem Beresiem, w którym Andrzej Sapkowski mówi Allotopia Wiedźmińska i sobie pomyślałem, co to jest Allotopia.
12515:  Zacząłem szukać na ten temat i później napisałem 300 stron książki na ten temat, a światotwórstwo to już, jako doktorat, to już jest ten moment, kiedy się bardzo planuje, więc ja teraz mam zaplanowane wszystko do przodu na 10-15 lat, co będę robił, tak trzeba.
12527:  Więc chyba pierwsze to były raczej zainteresowania, niż olśnienia, tak mam wrażenie.
12535:  Czy na filozofii na UJ, HS nie wiem.
12536:  Filozofia na UJ to jest porządnie robiona.
12540:  Gdybym miał pójść jeszcze raz na UJ jednak, na jakiś kierunek humanistyczny, wybrałbym filozofię i prawdopodobnie katedrę porównawczych studiów cywilizacji.
12552:  Co sądzę o studiowaniu grafiki cyfrowej?
12555:  Sądzę dużo o wzięciu sensownego kursu grafiki cyfrowej, oglądaniu ludzi typu Ergo Josh na YouTubie, którzy pokazują jak rysować i uczą.
12566:  Obawiam się, że studiowanie tego będzie oznaczało, że wpierw poznasz całą historię malarstwa zachodnioeuropejskiego, a grafikę cyfrową będziesz mieć na ostatnim semestrze, na trzecim roku, a wcześniej będziesz się musiał nauczyć malarstwa olejnego.
12579:  Chyba, że ktoś to robi lepiej niż ASP w Krakowie, którego się w tej chwili nabijam.
12584:  A jeśli tak, to warto rozważyć.
12593:  O ile więcej funkcji na uniwerku, tak, niż w szkole.
12595:  Oczywiście, no, uniwersytety specjalizują się w mnożeniu funkcji.
12598:  Gdybym ja miał wymierzyć wszystkie funkcje, które sprawuje, to by mi zajęło to tyle, ile ten stream.
12603:  Widzę, że nie mamy fanów coli zero na czacie.
12606:  Przepraszam najmocniej, ja kocham colę, ale gdybym pił tyle coli, ile potrzebuję, to wróciłbym do swojej wagi, z której zrezygnowałem z dużą radością.
12616:  Po paru latach przerwy przeszedłem na Uniwersytet Ekonomiczny i przeprzeciętny człowiek, poczułem to upokarzające podejście niektórych profesorów z Ego Titanica.
12624:  30 lat poważna praca i ktoś cię dalej ustawia jak głufiarza.
12627:  To jest smutne.
12628:  I niestety, nic na to nie poradzimy, poza tym, kiedyś zrobiłem takiego shorta, jak jeszcze kręciłem shorty, muszę do tego wrócić, ale nie wiem, mam jakoś weny, że podstawowym problemem polskiej akademii jest to, że wykładowcy mają kij w dupie.
12641:  Kij w dupie ma się tylko i wyłącznie wtedy, kiedy nie ma się niczego innego, co podtrzymuje nasz kościec.
12647:  Trylogia Wojen Makowych, nie widziałem tego.
12651:  O Boże, Elita Form mówi, że dokładnie tak wyglądają studia grafiki cyfrowej, które porzuciłem.
12655:  No tak, tego się spodziewałem właśnie.
12658:  Co do ocen i naszego systemu edukacji, mój serdeczny przyjaciel w czasach gimnazjalnych powiedział sobie, że pokaże wartość naszej edukacji czwartoletnie technikum budowlane średnia 5.
12666:  No proszę.
12668:  Mi przypomina, jak moja mama miała taką ulubioną swoją anegdotkę, jak podpowiadała na maturze z matematyki i dostała 3 i nauczycielka, która jej wpisywała to 3, bo wtedy jeszcze był taki bezpośredni kontakt, powiedziała, no widzisz ty, nic w życiu nie osiągniesz, nic.
12684:  Potem tak się złożyło, że jakieś paręnaście lat potem moja mama spotkała ją w tramwaju przypadkowo i ona powiedziała do niej dalej po nazwisku, brzydko, tak jak to mówili nauczyciele w tamtych czasach, no i co, i co, osiągnęłaś coś?
12697:  Nie nikim jesteś dalej, prawda?
12699:  A moja mama powiedziała, nie, jestem adiunktem na Akademii Górniczo-Kupniczej.
12703:  Takiego, nie?
12707:  Takich nauczycieli.
12710:  zwalniałbym tak, nieważne, miałby 30 tysięcy, 30 milionów kredytu mieszkaniowego, siedmioro dzieci na utrzymaniu i kogoś takiego, kto tak mówi do ucznia albo takiego wykładowcę, który z pogardą się zwraca do studenta, zwalniałbym momentami, bez chwili zastanowienia.
12729:  Studia zagraniczne, dobre wtedy, jeżeli nie ma tego samego do zaoferowania w Polsce i dobre wtedy, jeżeli naprawdę mamy pro tip, że to jest to miejsce, po którym albo tam jest naprawdę bardzo dobra praca, albo są bardzo dobrzy studenci i świetne przedmioty i nie ma innych alternaty.
12750:  O tych materiałach coraz bardziej dostrzegam ułomność mojej uczelni, pisze Oriak, której nie wiem, czy dziękowałem, że zostanie trybutariuszem, przez trybutariuszką, przez trzy lata spotkałem trzech prowadzących, którzy się nie wywyższali, nie wkurzali, że ktoś jej nie tytułuje.
12761:  Smutne.
12761:  Ja zawsze powtarzam, że to zabrzmi strasznie egomańsko, ale mam nadzieję, że znacie mnie już na tyle, żeby wiedzieć, że to nie jest egomańskie.
12770:  Ja mam za dużo do roboty i za dużo do wypoczywania, żeby się przejmować takimi pierdołami, jak napisanie do kogoś listu, że mnie źle tytułuje.
12779:  Jeżeli ktoś coś takiego robi, to ja jako kierownik jego katedry bym się zainteresował, czy przypadkiem nie ma za mało publikacji, albo nie za mało jeździ na konferencje, bo najwyraźniej ma za dużo czasu.
12793:  Pepsi Max Wiśniowe, ohoho.
12796:  Chciałbym się zająć konceptartami character design, ale nie wiem, jak ruszyć sprawę.
12800:  Oglądaj moodboardy, inspiruj się tym, co widzisz na Art Station, znajdź swój styl, pooglądaj youtuberów, którzy rysują, naucz się od nich podstaw i próbuj, rysuj, dużo rysuj, nie rezygnuj z tego.
12814:  Żaden konceptartysta nie stał się konceptartystą w wyniku studiów.
12818:  To jest wyłącznie coś, czego się uczymy od siebie nawzajem.
12823:  Zaczęłam teraz pierwszą klasę liceum, minęły dwa dni szkoły, zdążyłam usłyszeć o tym, jak ważna jest matura już 15 razy.
12829:  O Boże.
12831:  Prosta zasada, czy za każdym razem, kiedy się coś takiego usłyszy, to się dolicza godzinę do Netflixa, żeby przynajmniej mieć z tego jakiś pożytek.
12839:  Nie wiem, gdzie znaleźć definicję allotopii.
12841:  Chyba ją podałem, to jest po prostu inny świat i tyle.
12845:  Taki świat, jaki macie wytworzony na potrzeby dowolnego świata fantasy lub science fiction.
12852:  Gdyby w prawdziwym świecie istniały istoty fantasy, jaki miałbym stosunek do niej, jaka byłaby moja relacja?
12856:  Na pewno lepsza niż z ludźmi.
12859:  Żartuję.
12859:  Nie, nie żartuję.
12860:  Żartuję.
12861:  Nie, nie żartuję.
12862:  Czy znam kogoś z Uniwersytetu Warmińsko-Mazurskiego?
12864:  Jest tam parę osób, które zajmują się fantastyką i chyba je mgliście kojarzę, ale nie z imienia, nie z nazwiska.
12869:  Raczej z serii, która była tam robiona, Fantastyczność i Cudowność.
12872:  O, już pamiętam, dr Michał Ratajczak.
12874:  Chyba teraz już jest doktorem habilitowanym.
12877:  I seria fantastyczność i cudowność to była dobra rzecz, jeżeli chodzi o badania nad fantastyką.
12885:  Nie pamiętam, kiedy nauczycielka geografii pisze Arcanum, powiedziała całej klasie, że ma niskie morale i pewnie nie ustępujemy miejsca starszym w tramwaju.
12894:  O Boże.
12896:  Jak żyć z nauczycielką, która jest złym człowiekiem?
12898:  Nauczycielka niemieckiego to jest wredna, zaczepna, potrafi być pijana na lekcjach, nieźle, a dyrekcja jej nie jest wolna, ma kilka lat do emerytury.
12906:  Kochani, najprostszy sposób możliwy.
12912:  Nagrać i zrobić z tego dobrego shorta na TikToku.
12918:  Jedyny sposób na takich ludzi, którzy są kryci i mają plecy, to jest demaskacja.
12923:  Nie widzę innego.
12925:  Żeby nie było, sam to zrobiłem.
12927:  Mój film o molestowaniu studentek był takim sposobem.
12932:  Nie mogę zakulisowo ujawniać różnych rzeczy, ale wiem, że osiągnął swój efekt tam, gdzie chciałem, żeby osiągnął.
12941:  Więc demaskowanie publiczne i dbanie o to, żeby było jak największe audytorium, to jest jedyny sposób.
12949:  Monikę Jurczak witam w gronie Trybutariuszy, bardzo dziękuję.
12954:  Ale mówię wam, niepedagogiczne rzeczy, och, straszne.
12957:  Wiem, że dziwne pytanie, jak wyglądają zarobki pracowników naukowych, którzy nie wykładają.
12961:  Z czego są rozliczani?
12962:  Są trzy typy pracy na uczelni, okej?
12964:  Jest etat naukowo-dydaktyczny, to jest mój, czyli tak zwana adjunktura, jeżeli się jest doktorem.
12970:  To oznacza, że nie tylko wykładacie,
12972:  jest tam 160 godzin w pensum podstawowym rocznie, ale jeździcie na konferencje, składacie granty, badacie, prowadzicie też akcje popularyzacyjne, jeździcie na konferencje naukowe i najważniejsza rzecz, za którą przede wszystkim się płaci, siedzicie na dupie i myślicie nad nowymi rzeczami, które trzeba zrobić.
12992:  W naukach technicznych mogą być to wynalazki, patenty, wdrożenia, w naukach humanistycznych opis nowych zjawisk, które występują w społeczeństwie albo w kulturze.
13002:  I to wbrew pozorom jest najważniejsza rzecz, za którą się dostaje wynagrodzenie i bardzo niemierzalna.
13007:  Drugi etat to jest etat dydaktyczny, tak zwany starszy wykładowca, to jest wtedy macie 300 godzin i po prostu robicie zajęcia, tylko tyle.
13014:  No i jest też trzeci etat naukowy i on jest najczęstszy w kierunkach technicznych, kiedy wyłącznie prowadzi się badania, pracuje się w laboratoriach, na przykład nad szczepionką chociażby AstraZeneca była opracowywana przez Laboratorium Biotechnologiczne w Oxfordzie.
13028:  Więc między innymi to był grant realizowany przez nich.
13031:  Wtedy ma się tylko etat naukowy.
13033:  Na przykład CERN, czyli ten akcelerator cząstek pod Szwajcarią, został zbudowany z takiego grantu przez zespół włącznie naukowy.
13042:  Ci ludzie nie mają czasu na robienie dydaktyki.
13046:  Paweł, zadrobił wszystkie materiały i subskrybował z marszu.
13048:  Obecnie trochę wadzą materiały z grami.
13050:  No przepraszam was, ale ci, którzy czekają na inne materiały, ale vlog ma to do siebie, że powinien być autentyczny.
13057:  Ja nie mogę schować do szafy tego, czym się zajmuję.
13061:  to znaczy gier, a nie robię wideosejów, bo w tym wyręczają mnie ludzie, którzy robią to lepiej i recenzji, tak jak na przykład TV Gry, więc robię inne materiały, to znaczy streamy.
13073:  Jedyne, co mogę przyobiecać tym, którzy są tutaj dla innych vlogów, to to, że one będą tylko w takim
13080:  czasie, w jakim Wena sprzyja.
13084:  Nie zejdę natomiast poniżej kilku materiałów miesięcznie, o to się nie martwcie, będą też recenzje, konsekwentnie seriali.
13091:  Czy Polska powinna być górą?
13092:  Nie, absolutnie nie, nie zasługujemy na to kompletnie.
13096:  Co sądzę o post-apo?
13098:  Lubię konwencje, chociaż nie tak jak fantasy.
13101:  Ulubiony kran z Czuroludzi?
13102:  Skrajer, oczywiście, że Skrajer.
13106:  Nie wiem, kto pisał rysowanie, ale polecam każdemu BTG .
13115:  Czy kojarzę Polskie Towarzystwo Badania Gier?
13117:  Oczywiście, PTBG jest jednym z głównych towarzystw zajmujących się grami, tylko pamiętajcie, że to są wszystkie gry, to znaczy też gry planszowe, gry mobilne, gry zespołowe, więc tam też pojawiają się artykuły na temat sportu, prawda, teoretycznie i innych, wszystko.
13133:  Więc to jest tak zwana ludologia, czyli w ogóle dziedzina badająca gry wszystkie, natomiast groznawstwo, które ja reprezentuję, interesuje się wycinkiem związanym z grami cyfrowymi.
13145:  Czy warto czytać i publikować Homo Ludens?
13148:  No pewnie, że warto.
13149:  To jest jedyne czasopismo groznawcze w Polsce, oprócz Replay'a, które jest wydawane w Łodzi.
13154:  Jak poradzić sobie z brakiem motywacji do rozwijania swoich umiejętności, uczenia się nowych?
13157:  Hmm...
13163:  To jest bardzo trudne pytanie i myślę, że spojrzałbym na to inaczej, to znaczy zastanowił się o jakie umiejętności Ci chodzi i czy przypadkiem nie oddzielasz za bardzo rozrywki od pracy, bo może tu leży pies pogrzebany.
13178:  Moim zdaniem brak motywacji pojawia się wtedy, kiedy nie masz przekonania co do tych umiejętności, które chcesz kształcić w sobie.
13186:  Ja, gdybym na przykład ktoś mi powiedział, musisz iść na 10-godzinny kurs retoryki, zanim będziesz wykładać, gwarantuję Wam, że nie zostałbym wykładowcą.
13198:  Potem te nagrywania zaczną pozywać za udostępnianie wizerunku.
13202:  Życzę powodzenia każdemu nauczycielowi, który będzie umiał pozwać nick nie wiem, wodamineralna76 za udostępnienie TikToka.
13214:  Powodzenia.
13215:  Pamiętajcie, że walczycie z ludźmi, którzy są wykluczeni technologicznie.
13218:  Wykorzystajcie to przeciwko nim w dobrej sprawie.
13222:  Jeżeli jesteście wykluczani lub prześladowani, to jest dobra sprawa.
13226:  Należy walczyć o siebie.
13229:  nie jest w tym momencie priorytetem udostępnianie wizerunku.
13232:  Come on!
13233:  Każdy, kto pracuje w edukacji, musi udostępniać swój wizerunek.
13236:  Ja to robię od samego początku.
13238:  W momencie, w którym zdecydowałem się na karierę naukową, uczyniłem Krzysztof M. Majmarkę, pod którą teraz nagrywam, tak?
13246:  Ona nie ma nic wspólnego z Krzysztofem Majem, którym jestem prywatnie, bo eksponuje inne rzeczy.
13251:  Tutaj eksponuje swoją osobowość twórczą, groznawczą, część swojej osobowości prywatnej, ale ta najbardziej prywatna część zostaje ze mną, prawda?
13261:  I dokładnie tak samo powinni postępować nauczyciele, jeżeli są w szkole i mówią coś, sorry, mają to robić tak, jakby byli na monitoringu 24 na 7.
13270:  Jeżeli ktoś ich nagrywa,
13276:  to nagrywa tylko i wyłącznie to, co jest opłacane z jego podatków i to, za co płacą jego rodzice.
13282:  Więc sorry, to jest you pay what you wish for.
13288:  Czy elfy to Azjaci często mają taki coding?
13291:  Nie wydaje mi się.
13293:  Wydaje mi się, że elfy są ponad podziałami rasowymi, które są u nas i starałem się nawet o tym zrobić vloga raz.
13299:  Czy sci-fi w Polsce to gatunek słabo rozwijany, chociaż może mieć duży potencjał?
13302:  Nie wydaje mi się.
13303:  Postaci takie jak Marcin Podlewski czy Marcin Sergiusz Przybyłek czy Rafał Kozik pokazują, że jest całkiem odwrotnie.
13309:  Z tego czasu zacząłem się przyglądać pretendencowi podpisywania się per magister przez prawie każdego nauczyciela.
13315:  Kiedyś katechetka próbowała mi wmówić, że to tytuł naukowy.
13317:  Bardzo zabawne, ja miałem matematyczkę, która wyrobiła sobie podpis razem z MGR, bardzo mnie to bawiło.
13323:  Nie była to mądra kobieta.
