🔴 NIE KUPUJCIE TEJ 💩 GRY — DRAGON'S DOGMA II Livestream
🔗 https://www.youtube.com/watch?v=igWJJgW2ho0

3:  i jej.
7862:  I zdobyliśmy dzięki temu kostur Nauczyliśmy się strzelać Z M16 Ja robię 15 minut przerwy I odpalamy Hollow Knighta Nie żartuję Bardzo dziękuję wam, że przybyliście Ale ja się nie zobowiązuję zrobić z tego serii A ja w tym momencie potrzebuję
7893:  czymś to zagryźć nie widzę innego rozwiązania muszę posłuchać dobrej muzyki wpadajcie, będzie za 15 minut link do transmisji i gramy sobie dzisiaj tak długo jak długo trzeba jeszcze raz nie kupujcie tego gówna jest to najgorsza rzecz jaką grałem od ostatnich 10 lat
7921:  Ona urąga naszej gaming literacy, czyli naszemu growemu piśmiennictwu i growej erudycji.
7928:  Urąga wszystkim standardom deweloperskim, jest skandalem graficznym, narracyjnym, światotwórczym, gameplayowym, UX-owym, technicznym.
7937:  Na każdym możliwym momencie, w którym ta gra mogła zawieść, zrobiła to.
7941:  Wliczając w to muzykę.
7942:  Wieszcie co?
7943:  Wliczając w to menu główne, które jest brzydkie.
7946:  Jest po prostu brzydkie.
7949:  Brzydkie fonty.
7950:  Brzydki interfejs.
7952:  I jeszcze spadki klatkażu.
7953:  Ta gra jest niewarta waszego czasu, waszych pieniędzy, waszego czasu i waszych pieniędzy.
7959:  Waszego czasu i waszych pieniędzy.
7961:  Na wszelki wypadek trzy razy powtarzam, żeby zaklęcie się udało.
7967:  Ta gra nawet nie zasługuje na to, żeby zrobić jej recenzję.
7971:  Mam nadzieję, że nikt tego nie zrobi.
7972:  Co więcej, każdy recenzent, który oceni tę grę na cokolwiek, co nie będzie miało w swojej treści słów shit albo disappointment, będzie przeze mnie odsubskrybowany i ja w tym momencie nawet nie żartuję.
7988:  Przepraszam was, że to nie może być dumna seria.
7991:  Przepraszam zwłaszcza Dominikę Jamnikotwórczynię Klimczak, która zrobiła przepiękną grafikę, która jest lepsza niż cokolwiek, co zobaczyliśmy dzisiaj.
8000:  I przepraszam wszystkich, którzy dzisiaj byli nastawieni na ogrywanie z łagą z dogmy, ale nie jestem w stanie, nawet nie jestem w stanie się już z tego śmiać.
8007:  Trzymajcie się moi drodzy i dla wszystkich, z którymi się widzę za 10 minut z hakiem, do następnego.
8017:  Wszystkiego Jamniczego.
8020:  Skandal!
