🔴 Detroit. Detroit never changes | DEUS EX: HUMAN REVOLUTION Livestream #5
🔗 https://www.youtube.com/watch?v=GjLx3KIstuk

268:  Witam wszystkich niedzielnie!
11702:  Więc nie ma, nie ma czegoś takiego.
11704:  Tak, ważniejszy projekt jest.
11706:  Trudno!
11707:  Trzeba myśleć w takich sytuacjach ad absurdum.
11709:  Co by było, gdyby, nie dajcie bogowie odpukać i tak dalej, człowiekowi odjęło dwie ręce i jedną nogę w wypadku w Tartaku?
11718:  Może się zdarzyć?
11719:  Może się zdarzyć.
11719:  Co wtedy?
11720:  Projekt ważniejszy niż moje leczenie.
11722:  Nie!
11723:  Projekt przeżyje.
11726:  Ha, ha, ha.
11727:  Olga... Karczu ma podobno wolne godziny.
11729:  Ha, ha, ha.
11733:  Nie żadne L4, tylko L4!
11734:  Quattro Stagioni!
11737:  Jezu, znowu sobie przypomniałem o pizzy.
11743:  Atena.
11744:  Oto tygodniowy raport z laboratorium w tym czasie.
11747:  Nie będziemy czytać laboratorium.
11750:  Adam Sa... Adam... Przepraszam.
11753:  David Sarif znowu mobuje swoich pracowników.
11757:  Nie łącz mnie znowu z tym człowiekiem, Atenu.
11759:  Nie obchodzi mnie, jak jest bogaty lub jakie wpływa jego firma.
11761:  Nie chcę mieć z nim nic wspólnego ani z jego organizacją.
11765:  Wiesz, co robił w Tartaku?
11766:  W Tartaku szczęsna woń, żuje się gumę do rzucia.
11774:  Ktoś, kto czytał serię niefortunnych zdarzeń lub oglądał, będzie wiedział, o co chodzi.
11778:  Jak nie wiecie, o co chodzi, to obejrzyjcie serię niefortunnych zdarzeń.
11788:  Właśnie praca bez L4 powoduje utratę kolejnych kończyn na grafał.
11792:  Tak.
11795:  Krzysztof, masz 8 punktów praxis.
11796:  Co z nimi zrobisz?
11800:  Bardzo dobre pytanie.
11802:  Mam 9 punktów praxis.
11804:  Wiecie, co z nimi zrobimy?
11805:  Kupimy wszystko.
11807:  Stabilizator celowania.
11811:  Całkowicie likwiduje powiększenie celownika wywołane ruchem.
11816:  Tego jeszcze nie wiem.
11818:  Wzmacniacz skradania się.
11820:  System radarowy przewodnik.
11822:  Podwojenie zasięgu radaru.
11824:  Bez przesady, nie jesteśmy aż tak zdesperowani.
11827:  Widzenie przez ściany.
11830:  Proszę uprzejmie.
11832:  Dopalacz refleksu.
11834:  Jednoczesne uniszkodliwienie kilku przeciwników.
11837:  Proszę bardzo.
11840:  System maskujący.
11843:  Ale system maskujący zużywa strasznie dużo rzeczy.
11846:  Czy jeszcze... O, możemy jeszcze być silni!
11849:  Całkowicie eliminuje odrzut broni.
11853:  Oddycharka.
11854:  Przedłużenie sprintu.
11856:  Nie specjalnie są atrakcyjne te rzeczy, już muszę wam powiedzieć.
11859:  Pancerz skórny.
11861:  Tarcza EMP.
11862:  Dobrze, niech będzie.
11863:  Wszyscy mówili o tej tarczy EMP bez przerwy.
11870:  Książka polecana przez Zuzę, Weroniki Roth, to sci-fi o świecie, w którym na jednym planecie żyją dwa wrogie ludy.
11875:  Jeden z głównych bohaterów zostaje porwany przez wrogie plemię i musi pracować dla ich króla.
11878:  Spotyka się z królą, z córką króla i tam się dzieje akcja.
11883:  Dzięki za info.
11886:  Moje ostatnie odkrycia kulinarne.
11889:  To, że siemię lniane smakuje nawet nieźle.
11902:  Nie brzmi to zbyt atrakcyjnie.
11908:  Baterie?
11911:  Mamy max baterii.
11916:  Krzysztof, daj kilka praxis, mam chorą córkę.
11921:  Gdzie my idziemy teraz?
11926:  Wiecie co, nawet nie będę się starał.
11929:  Spotkać się z Malik na lądowisku i już wiem gdzie iść.
11939:  Grał skradankowo, to pierwsze co było to system maskujący.
11941:  Nie no, wiadoma sprawa.
11943:  Ale decyzja o niegraniu skradankowym została podjęta bardzo wcześnie na czatach.
11947:  Gdzie jest lądowisko?
11953:  Siemię lniane mielone, mielone, zaparzone, pyszna sprawa.
11957:  Jezus Maria, gdzie jest to cholerne lądowisko?
11961:  Szlak Mniejasny trafi z nawigacją po tym budynku.
11966:  Przecież zawsze było tutaj.
11970:  Co jest się stało?
11972:  Czemu nie ma lądowiska?
11973:  Je są tylko kible.
11978:  Nawet mi nie mówcie, że to tędy.
11980:  O Jezus, to tędy.
11983:  Szlak Mniejasny trafi.
11987:  Złe UX.
11989:  Popatrzcie jaki zły UX w budynku, nigdzie nie ma, nigdzie nie ma drogowskazu helipad.
11994:  Czemu nie ma tu drogowskazu helipad?
11998:  Co za dramat.
12002:  O nie, o nie, o nie, o nie.
12003:  Jeszcze nie, jeszcze nie, jeszcze nie.
12005:  Zapis, krytyczny zapis.
12018:  Drugi zapis.
12019:  Teraz.
12020:  O, zobaczcie, dlaczego zapisuję.
12022:  To będzie to!
12023:  O nie.
12023:  Płoną drzewa.
12052:  Złe wiadomości, spójny chłopiec.
12056:  Spójny chłopiec?
12056:  Kontrola pojazdów w Hengsha zakończyła naszą odległość.
12059:  Jesteśmy wyroutowani do innej części miasta.
12060:  Nie podoba mi się to.
12062:  Wydaje mi się, że nie możesz ich po prostu odzyskać.
12065:  Tak, prawda.
12066:  Chinesyjski rząd.
12066:  Musimy się z tym zrozumieć.
12068:  Bravo Echo Echo zero zero eight, przechodzimy do zaznaczonych koordynacji.
12078:  Co do diabła?
12079:  Mamy samolot na twarz!
12083:  Adam!
12084:  Strze... strzelaj!
12085:  Jensen, wszystkie systemy są zniszczone!
12087:  Uważaj, wchodzimy ciężko!
12091:  Uciekaj, Jensen!
12101:  Tylko nie Malik...
12103:  Mówiłem, że będzie katastrofa.
12131:  Jesteś gotowy?
12132:  Malek, mamy kompozycję.
12133:  Wiem, ale ptaszek się zniszczył.
12136:  Musimy go odpocząć, zanim możemy iść.
12140:  Zostaw go na powierzchni.
12141:  Tak jest.
12143:  Musisz się stąd odnieść i znaleźć doktora Sykszenko.
12146:  Będę w porządku.
12148:  Będzie tam siedzący ptaszek.
12151:  Może, może nie.
12160:  Co jest?
12161:  Co jest?
12164:  Dobrze.
12165:  Działa.
12166:  Działa.
12168:  Działa.
12173:  Czemu?
12182:  Dobra.
12185:  Jest.
12189:  Jest.
12192:  Jest.
12194:  To jeszcze.
12201:  O Boże, drogi, co?
12202:  G!
12202:  Okej, tam jest jeszcze.
12218:  Chcę... Snajperkę!
12226:  Może czy się udało?
12230:  Nie.
12239:  Dla kontekstu...
12258:  Dla kontekstu, Malik może tu umrzeć.
12264:  I to jest wredne, jak się o tym nie wie, ponieważ jak widzieliście zresztą, można nie zrobić taktycznego save'u.
12274:  O Boże.
12275:  Tak, ją można uratować, absolutnie tak.
12277:  Absolutnie, Lucifer.
12279:  No absolutnie, że można ją uratować.
12281:  Tylko trzeba szybko, szybko, szybko strzelać.
12287:  Szybciutko.
12289:  POSPIESZYĆ SIĘ TRZEBA!
12297:  Dobra, teraz bardzo spokojnie lutujemy wszystkich.
12303:  Jest i słój.
12305:  Jest i słój.
12307:  Na jakim poziomie trudności gram?
12314:  Deus Ex.
12315:  Najwyższy.
12322:  Uff... O!
12326:  Okej, zmarnowałem właśnie pocisk.
12330:  A miałem już nadzieję, że będzie ładny wybuch.
12335:  To jest tak jak ostatnio w... Fallen Order, nowa beznadzieja.
12340:  Jesteśmy odporni, jesteśmy odporni, jesteśmy odporni.
12343:  Weeeee!
12346:  Proszę bardzo, granat... Jak to nie ma miejsca na granat EMP?
12349:  Co za bzdury!
12350:  Czy mam znowu zjeść baton?
12352:  Czy mam znowu zjeść baton energetyczny cyberblasta?
12357:  Nie!
12358:  Zjem pakiet energetyczny cyberblasta!
12365:  Naprawdę to było tylko to?
12367:  Nie żartujcie nawet.
12373:  Lifehack, wyrzuć karabin zanim podniesiesz nowy, więcej naboi powinno drobnąć.
12376:  O, ciekawe.
12379:  Czy otrzymasz ulepszenie do strzelby?
12380:  Otrzymam.
12392:  Nie chcę.
12398:  A tam pierdolenie!
12400:  Ogień, ogień nam nic nie robi.
12403:  Więcej batonów energetycznych cyberblasta.
12410:  Jeśli Krzysztof nie może jeść batonów, to Adam Jamnisen też nie może.
12414:  Nigdy nie wiem, czy to jest Jamnisen, czy Jamsen.
12416:  Tak, nie pamiętam własnych pomysłów.
12419:  No czemu nie ma boom-booma?!
12423:  Mała... mała amunicji my ass.
12430:  Dobrze.
12432:  Teraz możemy... Świetnie, amunicja snajperska.
12437:  Chcę karabin, dziękuję.
12440:  Więcej amunicji snajperskiej i teraz możemy się też dostać tam.
12444:  Na górę.
12445:  Nie chcemy amunicji do karabinu bojowego.
12450:  Dobrze.
12452:  A tam pusto.
12453:  Karabin bojowy, karabin bojowy.
12455:  Świetnie.
12456:  A tam pusto.
12458:  Tu jeszcze można wejść na górę.
12460:  Dobrze.
12460:  Karabin bojowy.
12462:  Amunicja do karabinu bojowego.
12463:  Karabin snajperski.
12464:  Dzień dobry, dziękuję.
12467:  Wspaniale, cudownie.
12468:  Beczka.
12469:  Beczka.
12472:  Wybuchowa beczka.
12476:  Dobrze.
12477:  Jestem usatysfakcjonowany.
12479:  To jest Adam Jamniksen.
12480:  Tak.
12481:  Jadam w zasadzie.
12482:  Jadam Jamniksen.
12485:  Moduł kredytowy.
12487:  Jesteśmy bogaci.
12488:  Skumbrię w tomacie pstrąg.
12489:  Świetnie.
12494:  Jak nie możesz jeść batonów, pokrój baton na drobne kawałeczki, będziesz mieć cukierki zamiast batonów.
12500:  A cukierki można?
12505:  Zastanawiam się nad kupnem herbaty Five O'Clock, zastanawiam się, w jaki sposób jest pakowana i wysyłana.
12509:  Bardzo bezpieczny, jest dużo papieru, nie ma folii.
12511:  To mi się podoba.
12513:  I jest dużo takich tro... O, trocin to jest słowo, którego szukałem.
12518:  Papierowe pudełko, dużo trocin.
12520:  Pachnie, to jest wspaniałe.
12527:  To jest winda, która jest na wydziale mojej mamy.
12532:  Jensen, obserwowałem spokojną aktywność wokół Hengsha.
12536:  Bell Tower szuka Ciebie.
12538:  Ciężko.
12540:  Wiem.
12540:  Zabłoczyli nas, Pritchard.
12542:  Obudzili nas na urządzenie niebezpiecznego.
12544:  Malak nagle uciekł w czasie.
12545:  Ale oni powinni być... ...dobrymi chłopcami.
12548:  Po prostu daj im wielkie urodziny, Jensen.
12551:  Jeśli zrozumieją Cię, strzelą.
12555:  Moja mama jest osobą bardzo krewką, w związku z powyższym w momencie, w którym jedzie tą windą, ja widziałem to już wiele razy, za każdym razem cisnę z tego niesamowicie, ta winda autentycznie się tak porusza, a moja mama rozpycha te drzwi, jak one bardzo, bardzo wolno się odsuwają, bo już chce przejść, tak?
12573:  Chce przejść już dalej, nie będzie czekać na durną windę, w związku z powyższym od lat już wbiega po schodach, po 2-3 stopnie, bo nie chce jeść się windą.
12586:  Wolne windy to jest najgorsza rzecz, jaka istnieje.
12589:  Czy czytałem coś Ernesta Hemingwaya?
12591:  Tak, parę rzeczy było, no.
12594:  Uważam, że Stary Człowiek i Morze to jest jedna z gorszych rzeczy, jakie napisał.
12599:  Było jego?
12599:  Było jego.
12602:  Tak.
12602:  Brzmi się, Stary Człowiek i Morze byliby z latarnikiem.
12608:  Eee...
12610:  E, zaraz, zaraz, zaraz, jak to nie będę mógł już wrócić?
12615:  A co jeśli będę chciał?
12618:  Co jeśli będę chciał wrócić?
12623:  Nie, nie patrzcie na Panchaya, to jest spoiler.
12630:  Lepsze jest komu drzeż dzwon?
12632:  Tak.
12632:  Znaczy komu dzwoni, w zależności od tłumaczenia.
12634:  Tak.
12635:  Komu bije dzwon.
12637:  Tak?
12637:  Duchom lebel to jest komu bije dzwon.
12639:  Tak jest tłumaczenie, tak.
12643:  Dlaczego ja musiałem czytać starego człowieka i może w szkole to było straszne?
12646:  No tak, Marchewka, no takie rzeczy nie powinno się czytać, absolutnie.
12650:  Zupełnie inaczej niż my.
12652:  Niby nie tacy starzy, a i tak nie możemy.
12660:  Co się stało?
12661:  Nic się nie stało.
12689:  Wszyscy ludzie się dziwnie zachowują, a myśmy jeszcze nie zaczęli do nich strzelać.
12694:  Ok, idziemy do kliniki.
12696:  I tak to planowałem.
12711:  Co ja znowu zrobiłem złego?
12713:  Co ja znowu złego zrobiłem?
12714:  Ja nic złego nie zrobiłem.
12745:  Nie idź tam?
12747:  Co wy mówicie?
12750:  Ale przecież nas kierują tam.
12753:  Nie mamy wyboru.
12756:  Chyba, że ja znowu czegoś nie wiem.
12760:  Gdzie mamy się udać?
12765:  Dzielnica Yuziao.
12774:  Ja nie pamiętam tego twistu, oczywiście, że nie pamiętam.
12781:  Czy wy naprawdę myślicie, że ja pamiętam fabułę gry, którą grałem wiele razy?
12789:  No ale i tak nas tutaj znacznik kieruje, moi drodzy.
12793:  Idziemy za znacznikiem.
12795:  Przed... Przed znacznikiem u deszczowem, znacznik górą, chociaż dołem.
12804:  No Juzio!
12808:  Mówiłem!
12815:  Proszę bardzo.
12816:  Wbijam na stację i przyjeżdża metro.
12818:  Tak ma to wyglądać.
12820:  Tak ma to wyglądać właśnie.
12823:  Krzysztof jest pobłogosławiony zapominając o co chodziło w grze zaraz po zakończeniu.
12826:  Tak, zawsze gramy po raz pierwszy, to jest prawda.
12831:  Czy to by była dla mnie nadzieja na powrót do jedzenia dobrych rzeczy, ale pod warunkiem, że chciałbym spędzić rok życia na wsi w intensywnie wiejskim i czy to bym to zrobił?
12838:  Podejrzewam, że mógłbym tego nie przeżyć, więc to nie byłaby zbyt dobra opcja dla mnie.
12842:  A to mówię całkowicie autentycznie.
12844:  Ja się kompletnie nie nadaję do takiej pracy.
12850:  Do każdego razy, jak pomagałem w niej, to ludzie dochodzili do wniosku, że lepiej, żebym jednak tego nie robił.
12855:  Możecie mi powiedzieć, dlaczego on urwał?
12862:  Nie to, żebym go jakoś chciał bardzo słuchać, ale... W Krakowie nie ma metra?
12869:  Nawet mnie nie denerwujcie z brakiem metra w Krakowie.
12874:  Spotkaj się z kontaktem Hugh Darrowa.
12876:  Aha, fajnie.
12878:  I znowu nie wiem gdzie.
12881:  To może być absolutnie wszędzie na tym etapie.
12884:  Może być tu, może być tam, może być tu i tam.
12890:  Ale wygląda na to, że to, co zlutowaliśmy, pozostało zlutowane.
12897:  Zdrówko leao, zdrówko nie pozwala.
12900:  Przynajmniej na razie.
12900:  Zobaczymy, jak będzie dalej.
12902:  Jestem w tak mniej więcej połowie diagnostyki.
12907:  Wiecie co?
12907:  Wyjdziemy na górę.
12909:  W Krakowie będziemy mieć premetro.
12910:  Tak!
12911:  Nasz mężny, wspaniały magistrat stwierdził, że stworzą premetro.
12917:  Właściwie nie wiedzieli, czym jest premetro.
12918:  Premetro to jest tramwaj.
12921:  Ale nazywa się premetro.
12925:  Bo jest premetrem.
12926:  Chociaż będzie to tramwaj.
12929:  Ale jest to premetro.
12930:  Że można było powiedzieć, że Kraków zaczął pracę nad metrem.
12934:  Chociaż jest to tramwaj, ale jest to premetro.
12936:  Rozumiecie?
12950:  Jedź dalej.
12952:  Okej, zapiszę na wszelki wypadek.
12962:  Dobrze, 17 metrów, czyli jesteśmy w bardzo dobrym miejscu właśnie.
12969:  To będzie, to będzie szybki tramwaj podróżujący z Nowej Huty do Śródmieścia.
12975:  To jest premetro, tak.
12978:  Wiedziałem, że to będzie tutaj.
12980:  Skłamał Krzysztof.
12985:  Piękna pani!
12986:  Panie Jensenze, prawda?
12989:  Dziękuję za Wasz czas.
12990:  Jestem Meng Yao.
12991:  Osobietniczka pana Darrowa.
12994:  Jestem przewodniczącą jednej z jego dywizji tutaj, w Hengsha.
12997:  Wy przychodzicie z wielkim rekomendacją.
12999:  Naprawdę?
13000:  Twój szef podkreślał Cię jako najpiękniejszy aset.
13003:  Wydaje się, że jesteś bardzo skuteczny i zawsze dostrzegasz pracę.
13008:  Możemy zdecydowanie używać człowieka jakiegoś takiego dla tej operacji.
13013:  Spodziewajmy się, że jego pewność jest w porządku.
13016:  O, jestem pewna, że jest.
13017:  Pan Darrow nie wierzy tylko w kogoś.
13020:  Potrzebujemy, żeby pomagał nam powstrzymać grupę terrorystów, które walczą o projekt Panchea.
13036:  To nie jest łatwa zadanie.
13037:  Ok, pomogę.
13039:  Świetnie.
13039:  Oto sytuacja.
13040:  Wydaje nam się, że te terroryści mają wysokie informacje o Pancea.
13043:  Mogliśmy ich przekonać do sprzedaży tego do jednego z naszych agentów, człowieka nazywającego się Lofé.
13057:  Zaznaczam, że spotkanie będzie odbywało się w górze Alicji, w dystrykcie Dalgona.
13062:  I chcesz, żebym przerażył to spotkanie?
13064:  W rzeczywistości, nie będzie to spotkanie.
13067:  Wysyłamy was sami, by upewnić się bezpieczeństwu pana Faye.
13072:  Terroryści nie będą to oczekiwać i będą mieć informacje z nimi na chipie Adeta.
13077:  Musisz zneutralizować wszystkie... Nie rozumiem tego.
13080:  Jeśli Faye zaznaczy spotkanie, dlaczego przerażą się wysyłać mnie w jego miejscowość?
13086:  Nie będzie żadnych casuali, będą tylko profesjonalni gamerzy.
13088:  Zróbmy to, o ba.
13106:  Jesteście najgorszy suchar dotyczący metra, a szczerze mówiąc szybkiego tramwaju w Krakowie?
13112:  Krakowski Szybki Tramwaj jest zwany Krakowskim Szybkim Tramwajem dlatego, że ma szybki z przodu i szybki z tyłu.
13127:  Nie możemy się rozstać z Piękną Panią.
13129:  Dobrze, idziemy od razu zrealizować ten quest.
13134:  Czy tutaj jest coś interesującego?
13136:  Nie, ale tutaj byliśmy.
13137:  Wiem o tym dlatego, że została dziura w ścianie.
13141:  Dobrze, yy... Idę w złym kierunku.
13150:  Ten schron ma piętnaście lat.
13151:  To wciąż mniej niż ja mam.
13153:  Eee...
13161:  Okej, nie wiem czy idę w dobrym kierunku, ale możliwe.
13165:  A, idę!
13166:  Kazarką nowicjusz jamniczego ognia, którego witam najserdeczniej na czatach.
13171:  Trybutuję, za co dziękuję.
13173:  Niech będzie podpalony na wieki wieków.
13174:  Spaczeń.
13175:  Niech cię, arcymagosie, przez ciebie zamawiam właśnie herbatę wiśnia z czekoladą.
13181:  Pyszna to herbata jest!
13182:  Czy dobra herbata może być zła?
13184:  Nie, nie ma możliwości.
13185:  W ogóle połączenie wiśnia i czekolada to jest połączenie, za które ktokolwiek, kto stworzył nasz świat, powinien zostać dodatkowo pobłogosławiony.
13197:  Wspaniałe.
13199:  Fortyfikacja.
13201:  Fortyfikacja.
13202:  Przepustka.
13203:  Dzień dobry.
13204:  Dzień dobry.
13205:  Dzień dobry.
13206:  Dzień dobry.
13207:  Dzień dobry.
13209:  Wszystkie węzły są nasze.
13211:  Proszę bardzo.
13214:  I jest program Stop Ksiądz Robak.
13216:  Mamy 43 księży robaków.
13221:  Myśmy tu kiedyś byli w tym mieszkaniu, wiecie?
13223:  Tutaj był posążek albo zegar
13227:  I wrzeszczeliście na mnie, że zegar Krzysztof, pominąłeś zegar.
13230:  No i co?
13232:  I nic.
13234:  I gówno, nic tutaj nie ma.
13237:  Przepraszam?
13239:  Poza lodówką.
13246:  Przecież jakaś katastrofa absolutna.
13251:  Tak, wracałeś tu sześć razy.
13253:  No właśnie.
13258:  Czyli bez sensu.
13260:  Może tutaj po prostu trzeba przejść, dlatego jest ten znacznik.
13262:  Cholera wie.
13264:  Sprawdźmy, czy my jeszcze na mapie.
13266:  No, tak ewidentnie.
13269:  Ketchup z czekoladą nie jest zły, pisze MagdaM1.
13271:  Ketchup z czekoladą?
13272:  Nie żartuj.
13274:  Jak to w ogóle smakuje?
13278:  Jak pomidory z czekoladą, Krzysztof, a co?
13281:  Nie no, tak serio, jak to smakuje?
13283:  Czy to jest rzeczywiście smaczne?
13284:  To nie jest coś, na co bym wpadł, że można to zjeść.
13288:  Czy są filmy o jamnikach?
13290:  Oczywiście, że będą filmy o jamnikach, Piotrze, ale to jutro.
13293:  Jutro są jamnikołajki.
13295:  Zostawmy coś na jamnikołajki.
13301:  Boczek w czekoladzie?
13307:  Aaa, czekolada z chili za to, to co innego.
13310:  Now we're talking.
13312:  Czekolada z chili to jest Rikcz.
13314:  Pyszna sprawa.
13321:  Okej.
13321:  O, wiem co to jest.
13325:  O, bezwładnij terrorystów.
13330:  O, bezwładnij czy zabij?
13336:  Ooo, nie.
13338:  Daru chce, żeby terroryści przeżyli.
13342:  No i dupa.
13351:  Oczywiście, że czekolada w czekoladzie, Rafał, jest najlepsza, no to wiadoma sprawa.
13360:  I tutaj by się... Tutaj by się przydało.
13376:  No...
13398:  Dobrze.
13401:  One down!
13403:  2137 to go.
13404:  Muszę powiedzieć, że to są najbardziej idiotycznie ustawione straże, jak można sobie to wyobrazić.
13424:  Zuza ma mrożącą w krew żyła historię.
13427:  Mianowicie, jak nie umiała połykać tabletek, tata zmiażdżył jej ibum w soku pomidorowym.
13432:  Nie będę mówić, jak to się skończyło.
13435:  Też uważam, Zuzo, żebyśmy się wszyscy chcieli dowiedzieć, jak to się skończyło.
13440:  A co to?
13441:  Pistol maszynowy.
13451:  Oczywiście, moja standardowa
13458:  Ale wiecie co, jest dobre, przyda nam się podwójne obezwładnienie, które mam.
13475:  Kazuki pisze, że kocha białą czekoladę, a biała bombolada to jest w ogóle cudo.
13479:  Bardzo rzadko.
13481:  jem białą czekoladę, ale zdarzało mi się jeść ciemną czekoladę z karmelem.
13487:  Ależ to... z słonym karmelem.
13490:  Ależ to było pyszne.
13492:  Dobrze, nasza bateryjka jest chyba.
13502:  Aaa, super!
13514:  Czysto.
13516:  Czysto, moi drodzy!
13523:  Uuu, ale tu chyba nie byliśmy.
13526:  Czym są te podziemia, którym nie wiem czym są?
13531:  Czy Krzysztof był w tych podziemiach?
13535:  Nie widzę tutaj nigdzie trupów.
13540:  Nie widzę również lodówek.
13542:  To jest problem.
13547:  Ale widzę prycze.
13548:  Aaa... Ciekawe.
13548:  Wydaje mi się, że... Aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
13580:  Aha.
13581:  Czyli zdobyliśmy podwójny skok po to, żeby odkryć absolutnie nic.
13589:  Przedziwne.
13590:  Czekolada z kawą?
13593:  W palarni kawy?
13595:  Tego nie jadłem nigdy.
13596:  Ale nie lubiłem nigdy rzeczy, które mają smak kawowy.
13600:  To było straszne.
13602:  Kompletnie niepotrzebna rzecz.
13606:  Aha, zła rzecz!
13609:  Nie mów mi, co powinienem, a czego nie powinienem.
13619:  Każdy strażnik zawsze w każdej skladance.
13621:  A!
13622:  Popatrzę sobie przez dwie godziny na ścianę.
13624:  Co się może złego stać?
13626:  Absolutnie winter.
13629:  Jak są takie płatki do mleka, kulki, jedne czekoladowe, drugie obrane biało czekoladą i zawsze te białe wyławiało się z morza czekoladowych, to ja przypominam sobie... Hej, hej!
13638:  I know you!
13639:  Zapomnę, co się przypominam Dobrze, dobrze
13672:  Uch... Więc, to mi przypomina, że były kiedyś takie babeczki w Krakowie sprzedawane, w cukierni, która się zowiła śliwa i rzeczone babeczki były albo białe z polewą czekoladową, albo ciemne
13694:  z polewą z białej czekolady.
13697:  Boże, jakie to było pyszne!
13700:  I żeby było jeszcze śmieszniej, jedna i druga babeczka miała w sobie orzeszek.
13706:  No wspaniałe!
13710:  Nie, to nie była śliwa.
13711:  Anthos.
13712:  Tak się nazywała ta cukiernia.
13713:  Anthos.
13714:  Babeczki u Anthosa.
13715:  Niestety nigdzie tego nie ma.
13717:  Sprzedawano to w dzielnicy, która wtedy jeszcze była bardzo industrialna, a teraz jest po prostu, wiecie, dzielnica taką elo-industrialną.
13726:  Soho, United States, Starbucks, nie?
13729:  Czyli... Za błocie.
13735:  Musisz odnieść ten chip, panie Johnson.
13762:  Tak jest, mamy ten, mamy ten chip.
13764:  Wychodzę na dwór czy na pole?
13766:  Na zewnątrz.
13767:  Zawsze na zewnątrz.
13793:  Trzeba hakować wszystkiego tego rodzaju przesądu.
13796:  Ooo, pamiętam to miejsce.
13797:  Nawet nie żartujcie w tym momencie.
13800:  Czy ja właśnie zrobiłem zapis... Tak.
13846:  O nie.
13849:  O nie.
13858:  Okej, tak się bawimy?
13859:  Nie ma problemu.
13861:  Żaczysko, witamy w gronie trybutariuszy!
13863:  To okazja, żeby się zajemniczyć, moi kochani.
13866:  Mam apteczkę?
13867:  Tak, tak, chowam apteczki na...
13869:  Czarną godzinę, a wierzcie mi, będzie ona.
13872:  Nastanie ona.
13874:  Dobrze.
13875:  Mam ile amunicji do snajperki?
13877:  Wystarczająco dużo.
13879:  Dobrze.
13879:  Tak się bawimy?
13881:  Nie ma problemu.
13882:  Nie ma problemu.
13891:  Czy ja naprawdę... Nie wierzę.
13913:  Jeden z głowy.
13917:  Drugi z głowy.
13925:  Trzeci z głowy.
13928:  Granata?
13928:  Nie mamy granata, mamy tylko EMP.
13935:  Czyli elegancko mało praktyczny.
13947:  Co to jest?!
13948:  Ile tych headshotów wytrzymuje? !
13960:  Tak, tak, ja wam dam, ja wam dam kampowanie.
13963:  Cztery headshoty.
13964:  Nie ma dla mnie, nie ma u mnie akceptacji dla sytuacji, w której jest headshot i ja muszę jeszcze raz strzelić gąbki na kulę.
13973:  Ochyda.
13973:  Nie znoszę tego w dra.
13981:  Dobra.
13981:  Empty?
13982:  Mówisz o swoim mózgu czy magazynku?
13992:  Gdzież on jest?
13995:  Co to za strzelanie przez beton?
13998:  Jacek Majchrowski lubi to.
14002:  Gdzie on jest?
14003:  Co?!
14006:  On jest... On jest... On jest niewidzialny.
14011:  To wyjaśnia mój problem.
14012:  Dobra.
14014:  To wyjaśnia mój problem.
14017:  A tam opancerzony.
14022:  Wiecie, wiele wyjaśnia to, że niewidzialny przeciwnik jest niewidzialny.
14036:  Okej.
14036:  Fuck.
14052:  Co za dramat.
14053:  Co za dramat.
14056:  W cyberpunku mnie doprowadzało do absolutnego szału to, że wrogowie byli gąbkami na kulę.
14062:  To już był drugi headshot.
14065:  Jestem zdenerwowany.
14077:  Boże drogi!
14079:  I teraz ten szaleniec.
14088:  Użyłem ostatecznej broni, czyli pistoletu.
14094:  Okej, tu jest jeszcze ktoś.
14095:  Ten też jest niewidzialny.
14102:  Boże drogi!
14106:  Nie mamy na rakiet do bazooki!
14111:  Wszyscy zginęli!
14112:  Bardzo dobrze!
14115:  Chryste, Jezu, żeby ten karabin był w naszych także rękach taki skuteczny, to byłoby cudownie.
14122:  Ale nie jest!
14125:  Baton energetyczny cyberblasta!
14131:  Amunicja do rewolweru.
