THE LAST OF US odc. 4 | Omówienie i Analiza
🔗 https://www.youtube.com/watch?v=uodZ_r5yHTQ
BFP (Bartosz Filip Malinowski, Bez/Schematu)
GW (Grzegorz Wątroba, Okiem Deva)
TN (Tomasz Nowakowski, Ubieram Się na Czarno)
KMM (Krzysztof M. Maj)

10:  BFP - Mili, witajcie na naszym wieczornym omówieniu i analizie live odcinka The Last of Us.
4444:  BFP - Brzmi jak coś, czego nie ma w Polsce.
4445:  BFP - Hahaha!
4448:  BFP - I ja wiem, że będzie jeszcze przynajmniej jeden odcinek, który oceniam podobnie jak ten, ale gwarantuję, że będą też takie, które zasługują na 10 na 10 i przynajmniej jeszcze jeden, który zasługuje na 11 na 10.
4463:  BFP - Więc naprawdę jest na co czekać.
4466:  BFP - Akurat się będziemy rozjeżdżać, bo o tym rozmawialiśmy.
4469:  BFP - Moja ocena jest troszeczkę inna, ale...
4472:  BFP - A moja ocena jest znakomita i wiem, że już są osoby, które wiedzą, że chodzi o odcinek zatytułowany Left Behind i ci, którzy grali, zostali wielokrotnie.
4481:  BFP - No właśnie, wiedziałem, że specjalnie chciałem wywołać Grzegorza.
4485:  BFP - Więc zobaczymy.
4486:  BFP - To będzie bardzo ciekawa dyskusja.
4487:  BFP - Ale było też pytanie od Agnieszki.
4488:  BFP - Kurczę, fajnie by było, jakbyście spojrzeli na serial całościowo.
4491:  BFP - Nikt nie powiedział, że tego nie zrobimy.
4494:  TN - Na pewno będzie spotkanie.
4496:  BFP - I myślę, że zaprosimy też więcej osób.
4498:  BFP - Będziemy w poszerzonym składzie.
4500:  BFP - Fajnie by było też poznać kobiecą perspektywę tego serialu.
4503:  BFP - Więc myślę, że możecie być pewni, że takie spotkanie będzie.
4507:  BFP - I to też jest ta różnica w odbiorze.
4510:  BFP - Między moim a Tomka, a jednak Grzegorza i Krzysztofa.
4515:  BFP - Szczególnie Krzysztofa, który nie grał ani w gry, ani nie widział, tylko ogląda odcinek po odcinku tydzień do tygodnia.
4521:  BFP - I nie rozumiem.
4525:  BFP - Bo miałeś świnie na geografii, no ale to już wiemy.
4528:  BFP - Tak, tak właśnie.
4530:  BFP - Może świnie rozwiązałyby ten problem zasobów, o którym mówiłeś i surowców, biorąc pod uwagę, że... Były bizony, czego chcesz.
4536:  BFP - Bizony są cięższe, większe, wydajniejsze, gęstsze.
4539:  BFP - Post-apo, w którym jeździmy na bizonach, to byłoby coś.
4543:  BFP - Panowie, jak po prostu... Ja mogę mieć słabe poniedziałki, myślę, że wiele osób może mieć słabe poniedziałki, ale wy sprawiacie, że one stają się lepsze.
4551:  BFP - I niech to będzie mój ukłon w waszą stronę, ale także wszystkich, którzy są w tym momencie z nami na tym live'ie.
4558:  BFP - W tym pawlaczu.
4560:  BFP - Na sam koniec, jakbyście mogli polecić coś, czego można się spodziewać w najbliższym czasie na waszych kanałach, możemy zaciąć do ciebie Krzysztofie i niech to będzie coś o świniach i geografii.
4571:  KMM - To będzie o świni, ponieważ będę starał się nie mówić o świni J.K.
4575:  KMM - Rowling podczas ogrywania Hogwarts Legacy w środę, ponieważ ta gra nie ma nic wspólnego z postacią J.K.
4580:  KMM - Rowling i od tego zacznę całego live'a.
4583:  KMM - A oprócz tego prawdopodobnie będzie w weekend dalej Hogwarts Legacy, ponieważ ta gra się zapowiada na tyle dobrze i pewnie jakiś short zobaczymy, może się coś dziwnego stanie.
4592:  KMM - W zasadzie jest zbyt dużo tematów nawet do podejmowania, w związku z powyższym trzeba je robić zbiorczo dla tych z was, którzy są zainteresowani.
4598:  KMM - Na przykład chodzi po umysłach naszych wspaniałych włodarzy w Ministerstwie Edukacji pomysł zakazu energetyków do 18 roku życia, jak również zakazu telefonów komórkowych.
4608:  KMM - Mam nadzieję, że widzicie już wspólny mianownik, to znaczy zakaz.
4612:  KMM - Więc dużo będzie o zakazach.
4614:  BFP - Słowek zapytał, czy live będzie w sobotę z powodu premiery odcinka 5.
4616:  BFP - Nie, nie, nie.
4619:  BFP - Nie, mamy swoje plany.
4621:  BFP - Recenzja będzie w sobotę o 12, ale live robimy standardowo w poniedziałek o godzinie 21.
4628:  BFP - Grzegorz, czego można się spodziewać u Ciebie na kanale w najbliższym czasie?
4634:  GW - No to tak, w zasadzie teraz codziennie nie będę wrzucał jakichś materiał, bo muszę nadrobić życie pod kamieniem, więc już było podsumowanie gier w lutym, jakie wychodzą, były już część newsów, które pojawiły się w styczniu i tak je nadrabiam tydzień po tygodniu, dlatego, bo to jest istotne dla kontekstu tego, co się aktualnie w grach dzieje, to jest jedno.
4654:  GW - Aktualnie już się mieli i będzie jutro o 16 na gorąco z okiem Deva, czyli jak ogrywam pierwsze półtorej godziny Hive Rush, czyli od początku do pierwszego bossa.
4667:  GW - Z komentarzem w sumie to gram godzinę, pół godziny sumarycznie gadam o tym, co w tej grze jest nie tak, mimo że zostało ocenione na 9 na 10 i przejdę do końca.
4676:  GW - Jeżeli moi drodzy będziecie chcieli
4681:  GW - zobaczyć resztę, jak ogrywam je glamie, bo zacząłem grać od razu na VeryHardzie, to jest to gra mimo wszystko dość zróżnicowana, jeżeli chodzi o poziom trudności, co też widać w trakcie mojego przebiegu rozgrywki.
4695:  GW - No i poza tym jeszcze będę się brał troszeczkę za rogi z analizą tego, tak zastanawiam się nad przyczynami porażki Callisto Protocol i Forspoken pewnie w osobnych materiałach.
4708:  KMM - Grzegorz, mam dla ciebie przyjacielską radę.
4709:  KMM - Jeżeli chcesz mówić dużo o wadach gier i błędach w projektowaniu, nigdy, ale to nigdy nie mów tego o grach from software.
4719:  BFP - Ha!
4720:  BFP - Try me!
4723:  GW - Pojawiło się jeszcze pytanie od Klaudii.
4724:  GW - Grzegorz, kiedy live?
4727:  GW - Kiedy live?
4727:  GW - Kiedy dobijemy do dwóch tysięcy subskrybentów albo w marcu.
4733:  GW - Cokolwiek będzie wcześniej.
4734:  GW - Chyba chodziło o HiFi Rush.
4738:  GW - A Hi-Fi Rush, no to w momencie, kiedy będzie dobry odzew po tym materiale, który wyjdzie jutro, to zorganizuję czas tak, żeby robić streamy regularnie, aż przejdę tą grę, bo ona będzie prawdopodobnie na kilkanaście godzin.
4751:  BFP - Rejnefan napisał, Grzegorz, Krzysztof, Filip i Jezu, przepraszam, nie pamiętam imienia.
4755:  BFP - Jesteś świetny, Tomasz.
4758:  BFP - Dziękuję za świetną analizę, ale mi głupio, że nie pamiętam imienia kolegi.
4762:  BFP - Tomasz, Tomek z Ubieram się na czarno, czego można się spodziewać u Ciebie?
4767:  TN - Poza The Last of Us.
4768:  TN - Tak, dzisiaj dostałem również do recenzji Hogwarts Legacy, więc zaraz po tym live'ie na pewno będę instalował i na Ubieram się na czarno, bo jestem bez nocnej straży na Facebooku będę na pewno jakąś recenzję o tym pisał, a na TikToku Ubieram się na czarno na pewno więcej materiałów o The Last of Us i jakichś innych
4790:  TN - serialach, które na bieżąco oglądam.
4794:  BFP - Polecam na TikToku, ale można też na Instagramie, bo tam też wrzucasz rolki.
4800:  BFP - Ja planuję ogrywać w środę Hi-Fi Rush, ale biorąc pod uwagę, że Krzysztof wystartuje Saguar's Legacy, to rozważę ankietę i być może przeniesienie tego streama, bo będziemy się kanibalizowali, jak to mamy w zwyczaju.
4810:  BFP - Dziwnie to brzmi, ale tak.
4813:  KMM - Czyli przenosi metafory z The Last of Us do życia empirycznego.
4818:  BFP - Be careful what you wish for.
4821:  BFP - I to jest spoiler bez kontekstu.
4825:  BFP - Ale pięknie zamilkliście.
4827:  BFP - Dziękuję wam serdecznie, dziękuję wszystkim na czatach i do zobaczenia w przyszły poniedziałek w tym składzie.
4834:  BFP - Dzięki, do zobaczenia.
4836:  KMM - Do zobaczenia.
