THE LAST OF US odc. 8 | Omówienie i Analiza
🔗 https://www.youtube.com/watch?v=-qnVegfHyeM
KMM (Krzysztof M. Maj)
BFP (Bartosz Filip Malinowski, Bez/Schematu)
GW (Grzegorz Wątroba, Okiem Deva)

14:  BFP - Mili, witajcie na naszym cotygodniowym omówieniu.
4753:  KMM - Szczerze mówiąc, tak pod względem tempa narracyjnego i tak dalej, gdyby to był odcinek wcześniej lub dwa odcinki wcześniej, a pewne rzeczy zostałyby skompresowane po drodze, a inne wątki rozbudowane, to może nie wyszłoby to na złe.
4767:  KMM - Alternatywnie właśnie, gdybyśmy mieli do czynienia z 10-12 odcinkowym serialem, myślę, że 12 to byłoby takie optimum, nie?
4774:  KMM - żeby to jakoś napięcie rozlokować i rozbudować, bo jednak były przestoje i ja z perspektywy teraz przedostatniego odcinka muszę się zgodzić z częścią komentujących, która mówiła, no tak, ale tutaj było trochę za mało, że tutaj było trochę za dużo przestojów, za bardzo akcja spowolniła.
4789:  KMM - Teraz się z tym zgadzam rzeczywiście, bo myślę, że ten serial ma do opowiedzenia,
4795:  KMM - więcej tego rodzaju historii, więcej tego typu historii, niekoniecznie z wykorzystaniem naszej dwójki bohaterów, które by nam pokazały te różne facety, różne przejawy życia w czasach zarazy.
4809:  BFP - Mogę powiedzieć dwie rzeczy.
4811:  BFP - Uspokoić was co do finału, bo finał koncentruje się na tym, co najważniejsze i dowozi.
4817:  BFP - Jestem głęboko przekonany, że dowozi.
4819:  BFP - Dzisiaj nagrywałem recenzję ostatniego odcinka.
4821:  KMM - Jest krótki czy jest długi?
4823:  KMM - To nie ma znaczenia.
4826:  BFP - 46 minut, ale to w pełni wystarczy do tego, żeby dać nawet więcej niż się spodziewasz po finale, ponieważ ma retrospekcję na początku, która jest potężna.
4835:  BFP - Jest naprawdę potężna, nie był jej w grze, więc tylko tyle wam powiem, żeby was jednak zachęcić do czekania.
4842:  BFP - Uważni mistrzowie dedukcji powinni wiedzieć, że powinna się pojawić jeszcze jedna aktorka z gry, która tutaj będzie miała swoją rolę do odegrania.
4854:  BFP - Ma wszystko to, co powinien mieć finał, włącznie z pewną sceną, na którą czekają absolutnie wszyscy, którzy kochają grę.
4860:  BFP - Jedną z najbardziej ikonicznych scen i słowo do słowa w zasadzie zobaczycie.
4867:  BFP - Natomiast druga rzecz, którą chciałem powiedzieć, to ja wiem, że ja z tego naszego towarzystwa najbardziej noszę łatkę fanboya i nie dziwię się dlaczego, przeżywam
4877:  BFP - moją ulubioną grę i adaptacja jest dla mnie wyśmienita, ale możecie być zaskoczeni, jak za tydzień zobaczycie moją recenzję całego sezonu, ile będę miał szpilek do wbicia w tę serię.
4889:  BFP - I ile będę miał uwag, że coś mogło być zrobione trochę lepiej albo inaczej.
4895:  BFP - I kompozycja, tempo, struktura jest jednym z tych zarzutów.
4901:  BFP - I widzę to dopiero z perspektywy czasu.
4905:  BFP - bo tak dużo oczekuje od tego serialu i tak wysoko postawił sobie poprzeczkę.
4909:  BFP - My mierzymy nie do innych seriali ten serial, tylko w tym momencie mierzymy do jego najlepszych odcinków, a pierwsze trzy odcinki były wybitne.
4917:  BFP - Postawiły poprzeczkę tak wysoko, że kiedy mieliśmy mniej zainfekowanych, kiedy mieliśmy zwolnienia tempa, kiedy czuliśmy, że postaci nie są tak ciekawe jak na przykład Bill,
4926:  BFP - Pojawi się głód.
4928:  BFP - Tak, więc, ale mimo to i to chciałbym, żeby jeszcze raz wybrzmiało, odbiór tego serialu może być inny i patrzę tutaj na waszą dwójkę i w zasadzie na wszystkich z was, kiedy ogląda się go odcinek po odcinku.
4943:  BFP - Wtedy, kiedy trzeba czekać tydzień na dany kolejny odcinek, a ten nie spełnił wszystkich naszych oczekiwań.
4951:  BFP - to ocenia się go gorzej niż kiedy obejrzało się odcinek, jest się zadowolonym i można od razu odpalić kolejny.
4957:  KMM - Oczywiście.
4959:  BFP - To wpływa na odbiór i to muszę przyznać wprost.
4962:  BFP - I jakkolwiek przyjemne byłoby omawianie tego tydzień do tygodnia, bardzo żałuję i powiem to jeszcze za tydzień, że więcej osób nie miało tej wspaniałej możliwości obejrzenia całości, bo może to wpłynąć na odbiór całego serialu.
4978:  KMM - Tak, to wpływa na odbiór całego serialu, dlatego na początku ja już się wycofałem z tego argumentu, bo pod presją otoczenia, bo nawet ja jej nie do końca lubię w takim, tak aomas, ale no naprawdę formuła procedurala serialowego typu
4993:  KMM - Detektyw Mank, Dekster dzisiaj wywołany, po prostu lepiej pasuje do oglądania z odcinka na tydzień, bo wtedy mamy dwa plany narracyjne.
5001:  KMM - Na jednym są sprawy tygodnia, mikrofabułki, historie, domknięte opowieści, a na drugim planie fabularnym to dlaczego oglądamy Dekstera.
5010:  KMM - The long game.
5011:  KMM - I tutaj czegoś takiego nie ma, choć mogłoby być oczywiście.
5015:  KMM - i wtedy by sprawa była zupełnie inna, ale przez fakt, że tego nie ma, no to po prostu ma się wrażenie urwanego kontentu, no i nikt nie lubi urwanego kontentu.
5024:  BFP - L napisał, czy I napisał, że gdyby wypuścili całość, to po dwóch tygodniach nikt już o serialu by nie mówił.
5029:  BFP - Tak!
5029:  BFP - Ale i wtedy rodzi się ten problem.
5032:  BFP - To dobrzy producenci i dobrzy scenarzyści muszą pochylić się nad tym materiałem, który mają i zrobić to, co powiedział Krzysztof.
5041:  BFP - Każdy odcinek kończyć tak jak ten.
5043:  BFP - Dać poczucie kompletności rozdziału.
5046:  BFP - I to nie udało się za każdym razem.
5047:  BFP - A w szczególności nie udało się w przypadku odcinka czwartego.
5050:  BFP - I to ma znaczenie.
5051:  BFP - To ma znaczenie i o tym będzie warto mówić więcej.
5054:  BFP - Natomiast chciałbym tylko powiedzieć, że wszystko zmierza do finału.
5060:  BFP - I mówię to metaforycznie i dosłownie.
5064:  BFP - Wszystko, co widzieliście, każdy akcent, każdy powracający refren o bezwarunkowej miłości prowadzi nas do tego, to zobaczymy w kolejnym odcinku.
5074:  BFP - I jestem przekonany, że dyskusja, która wówczas się pojawi, nie wystarczy nam tylko na ten odcinek.
5080:  BFP - Będzie potrzebne również dodatkowe spotkanie, które też już zapowiadaliśmy tydzień później, w kolejny poniedziałek, z dodatkowymi gośćmi.
5086:  BFP - Będziemy w poszerzonym składzie.
5089:  BFP - I będzie o czym rozmawiać, ale uwierzcie mi, prawdopodobnie najwięcej będziemy mówili właśnie o zakończeniu.
5093:  BFP - I na to liczę, że z takim wrażeniem i takim uczuciem i takimi refleksjami pozostawi was zakończenie The Last of Us.
5100:  BFP - Także Krzysztofie, mój przyjacielu, znaczy Grzegorz to wie, tak?
5104:  BFP - I można się tylko uśmiechnąć, ale masz na co czekać.
5107:  BFP - I wy wszyscy, którzy nie znacie tej historii.
5109:  BFP - Fakt.
5109:  GW - Zazdroszczę, że nie znacie tej historii.
5113:  BFP - Zazdroszczę, że możecie przeżyć to i spojrzeć z perspektywy zakończenia wtedy retrospektywnie na wszystkie poprzednie osiem odcinków i może nawet dać im pół oczka albo oczko wyżej, jeżeli wydawały wam się nudne.
5126:  BFP - Panowie, jak zawsze, największa przyjemność.
5129:  BFP - Dziękuję bardzo, w ogóle pobiliśmy jakiś rekord tutaj frekwencyjny.
5132:  BFP - Bardzo dziękuję wam wszystkim za to, że do nas dołączyliście.
5136:  BFP - Pytanie nie, gdzie sukcesja, gdzie sukcesja?
5138:  BFP - Sukcesja pojawi się dwa tygodnie po finale The Last of Us, więc na sukcesję to my będziemy gotowi.
5146:  BFP - Naprawdę.
5146:  BFP - I to też w nowym składzie.
5147:  KMM - Wtedy będziemy mówili, że to jest The Last of Us w świecie gry o tron.
5150:  KMM - Bingo!
5153:  BFP - Jak ma coś mamy bingo.
5156:  BFP - Tak.
5156:  BFP - Jutro zapraszam was bardzo na stream z Wiedźmina, ponieważ będę prezentował nowy piękny montaż, który widzieli chłopaki już, związany właśnie z tym naszymi spotkaniami The Last of Us, przygotowany przez dygresywnego Wilka i wykorzystujący pewną kultową scenę z American Psycho.
5173:  BFP - I tam jest cały wątek bingo, także polecam się pojawić na streamie.
5176:  BFP - Ty widziałeś chyba Krzysztof, ty Grzegorz też, nie?
5178:  BFP - Jest, tak.
5179:  KMM - To jest piękna scena z wizytówkami z American Sign.
5183:  GW - To ja tylko sobie pozwolę na zakończenie.
5185:  GW - Jak ostatnio wykminiłem wiersz, to teraz też mi się jakoś budzi taka artystyczna dusza.
5192:  GW - A gdy Spartan Rage Joella na pełnej się włączy, nawet gdy rana w jego boku się jątrzy złego pasterza, jednak Ellie pokonała wśród ognia tasakiem, gnoja zaciukała.
5203:  GW - Teraz we dwójkę straumatyzowani idą dalej silniejsi, choć sterani.
5211:  BFP - Ja już wiem, co Grzegorz robi, kiedy milczy.
5216:  BFP - I czasem aż sprawia, że chce zachęcić się do większego milczenia, żebyś mógł tworzyć.
5222:  BFP - Bo to jest naprawdę sztuka.
5226:  KMM - Nie Filip, nie.
5227:  BFP - To jest sztuka.
5232:  BFP - Zrób to jeszcze raz, proszę, zrób to, tylko lepszym głosem, jeszcze lepszym głosem.
5235:  BFP - Przestań dorecenzować mój głos.
5238:  KMM - Proszę.
5241:  KMM - Dobrze, dobrze Filip, zrobię to dla ciebie.
5244:  KMM - Sztuka.
5249:  KMM - Mięsa.
5256:  KMM - Chyba doszedłem.
5257:  KMM - Polecam czatom opowiadanie Terry'ego Bissona, oni są z mięsa przy okazji.
5261:  KMM - Spodoba wam się.
5263:  KMM - Jest dostępne w internecie.
5268:  BFP - Panowie, bardzo wam dziękuję i dziękuję wszystkim z was, którzy do nas dołączyli.
5272:  BFP - Jeszcze tylko słówko na koniec od was.
5274:  BFP - Czego się spodziewać od was na waszych kanałach i w waszych mediach w najbliższym czasie.
5278:  BFP - Grzegorz.
5280:  GW - O matko, w najbliższym czasie to ja dowożę Majstona, ale w końcu tak, Hi-Fi Rush Stream musi w końcu nadejść, bo chcę skończyć tą grę, porobić zaległe materiały, ale kiedy to nastąpi, nie wiem, najprawdopodobniej od przyszłego tygodnia będzie duży napływ zawartości, w tym jeszcze najprawdopodobniej niespecjalnie dużo.
5304:  GW - Ale będą i recenzje, i analizy, i newsy, i streamy, bo chcę też zrobić sobie godzinę na gorąco z Warlong Dynasty, dlatego, bo to jest mój ulubiony typ gier.
5317:  GW - Przypomina mi tutaj najlepsze czasy Team Ninja.
5320:  GW - Chociaż zobaczymy, jak będzie z jakością, ale to się dowiecie w trakcie godziny na gorąco.
5324:  BFP - I Krzysztofie, myślę, że to jest, skoro jest z nami tyle osób, fajnie, żebyś powiedział też o swojej inicjatywie z Hogwarts Legacy.
5330:  KMM - U nas zbieramy na kanale cały czas na fundację równościowo wspierającą osoby LGBTQ+, trans i zebraliśmy w tym momencie za trzy streamy z Hogwarts Legacy 10 tysięcy i idziemy po więcej w ciągu następnych.
5345:  KMM - Mam zamiar utrzymać rytm trzech streamów na tydzień.
5349:  KMM - Oby się udało, ale gra jest cudowna i miodna i zyskuje na całkowitym odłączeniu od osoby autorki prozy, która swoją drogą teraz ma kolejną odsłonę, bo media rodzina zapowiada książkę właśnie tej pani, to znaczy J.K.
5364:  KMM - Rowling i nikt nie protestuje.
5366:  KMM - Odsyłam do naszej rozmowy na bez schematu raz jeszcze, bo to kolejny kamyczek do naszego argumentacyjnego ogródka.
5372:  BFP - Nawet dostaliśmy dzisiaj tak zwany shoutout od Roka i Borysa, co jest dość miłe.
5379:  BFP - Bardzo dziękujemy za polecajkę i odniesienie do tej dyskusji.
5382:  BFP - A ja a propos gier miodnych, radosnych i budujących nadzieję co do człowieczeństwa, to zapraszam was w środę o godzinie 18 na mój pierwszy stream z gry Bloodborne, którą sami wybraliście.
5397:  BFP - 4000 osób wzięło udział w głosowaniu i dałem trzy gry do wyboru.
5401:  BFP - Dark Souls 1, Elden Ring i Bloodborne.
5404:  BFP - I Bloodborne wygrał zdecydowanie
5406:  KMM - się cieszę, że ten link nie wygrał.
5410:  BFP - Jeżeli chcecie, ja już przygotowuję esej, którego już mam tytuł i tytuł będzie brzmiał jak zostałem skancelowany i on będzie generalnie opowiadał całą moją historię streamów z Bloodborne'em i tym jak ludzie nazbierali wystarczająco materiału, żeby stwierdzić Filipie, wystarczy twojej przygody z internetem.
5428:  BFP - Także zapraszam bardzo serdecznie.
5433:  BFP - Panowie, raz jeszcze dziękuję i dziękuję wszystkim z was, którzy do nas dołączyli.
5437:  KMM - Dziękujemy.
