🔴 Yuan-bo zwiedza terrarium z Mazdamundim — WARHAMMER 3 Yuan-bo #2
🔗 https://www.youtube.com/watch?v=Xd5wxHcz938

193:  Witam wszystkich najserdeczniej!
10720:  O, o i no i tu to jest mapa dla katajczyków, tak?
10723:  Ja tu się rozkładam z działami i mogę napierniczać już od razu.
10728:  I o to chodzi.
10730:  Boże, mieliśmy taką piękną armię i ona jest tak żałosna teraz.
10734:  I najgorsze jest to, że zrekrutowanie nowej armii zajmuje 70 tur znowu.
10741:  Dobrze.
10742:  Oni pójdą do jednego oddziału z jeźdźcami.
10746:  Okej.
10747:  Co to jest?
10748:  Nic nie daje.
10751:  No jeszcze te cholerne koatle mają magię.
10755:  Darmową.
10762:  Dramat.
10763:  Bannerlord na stronie?
10764:  Małe szanse.
10764:  Nie grałem nigdy w Bannerlorda.
10768:  Tak, jeżeli chodzi o dyscyplinę, to my mamy minus 8 do dyscypliny, zobaczcie.
10774:  Nie no, minus 4, a AI ma plus 8.
10777:  Dobra, on teraz powinien... W ogóle jest tak, że jeżeli tracimy Lorda, to armia dostaje jakiś chory... ...modyfikator dyscypliny w dół.
10792:  Natomiast nie dzieje się tak, jeżeli AI traci Lorda.
10795:  Wtedy nie.
10799:  Niezmiennie tego nie znoszę.
10801:  Też nie wiem dlaczego oni znikają nagle.
10803:  Znowu mają jakąś zdolność kretyńską, której ja nie mam.
10808:  Dobra, spokojnie, mam już tego lorda.
10811:  Zginiesz teraz.
10812:  Pięknie.
10814:  Pa pa.
10817:  Mhm.
10820:  Spokojnie.
10821:  Coat teraz zostanie unieruchomiony.
10826:  Bardzo dobrze.
10827:  Jak zostanie unieruchomiony, to napierniczamy do niego z dział.
10835:  Co ciekawe, to nie jest jedyny koatl.
10837:  Dobra.
10848:  Czterogate!
10849:  Flankujące!
10850:  To jest jakaś komedia.
10858:  Dobrze, autentycznie poczuję erotyczną przyjemność jak ten Koatl zginie.
10864:  Choćbym miał stracić Ioana Bo w kum celu, to wolę.
10875:  Te nefrytowe lwy, które są nieustannie...
10879:  W stanie agonalnym jest załamujące.
10882:  A, koatle skrywają te jednostki.
10883:  Co one jeszcze robią?
10887:  Co one jeszcze robią?
10888:  Strasznie przekombinowana jednostka.
10891:  Prezent dla AI od Creative Assembly.
10897:  Dobrze.
10900:  Koatle powinny za moment zginąć.
10902:  Mam zerowe mieć straty.
10904:  Zerowe.
10905:  Zerowe.
10915:  Wyeliminuj mi tego koatla i to natychmiast.
10919:  Nowy frys?
10920:  Nie świeżą akurat błemu balwieża, wiesz?
10930:  Dobrze, ale giną.
10931:  To lubię widzieć.
10933:  Boże, potrzebowaliśmy dwóch bitew dwiema armiami, żeby ich wyeliminować.
10938:  To jest smutne.
10943:  To jest wręcz smutne.
10951:  Ma być zero.
10952:  Jakie 45?
10953:  Skąd?
10953:  Gdzie?
10953:  Czym?
10960:  Ja nie wiem, ja nie wiem, co się dzieje.
10964:  Uwielbiam grać krasnoludami, Bartku Mieju.
10966:  Daui są świetni w dotrzymania linii akurat.
10971:  Mikołaj w tym roku przyszedł szybciej w Warhammerze, przyniósł prezent takiego, którego się nikt nie spodziewał.
10976:  Masz na myśli wygraną?
10978:  Oj, oj, oj, ktoś przegrał.
10980:  Świetnie.
10981:  Jezus, wreszcie.
10983:  Dobrze, moi drodzy.
10984:  Nie ma to tamto.
10986:  Uciekamy przed siostrami z Mieszku, bo one teraz jak zaatakują, to będzie naprawdę duży problem.
10993:  Tutaj już równolegle budujemy armię.
10998:  Tak, na pomoc potrzebujemy armii.
11002:  Jakiejkolwiek mogą być oni.
11004:  Świetnie.
11005:  To znowu oni.
11007:  Niebiańscy kusznicy.
11014:  O tak.
11015:  Najlepsza jednostka strzelająca w grze.
11018:  I to autentycznie ma największy zasięg.
11020:  Cudowna, wspaniała.
11023:  Oczywiście zabójstwo nie zadziałało, ale czy wreszcie... Miao Ying chce... Nie.
11030:  Nie.
11035:  Powinna nas uwielbiać, ale nas nie uwielbia z jakiegoś względu.
11039:  Horror.
11042:  Nie spóźniłeś się na live'a Szymonie.
11044:  Jeszcze jest, jeszcze jest!
11046:  To bardzo zły trend u deweloperów.
11048:  Gier nie potrafisz zrobić dobrego jaja, rozwiązanie daje im przekładackie statystyki.
11051:  Ale to jest problem silnika, który ma Creative Assembly.
11053:  Creative Assembly nie ma czasu, żeby pracować nad silnikiem i pracować nad rozwiązaniami, ponieważ produkcja, o czym mówili zresztą devowie, zmusza ich nieustannie do tego, że robili kolejne milestone'y, wypuszczali kolejne gry i oni mają czasu popracować nad podstawami, które w ogóle sprawiają, że gra się dobrze w Total Wary.
11071:  Na przykład ten brak bitew morskich, które były fantastycznie zrobione wcześniej.
11075:  Gdzie były bitwy morskie?
11076:  Ba w Szogunie były, w Romu też były bitwy morskie.
11079:  Naprawdę dobrze się grało.
11083:  A tak jest jak jest.
11085:  Dobądź broni, oczywiście, że dobądź broni.
11088:  O, już się zaczyna, już się zaczyna.
11090:  Drobne zwycięstwo, tak, ponieważ mamy straty niewielkie, no i leci.
11095:  To też może być tak, że oni są silniejsi od ciebie, więc nie będą chcieli tak łatwo podpisać umowy.
11099:  Tak, tak, tak, to też jest ta kwestia.
11100:  Wystarczy mają więcej o jedną armię.
11106:  Ja ci dam łysienie, Wispę, ja ci dam łysienie.
11109:  Krzysztof się zaczesuje do tyłu, więc nie będziecie wiedzieć, kiedy Krzysztof zacznie łysieć.
11114:  Tak będzie, nie zmyślam.
11118:  Dobrze.
11120:  Tutaj jest ładne miejsce, gdzie możemy mieć... Widzicie już, po co mi są te wszystkie skały naokoło?
11125:  Przecież bitwy byłyby męczarnią, gdyby nie to.
11128:  To jest jedyna taktyczna opcja, która istnieje w tej grze.
11132:  A i tak mam zawsze wrażenie, że to jest za mało.
11137:  Bo oni się mogą przedrzeć ze wszystkich stron i oni będą to robić.
11143:  Dobra.
11148:  I teraz tak, co nam zagraża?
11150:  Ogrzebyki.
11151:  Nie, nie, nie, nie.
11152:  Tu jest jeźdźcy kół w żałoby.
11155:  To jest bardzo niebezpieczna jednostka wbrew pozorom.
11159:  Dobra konnica.
11160:  Jedna z lepszych konnic w grze.
11162:  Mimo, że to nie jest konnica technicznie, tylko bycznica.
11166:  Tak, Creative Assembly robi za dużo gier i oni teraz obiecali, że przestaną.
11170:  Dosłownie.
11171:  Będą mieli mniej projektów.
11179:  Dobrze, jeść cykłów załoby obrywają.
11181:  Świetnie.
11184:  Mam bardzo złe przeczucie tutaj co do tej flanki.
11190:  Dziękuję.
11195:  Pro tip jeszcze jeden jest taki, że jeżeli się rozciągniecie w taką tyralierę, to czasem można walczyć lepiej, a czasem wręcz przeciwnie.
11202:  Jeżeli bronicie na przykład takiego przesmyku, to lepiej mieć taką formację, bo będzie się ten oddział dłużej utrzymywał.
11214:  No tutaj sobie zrobimy małą szachownicę, myślę Jak tam ogrzebyki Czyjeś cyków żałoby, dobrze, obrywają, o to chodzi Łojojoj, tu są jacyś łucznicy A tego to ja się nie spodziewałem w ogóle Ale dobrze, niech marnują, niech marnują amunicję Tylko problem polega na tym, że
11237:  Mogą oberwać te nasze latarnie smuteczek.
11240:  Nie zauważyłem, że mają łuczników.
11243:  Nie wiem, czy nasze latarnie będą w stanie w ogóle uciec przed nimi.
11248:  Ponieważ wiecie, to jest statek latający, więc z powyższym on nie ma szans przeciwko gnoblarskim traperom, którzy strzelają do niego chusteczkami do nosa.
11257:  Oczywista sprawa, nie?
11260:  Spróbujemy ich trochę zmylić.
11269:  Jest szansa, że jak będziemy przez las sunąć, to nas nie zauważą.
11275:  Okej, okej, udało się.
11282:  Dobrze, łucznicy.
11284:  Eliminować tych jeźdźców kłów żałoby przede wszystkim.
11287:  I kusznicy także.
11294:  Gnoblarscy traperzy również mnie niepokoją tu bardzo.
11299:  Spróbujemy zaatakować ich w ten sposób.
11301:  O, proszę bardzo, tu jest jeszcze jeden oddział jeźdźcówków żałoby.
11304:  Wiedziałem, że mam się czym przejmować.
11311:  Dobrze.
11315:  Strzelaj w nich.
11316:  Natychmiast.
11319:  Dobrze, ten zwód się udał, moi drodzy.
11323:  Stream z civki szóstki.
11325:  Civka mi jakoś nigdy nie podchodziła.
11326:  Za mało tam magii jednak.
11328:  Ja muszę mieć... Także w grach w Total War ja muszę mieć magię, żeby się cieszyć.
11336:  Dobrze, atakujcie mi tych gnoblarskich trapperów.
11340:  Najlepiej atakujcie wszystkich naraz.
11342:  Da się tak zrobić?
11343:  Będę zadowolony wtedy.
11345:  I am prepared!
11346:  You are prepared for nothing!
11356:  Dobrze, jeźdźcy kurzałoby chyba zostali wyeliminowani, to jest dobra wiadomość.
11362:  Okej, okej, okej.
11364:  Dobrze.
11367:  No to przerżnęli.
11370:  Tutaj przynajmniej mamy jakieś poczucie, że nasza taktyka coś dała, nie?
11375:  Poczułem się nagrodzony przez grę za taktykę.
11378:  Natomiast jeżeli chodzi o pytanie od Igneza o Paradox Interactive, to Stellaris.
11384:  W Stellaris grałem sporo.
11388:  Dobrze.
11389:  Poginęli wszyscy praktycznie.
11390:  Świetnie.
11395:  Twoje latające origami to kamieniami można popsuć, więc nie dziw się, że padają szybko.
11399:  Byłoby super, gdybyśmy zaniast nich mieli wersję junkującej junki, która strzela pociskami, rakietami.
11406:  O Boże, ona jest wspaniała.
11408:  Uwielbiam.
11414:  Szeroka linia do zadawania damage'u, wąska linia do trzymania frontu.
11418:  Tak jest, moi drodzy, to jest jedyna rada w tej grze.
11422:  Latający origami.
11426:  To jest latający origami.
11427:  Jest to prawda, moi drodzy.
11429:  Furag?
11430:  To jest jakiś... To jest fairy, moi drodzy.
11433:  O, proszę, proszę.
11434:  Jak się cieszę, że atakuje nas przeciwnik, którego nie jesteśmy w stanie pokonać.
11439:  To bardzo dobra wiadomość.
11441:  O, Gotrek i Felix.
11442:  To jest akurat świetna wiadomość.
11444:  Gotrek i Felix nam się przyda tutaj.
11447:  Bardzo.
11448:  Niezależnie od tego, co się tutaj będzie działo, przyda nam się.
11453:  Dobra, tutaj rekrutacja trwa.
11459:  Dobrze.
11461:  Jest lepiej, niż źli było.
11463:  Bohater się nie poruszył.
11464:  O nie, tylko nie to!
11470:  W DLC New Frontier Pass do Civ Kiszewskiej dodali Apocalypse Mod, w którym są kultyści powodujący kartastrofy naturalne.
11476:  Czyli mówisz, że to jest magia, czerwony liście.
11478:  Proszę bardzo.
11479:  Czyli jednak.
11486:  Ale moi drodzy, nie ma to jak piąteczek i gra.
11488:  Ja wiem, że były w soboty i w niedzielę streamy w wakacje, ale piąteczek i gra to jest jednak inna, to jest jednak inna rozmowa.
11495:  W piąteczek się gra najlepiej.
11501:  Oho.
11504:  No to bierz, bierz se, bierz, bierz, bierz, bierz, bierz se to miasto, bierz se to miasto.
11509:  Krzysztofa nie obchodzi.
11511:  Frakcja Zniszczona Kult Rozkoszy.
11513:  To, co się dzieje na tej mapie, to jest... Morati zwykle dominuje na tym etapie.
11519:  Ja nie wiem, co tu się dzieje.
11524:  Dobrze.
11527:  Co ty możesz wziąć?
11531:  Terrakotowy Strażnik.
11532:  To, moi drodzy, może być dobra opcja do walki z Mazdamandim, ale mamy za mało, zdecydowanie za mało pieniędzy na niego.
11541:  Jak ze zdrówkiem?
11544:  Mogłoby być lepiej.
11545:  Strasznie mnie męczą zatoki jeszcze.
11552:  Dobra.
11554:  Proszę mnie tutaj nie denerwować mnie tym, dobrze?
11559:  Lord się nie poruszył.
11560:  No nie poruszył się, tak bywa.
11564:  Dobrze, wyślemy teraz tę inną karawanę, drugą, w trakcie jak tamta wraca.
11568:  Może się nam uda tu pójść, może.
11572:  Mamy tam słabszą armię niestety.
11583:  Może nam się to przyda do paktowania z Miao Ying, ale mam pewne wątpliwości.
11588:  O Boże, to mój Warhammer w końcu cieszy się murek.
11592:  Cioranie w gierki po ciężkim tygodniu wspaniałości, prawda?
11595:  Prawda, Red Pencil?
11599:  Piąteczek po drzemce.
11600:  Jezu, ja dzisiaj w ogóle jestem jakoś ekstremalnie długo na nogach, bo wstałem o godzinie 8, mieliśmy obrony dyplomowe.
11607:  Jedna obrona dyplomowa poszła super, a wiecie jaka była druga obrona dyplomowa?
11612:  Babeczka się pojawiła mimo choroby i myśmy jednogłośnie powiedzieli całą komisją, nie, nie, nie, proszę wracać zdrowie, bo tak nie można jeszcze przy L4, dajcie spokój.
11620:  Patrzcie, to jest tak straszne, jest taka presja.
11623:  że nawet mi nie powiedziała moja własna dyplomatka, że się czuję zbyt źle, powiedziała, nie, nie, nie, nie, to nie ma problemu, za 10 minut będę, nie jestem aż tak ora.
11631:  Nie róbcie takich rzeczy, moi drodzy, zdrowie jest najważniejsze, ważniejsze jest od jakichś tam śmiesznych obron, no dajcie spokój.
11639:  Te siostry z Mieszku tutaj mnie bardzo martwią.
11642:  Widzicie, w zasadzie to jest ten przypadek, kiedy nasz sojusznik nam przeszkadza w większym stopniu niż pomaga, ponieważ to oni nas wplątali w tę wojnę.
11651:  Będzie Łukaszu, bardzo możliwe Dark Souls 1 na streamka, bo mam ochotę, olbrzymią.
11657:  Techniki łowieckie, a typu skradanie się dla łuczników.
11660:  Ojej, tempo uzupełniania strat dla chłopów.
11663:  Co za wspaniała wiadomość.
11664:  O, to chcemy.
11667:  Tak jest.
11668:  Chcemy, żeby nasza elitarna gwaria była elitarna, a nie kwazjelitarna.
11672:  Tego właśnie chcemy.
11675:  Dobrze, spróbujemy zbejtować siostry Zmieszku teraz.
11679:  Gotrekiem i Felixem.
11683:  Tak będzie.
11688:  Dobre zagranie ze strony Miao Ying, ona jest bezpieczna w KT, a ty sobie walczysz.
11691:  Tak, tak, tak, oczywiście, oczywiście.
11693:  No prawda jest taka, że... Wydawało mi się tak, że ideą tej kampanii jest to, że powinna tutaj po prostu być jakaś na przykład fabularna misja do zwerbowania Miao Ying, nie?
11702:  To byłoby super.
11703:  Tak jest chociażby jak się gra Imrikiem, że można sobie skonfederować...
11709:  Zaczyna się, że można sobie skonfederować radośnie jedną z prowincji Ulfuanu.
11716:  Kaledor, a na mapie mam swojej mapie!
11720:  No i co?
11720:  I teraz my jesteśmy zasadzeni w zasadce i ta nasza karawana przestanie istnieć, moi drodzy.
11727:  Mówicie, że siostry Zmieszku to siostry Godlewskie.
11729:  Czy bagienne miasto produkuje bagienne ziele?
11732:  Tego Krzysztof nie wie.
11733:  To jest najbardziej krytyńska rzecz w Warhammerze, jaka istnieje.
11736:  Ja teraz nie mogę nic zrobić praktycznie.
11739:  Odbiera mi się kontrolę i jedyne, co mogę zrobić teraz, to w bardzo żenujący sposób próbować tych łuczników uratować.
11750:  I teraz najlepsze jest to, że oni wszyscy nagle zaczną uciekać.
11753:  Zobaczycie.
11754:  Wszyscy zaczną uciekać.
11757:  Ja nic nie będę w stanie zrobić.
11760:  Żeby tak zasadzki wyglądały po naszej stronie.
11762:  Oj, oj, oj.
11762:  To byłoby cudownie.
11767:  Coś mi się wydaje, że chcę za dużo.
11769:  Chcę zbyt wiele.
11771:  Chciałbym na przykład mieć więcej niż jedną sekundę na ustawienie wojska.
11775:  Nie, nie, Krzysztof.
11777:  Daj spokój.
11779:  Czego jeszcze?
11783:  To nie jest żaden realizm zasadzki.
11786:  Realizm ma być nie tylko światotwórczy, musi być też realizm gameplayowy, inaczej to nie ma sensu.
11795:  Ja nawet nie miałem szansy nic zrobić.
11809:  No horror absolutny.
11811:  I ci kretyni uciekają, nic nie jestem w stanie zrobić.
11819:  Dokładnie w takiej sytuacji straciłem armię dzielnych Daui w bitwie z Ikitem.
11823:  O nie.
11823:  Na mojego spanikowanego blob'a spadła spatchbomba, o boże.
11827:  Najgorzej, dobra, przegraliśmy.
11828:  Widzicie dlaczego już nie lubię wielu karawan?
11831:  Właśnie dlatego.
11833:  ponieważ nie mamy szansy.
11836:  Wiele karawan się opłaca na początku gry, a potem jest jeden ekspekt, którego można wykorzystać, znaczy jak jest karawana, to wrzucacie do niej dużo bohaterów wysokolewelowych.
11846:  Tak zrobiłem na późniejszych etapach walki z krasnodami chaosu, że w takiej śmiesznej karawanie, bo nie macie oczywiście wpływu na liczbę jednostek w karawanie, co jest żenujące, więc ja wtedy dodawałem tam jednostki 40 poziomu, nie, 50 w tej chwili jest, najwyższego,
11861:  Z najlepszym uzbrojeniem.
11862:  I tylko w ten sposób karawana była w stanie się przemknąć.
11866:  Nie było innej opcji.
11868:  No i to jest armia, którą myśmy wyrżnęli wcześniej bez żadnego problemu.
11873:  Wystarczyło, że można było strzelać.
11879:  Nasi kusznicy tymczasem zaatakowali aż jeden raz.
11883:  Nie wiem nawet, czy ta karawana przetrwała, czy nie.
11885:  Trudno powiedzieć.
11887:  Tak, nie przetrwała.
11888:  Jest tylko ta nasza, którą możemy wysyłać i chyba na tym należy poprzestać, moi drodzy, bo straciliśmy tysiąc sztuk złota ponad.
11897:  Dobrze.
11898:  Jaki cel kampanii?
11899:  Podbić to wszystko.
11900:  Powodzenia.
11903:  Jesteśmy w jednej prowincji od 88 tur.
11907:  To się nazywa raczej mało udana kampania, to co mamy teraz.
11912:  Zwykle tak jest, jak gram pierwszy raz z jakąś rasą.
11914:  Nic nie wiem, co się dzieje.
11918:  Mmm...
11921:  Wiecie co, wykorzystamy Gotreka i Feliksa do tego, żeby przekazać mu część kuszników.
11928:  Wymienimy sobie kuszników wtedy, jednostki strzeleckie.
11930:  Tu jest akurat piątka i jest niebiańska smocza straż w liczbie sztuk dwu, czyli tyle ile straciliśmy.
11937:  Tak mi się przynajmniej wydaje.
11941:  Smoki są kiedy do zrekrutowania?
11943:  Za pięć tur dopiero, Jezus Maria.
11947:  Dobra.
11948:  Bo coś czuję, że jak się ruszymy z tego zamku, to momentalnie Siostry Zmierzchu zaatakują.
11955:  Nie mogę się doczekać do przyszłego roku i premiery nowego Dragon Age.
11957:  Spokojnie Szymonie, nie wiemy czy będzie wtedy.
11960:  Ile to tur schodzi na podbicie całej mapy?
11962:  Około 800 tur.
11963:  Jeżeli ci dobrze pójdzie, to możesz zrobić to nawet krócej.
11967:  Legend of Total War zdołał w jednej turze podbić całą mapę, ale on jest świrem i użył gigantycznej liczby exploitów.
11976:  Lord Constipato, tymi wygenerowane przez grę w życiu.
11979:  Nasze, lepsze.
11980:  Proszę bardzo.
11983:  Zniszcz jednostkę chłopcy piknierzy.
11984:  Wiecie co?
11988:  Nie.
11992:  Nie będziemy niszczyć naszych jednostek.
11994:  Nie ma takiej możliwości.
11997:  Jakie będzie przezwisko dla Ministerstwa Szkodnictwa?
11999:  Ministerstwo Szkodnictwa i Nauki pozostaje takie, jakie zawsze było.
12004:  Teraz mamy Ministerstwo Edukacji, którego jeszcze nie przezywam, póki Barbara Nowacka działa i nie działa źle.
12010:  Natomiast co do tego, że Ministerstwo Nauki będzie zarządzane źle, to ja to wiem i bez wszystkiego.
12016:  Po prostu nie ma takiej możliwości, żeby koalicja o raczej liberalnych czy neoliberalnych poglądach
12025:  a w sumie z jaką mamy do czynienia, zrezygnowała z punktowania artykułów naukowych, a to jest jedyna rzecz, od której bym oczekiwał od ministerstwa.
12032:  Niczego innego nie chcę.
12034:  Mają wyeliminować punkty.
12035:  Elo.
12036:  Jeżeli tego nie zrobią, to znaczy, że nie zrozumieli w ogóle przyczyn wszystkich problemów magistra nieuki i szkodnictwa wyższego czarnka.
12047:  To będzie ostateczny dowód.
12048:  Wariant Crossbows!
12049:  Peasant Spearmen!
12056:  I moim zdaniem oni właśnie tego nie zrobią i nie zrozumieją.
12059:  Kompletnie.
12065:  Ministerstwo ewakuacji, jak pójdzie źle.
12066:  Tak, to wtedy tak.
12070:  Ogólnie Johan Boman ma za zadanie zdobywać konkretne osady dające mu bonusy dla całej frakcji.
12074:  Tak, jedna z nich to jest stolica Imperium Mazdamandiego.
12077:  Dlatego się na niego nezasadziliśmy, moi drodzy.
12081:  Właśnie dlatego.
12088:  Nie wiem, czy się nie ściślimy troszeczkę.
12091:  Tak, tak zrobimy.
12092:  Bo ja tutaj widzę już problemy.
12095:  Ja tu już widzę problem.
12100:  Tak.
12101:  Ja tu widzę problem i jeszcze jeden oddział poślemy na tę flankę.
12107:  Czy pracowanie jako sprzedawca fajerwerków oznacza, że w świecie Warhammera byłbym artylerzystą kataju?
12112:  Tak.
12113:  Strzelać mi w tych jeźdźcówków żałoby, dziękuję.
12116:  A może w groblackich traperów tym razem?
12119:  Dobrze, dobrze.
12125:  Może jeszcze jeden oddział tu puścimy.
12128:  Mówię wam, że oni będą atakować nas radośnie i bezwzględnie.
12136:  To nie jest tak, że profesorowie i doktorowie bronią punktowania.
12139:  Nie znam osoby, która by broniła faktu, że nie dostaje pieniędzy za artykuły, aż tak źle nie jest.
12145:  Natomiast oczywiście jest sporo ludzi, którzy uważają, że to jest sensowne, ale można im to szybko wybić z głowy, jeżeli się ich doedukuje.
12152:  Co więcej, gdyby ministerstwo akurat taką decyzję podjęło, to nikt by nic nie mógł zrobić, tak samo jak nikt by nic nie zrobił na to, że punkty były.
12159:  Więc to jest coś, co ministerstwo faktycznie mogłoby zmienić jednym edyktem, bo już się przekonaliśmy, że realna zmiana jest
12167:  możliwość na przykład uczynienia cementu wapna betonu wiodącym czasopismem naukowym, więc jeżeli to jest możliwe, to wszystko jest możliwe.
12174:  I przypominam, że społeczność naukowa się na to zgodziła.
12176:  Czy ktoś protestował?
12177:  Tak, protestował.
12178:  Czy coś te protesty dały?
12179:  Nie, nic nie dały.
12181:  Wniosek?
12181:  Można wbrew protestom naukowców zlikwidować punkty i uważam, że tak należy zrobić.
12188:  Należy zignorować wszystkich naukowców i powołać prawo, które uniemożliwi wpisanie punktów kiedykolwiek.
12196:  Gdyby ode mnie to zależało, to bym doprowadził do tego, żeby była zmiana w konstytucji.
12200:  W konstytucji byłoby wpisane, że nie można punktować artykułów naukowych.
12205:  Bo nie.
12207:  I żeby zmienić to prawo, trzeba byłoby mieć 100% większości w Sejmie.
12211:  To jest gdybym... To gdybym ja rządził moją dystopią, okej?
12215:  Ale niestety nie rządzę moją dystopią.
12218:  Bardzo zasmucające.
12225:  Bo to jest taki debilizm, że się o większy debilizm naprawdę trzeba byłoby postarać już.
12233:  No i jednak zaatakowali tutaj, no nie da się moi drodzy tego przewidzieć nigdy.
12238:  No po prostu nie da się tego przewidzieć, gdzie zaatakują.
12242:  Posiłki na flankę, znaczy nie na flankę, teraz na linię frontu, ja nic nie rozumiem.
12251:  Tak jest.
12253:  Twarde prawo, ale prawo.
12254:  Dura Lex Sed Lex albo Durna Lex Sed Lex.
12261:  Niestety u nas raczej Durna.
12267:  W ogóle Duralex to jest szkło.
12269:  Dość trwałe.
12274:  Dobrze.
12275:  To jest raczej już wygrane.
12281:  Nie jest to jakieś spektakularne zwycięstwo, ale jest to zwycięstwo.
12285:  Durna lex sed lex.
12290:  Jeszcze się trzyma tałatajstwo.
12292:  No jeszcze się trzyma tałatajstwo, niesamowite.
12295:  A już myślałem, że oszczędzą nam tego i po prostu zginą.
12298:  Jakie to jest zasmucające.
12300:  Mieliby tyle przyzwoitości, żeby zginąć już.
12306:  Ale nie, nie, nie.
12307:  Uparli się, że będą walczyć honorowo.
12314:  Co za żenada.
12317:  Natychmiast przestańcie być Connorowi.
12324:  On strzela pół godziny, nie był w stanie na niego strzelić, znakomite.
12328:  Może dałoby się punktowanie czasopism gdzieś przemyślić do konwencji genewskiej?
12332:  Konwencja genewska jest łamana częściej niż polska konstytucja, obawiam się.
12336:  Ja tylko czekam na jedną rzecz, pisze Daniel Mazur.
12338:  Na zmianę spisu lektur na swoją modłę jako dowód na cykliczność tego wydarzenia, o którym mówiłeś.
12344:  Tak, to na pewno.
12346:  To już zostało zapowiedziane.
12347:  Zresztą tak samo zapowiedziano, że będą zmieniać hit.
12351:  Bo oczywiście, że zostanie.
12354:  Też mówiłem, że tak będzie.
12356:  Ale tak, będzie teraz więcej Gombrowicza i Miłosza na liście lektur.
12361:  Absolutnie.
12364:  Co zawsze jest dobrym rozwiązaniem.
12367:  Zawsze.
12370:  Teraz się czuję jak w Heroesach.
12372:  To była moja taktyka w Heroesach.
12373:  Przekazywania jednostek nieustannie.
12376:  O Boże, wreszcie możemy troszeczkę tutaj poprawić sytuację.
12379:  Tak ociupinkę i odrobinkę.
12383:  Jak tam Miao Ying?
12384:  Dalej nas nienawidzi?
12385:  Minus 55.
12386:  Spieprzaj Miao Ying.
12387:  Nie dam ci już ani jednej złotówki.
12391:  Szymborska też będzie.
12393:  Spokojnie, moi drodzy, spokojnie.
12395:  Wystarczy śledzić wszystkie wypowiedzi, które się będą teraz pojawiały.
12399:  Pamiętajcie, że dla tych ludzi to jest pakiet światopoglądowy, tak?
12403:  To znaczy, jeżeli ktoś nie głosuje na PiS, to koszka Szymborską.
12407:  Jak krytykujesz Agnieszkę Holland, to znaczy, że jesteś faszystą.
12410:  Wiecie, to jest tak bardzo proste.
12412:  Więc na tej zasadzie będzie się zmieniać intelektu.
12415:  Zawsze tak było.
12417:  I oczywiście, że będzie więcej Olgi Aryskarczuk.
12420:  Naturalnie, że tak.
12421:  Co do tego nie mam najmniejszych wątpliwości.
12424:  Nasi astromanci chromieją niczym nieumarli, wydają się otumanieni, nie reagują na bodźce.
12430:  Gdy na chwilę odzyskają przytomność, donoszą, że czują w skroniach pulsujący ucisk, a przed oczyma tańczą im nieopisane, zmieniające się kolory.
12441:  Co gorsza, owa ułomność zaczyna dotykać innych.
12445:  Źle się dzieje z naszymi astromantami.
12449:  Marnieją w oczach jak bajżu kaszlą.
12456:  Co możemy zrobić, żeby pomóc astromantom?
12461:  No co możemy?
12463:  Herbata dobra na wszystko.
12475:  Proszę bardzo, rozwiązany problem.
12481:  Wykradnij technologię, sukces.
12488:  Dobrze, powolutku wychodzimy.
12491:  Leże Jaśminowego Jamnika jest bronione.
12496:  Wyspa Wielkiego Tajwanu zaraz też będzie.
12501:  Co dziś w kubeczku?
12503:  Dziękuję serdecznie za polecenie China Milky Oolong, ale się cieszę, że smakuje.
12508:  U mnie dzisiaj wiśnia i migdał.
12510:  To jest herbata, która pachnie jak świąteczny piernik, nie żartuję.
12514:  Jest też inna herbatka, też bardzo dobra.
12516:  Ona się nazywa Laponia.
12519:  Ona już jest zielona, bo ta to jest czarna.
12520:  Mnie nie wolno pić czarnej, ale wiecie, dzisiaj jest piąteczek.
12526:  Zakaz Żeromskiego jako lektury to bym poparł.
12527:  To też powinno być wpisane do konstytucji.
12529:  Żeromski to jest taka grafomania, że nikt nie powinien nigdy musieć tego czytać.
12533:  Dobrze, moi drodzy.
12534:  To jest moment, w którym atakujemy bagienne miasto.
12541:  Plądruje bagienne miasto.
12544:  Możemy mieć pieniądze dla Miao Ying, o której mówiłem, że jej nie dam pieniędzy.
12549:  Boże, wreszcie coś podbiliśmy.
12552:  Miao Ying
12554:  Jakie bambusowe skrzyżowanie?
12559:  Co to jest bambusowe skrzyżowanie?
12562:  Gdzie jest bambusowe skrzyżowanie?
12571:  Co?
12574:  Świątynia wiatrów... Ach, to są ich osady.
12578:  Ja jestem jednak tępy.
12584:  Jestem jednak ten.
12586:  Znacie herbatę, która smakuje tak samo intensywnie, jak pachnie?
12589:  No, ta wiśniowo-migdałowa naprawdę smakuje intensywnie i pachnie intensywnie jednocześnie.
12594:  Medycyna ludowa?
12595:  Nie.
12596:  Księżycowe drewno?
12597:  Tak.
12600:  O, to mamy podbić.
12601:  Złup gady.
12603:  Pieprzone gady.
12604:  Obrzydliwe i odrażające.
12607:  Doskonale.
12608:  Czy to oznacza, że możemy teraz tutaj
12614:  Spróbować coś z tego jak rootować.
12616:  To nie jest zły pomysł.
12620:  To nie jest zły pomysł.
12622:  To zielona ukrzyżtowa to jego prowincja.
12623:  Tak, olbrzymia, prawda?
12627:  Ale spokojnie, podbijamy teraz drugą.
12630:  Skąd wiśniowa herbatka?
