Największa z uraz do pomszczenia — WARHAMMER 3 IMMORTAL EMPIRES
🔗 https://www.youtube.com/watch?v=1-_JZpCZ0kk

251:  Wyjątkowy stream środowy.
12541:  Dobrze.
12547:  Jeszcze raz, jeszcze jedna salwa.
12550:  Dobrze, dobrze, dobrze, dobrze, dobrze, dobrze.
12552:  Na ramieżnik, dalej lecisz.
12556:  Górnicy do boju.
12571:  O nie, nie, nie, tylko nie na ramieżnik.
12573:  Zostaw nasz na ramieżnik natychmiast.
12581:  Dobrze.
12586:  Ojej, ojej, ojej, ojej.
12591:  Ale jeszcze, to się jeszcze da ogarnąć jakoś.
12599:  Strzelajcie, strzelajcie strzelcy.
12606:  Zielone tupięcie jest zielone.
12607:  To jest potężna, potężne zaklęcie zielonoskórów, trzeba przyznać im to.
12614:  Boże, strzelajcie wreszcie, a nie idźcie do walki w zwarciu, Chryste Jezu!
12621:  Już?
12624:  Dobra, ładnie.
12630:  W gobliny, walić w gobliny, dobrze.
12636:  Świetnie.
12639:  Odprowadźcie ich na... Okej, nawet nie musicie.
12641:  Dobrze, wycofamy trochę... Teraz straż mamy, wycofamy, bo tylko będzie obrywać niepotrzebnie.
12650:  A teraz sytuacja jest dość krytyczna, to znaczy mamy goblińskie głazociski.
12653:  Najlepsze, co możemy zrobić, to wycofać się wszystkimi naszymi jednostkami.
12658:  Tutaj.
12660:  I bejtować ataki na Lorda.
12662:  Prrrrr.
12667:  Zresztą, że obrywają ci, którzy nie powinni obrywać.
12673:  Czego nie rozumiecie?
12674:  Wycofać się!
12682:  Ale chytre AI.
12684:  Się wycofali zupełnie, coś niesamowitego.
12687:  Dobrze, teraz tak, w balans sił liczy się również,
12694:  Amunicja.
12695:  Więc my zachowujące amunicję, na przykład, zyskujemy bardzo.
12700:  Natomiast AI traci.
12703:  Z każdym strzałem.
12710:  Mhm.
12715:  Czy oni przestali strzelać?
12718:  Tak, ale numer.
12721:  Ej, to spatchowali.
12724:  Nie było wcześniej tak.
12726:  Nie było wcześniej tak, żeby nie strzelali.
12728:  To jest bardzo interesujące.
12734:  Dobrze, dobrze.
12735:  Znaczy teraz nie dobrze za bardzo, ale... Mam nadzieję, że się wycofa.
12742:  Czemu budowle rzucają cień?
12744:  No wyjaśnione jest to w ten sposób, że są takie...
12748:  Lufci... Czy można to nazwać lufcikiem, powiedzmy?
12751:  Więc promienie słoneczne dobiegają jakoś.
12756:  Co tu się podziało?
12759:  Abym chciał, żeby głazociski postrzelały trochę tu.
12768:  A ramięcznik nawet nie będzie w stanie tutaj dotrzeć, myślę.
12772:  Może warto spróbować.
12780:  Nie, to już jest przegrane niestety.
12787:  No i AI na nas wymusza wyjście.
12792:  Bardzo ciekawe.
12794:  Nie widziałem czegoś takiego wcześniej.
12798:  Straciliśmy amunicję, to jest bardzo niedobra sytuacja.
12806:  No nic.
12808:  Zrobiliśmy co się dało.
12811:  Ale przypominam, że to jest ten lord, którego mieliśmy rezerwowo, a więc teoretycznie nic nie tracimy.
12825:  Ej, co to znaczy?
12829:  Jak tak można?
12831:  Nie no, jest dobrze.
12832:  Straty 500, czyli praktycznie pół armii mu wycięliśmy.
12841:  Dobrze.
12843:  To są bieda szyby.
12844:  Muszą być szyby powietrzne, bo inaczej wszyscy by się podusili, zauważa Tarael.
12847:  Ale w ogóle pomysł tych dróg podziemnych jest super.
12850:  Połowę lore Warhammera fantasy przepełniają opisy walk krasnoludów z skawenami właśnie na podziemnej drodze pod Karakiem Osiem Szczytów.
12867:  No i cóż, musimy tutaj... o, akurat mamy legendarnego lorda.
12871:  Dobrze, bo on jest świetny w walce.
12876:  Świetnie, jeszcze AI nie zrobiła żadnych głupich decyzji, to mnie bardzo cieszy.
12885:  Wielka runa losu, wielka runa niechęci, zadaje obrażenia walczącym, świetnie.
12889:  Potrzebujemy jeszcze jakieś dobre runy dla Gromrindala.
12895:  Wielką nawalaj, poszukiwamy flaksona, nie.
12898:  Bednarz powiedzmy się przyda.
12901:  Oplanujemy go tutaj pozostawić jakiś czas.
12905:  I teraz tak.
12907:  Co tworzymy?
12910:  Nie ogarniam tej gry, pisze Talibowy.
12911:  Ilekroć gram po kilkudziesięciu turach, odnajduję się słaby i otoczony przez wrogów, którzy są dużo silniejsi.
12915:  Czy jesteś w stanie polecić jakiś poradnik?
12917:  Polecam Ci bardzo kanał Legend of Total War, to po pierwsze.
12920:  Po drugie, graj na poziomie łatwym na początku.
12923:  Poziomy w Warhammerze są wyłącznie
12928:  Tożsame z przypisywaniem AI różnorodnych cheatów, ale cheatów ekonomicznych głównie, znaczy AI nie płaci w ogóle podatków, nie płaci nic za armię, więc dlatego bardzo często dochodzi do takich sytuacji.
12938:  To jest całkowicie normalne, wiele razy mi się tak zdarzało i nie ma się co tym przejmować.
12942:  I druga rzecz, którą polecam, to zacząć w odizolowanym miejscu, na przykład w Ulfuanie, gdzie jest duża, czyli są królestwa elfów, Ulfuan jest w tym miejscu.
12951:  O, tu.
12953:  Jest duża szansa, że tam nikt nie będzie cię atakował przez dłuższy czas.
12957:  Miejąc oczywiście inne wysokie elfy wysokiego rodu.
12965:  Okej.
12969:  Widzę, że większość regimentów mamy zablokowane niestety, ale nie wszystkie.
12979:  To powinno wystarczyć.
12989:  Grałem normalną, próbowałem krasnodemię, teraz katajem.
12992:  To wybrałeś trudne, bardzo trudne rasy na początek.
12995:  Kataj jest ultrazaawansowany.
12998:  Najlepiej sobie wcześniej pograć Imperium.
13000:  Bardzo podobne taktyki się stosuje katajem.
13002:  Poza tym kataj jest ze wszystkich stron atakowany.
13005:  To jest masakra absolutna.
13006:  Jeszcze utrzymanie Wielkiego Muru jest trudne.
13008:  Druga kwestia, jeżeli chodzi o krasnoludy, to widzisz, ja się mecze, a mam w tej grze bardzo dużo godzin, więc polecam, wysokie elfy polecam, leśne elfy są bardzo odizolowane, mają bardzo przyjemną kampanię, spokojną, teleportujesz się między drzewami, patrz o to, żeby rosły, da.
13024:  Względnie piraci albo mumie, o. Nie zgadzam się, Tarek, że krasnoludy są najłatwiejsze na start.
13032:  Jeżeli ktoś jest weteranem Total War'a, może, ale tylko wtedy.
13040:  Pa!
13044:  O, to chodziło.
13047:  Wom.
13047:  I się nawet rozwiązuje od razu regimenty sławne.
13051:  Żeby... O, dobrze, dobrze, dobrze, bardzo dobrze.
13055:  Żelazne smoki.
13056:  Wiecie, wiecie do kogo będziemy rekrutować.
13060:  Ale moment!
13061:  Wpierw budujemy stolicę!
13063:  Kara za Karak!
13065:  Wielka twierdza!
13068:  Dobrze!
13074:  Dobrze.
13075:  Najłatwiejszą pozycję początkową ma Karl Franz?
13079:  Relatywnie, relatywnie.
13084:  Dobrze.
13088:  Kopalnia Butterstone.
13090:  Pewne zwycięstwo.
13091:  Świetnie.
13093:  Zjadamy zielonoskórek na śniadanie.
13096:  Tego nie potrzebujemy.
13101:  Jestem robaczem jabłkiem, wyrastam z miłości, aż ta zgnije czym jestem, pisze Nemor.
13108:  Drugi raz ten sam dowcip mi już nie wyjdzie.
13111:  Obecnie najłatwiejszy jest chaos.
13113:  Trochę racja.
13114:  Kislev też ma fajną kampanię.
13117:  Zwłaszcza, że Kislev ma kampanię, która jest wyjaśniona poniekąd w prologu.
13123:  No, krasnoludy nie miały pacza od lat.
13126:  Jest problem z nimi.
13128:  O. Czyżby to już był ten moment, kiedy jesteśmy tak potężni, że nie da się nas pokonać?
13134:  Fantastycznie.
13143:  Moją prasą w Warhammerze Total War był Kataj.
13145:  O jednak, Jakubie.
13146:  Grało się przyjemnie, ale może dlatego, że mam za sobą setki innych Total Warów.
13149:  To dlatego, bo Kataj i Imperium są frakcjami, które wymagają bardzo podobnych umiejętności jak te w poprzednich Total Warach, bo skupiają się przede wszystkim na znajomości formacji, bronieniu swoich pozycji, okopawaniu artylerii i tak dalej, i tak dalej.
13169:  O, jakiś szczątek fabuły.
13172:  Aha.
13173:  Nawet nikt nam nie powiedział, o co chodzi.
13177:  Niedobrze.
13202:  Dla nas to nie jest dobra wiadomość.
13204:  Inżynierowie Polowi, skrócenie czasu przeładowania dla jednostek artylerii, let's go, dobrze.
13210:  I teraz wreszcie możemy się skupić na pieniążkach, wszędzie pieniążki, dobrze.
13215:  Już nie mamy pieniążków, się skończyło właśnie.
13220:  Czy Eklut jest podbity przez skawenów?
13223:  To mnie ciekawi.
13226:  Wow.
13228:  Eklut po prostu zostało wysadzone w powietrze.
13232:  Ale numer.
13234:  To mnie zaskoczyło.
13235:  Nie ukrywam.
13239:  Dobrze.
13239:  Dzielnie się sprawuje.
13242:  Mityczna długowieczność.
13243:  Czas leczenia run minus trzy.
13244:  To się przyda.
13245:  To się przyda.
13246:  Empire to to, bo jest fajny.
13248:  Pisze Talibowy.
13249:  Rzucasz wszędzie piechotę liniową i wygrywasz.
13250:  Ten cały uruchomienie jest niepotrzebnie skomplikowany.
13252:  Dlatego, że to jest magia.
13253:  Musieli to jakoś rozwiązać, nie?
13257:  Wiecie, magia jest niezbalansowana.
13260:  Ooo, tak mi przykro.
13264:  Tak mi przykro, że nie macie żadnych szans.
13266:  Teraz tak.
13268:  Moja strategia.
13269:  To jest miejsce, w którym, jak zauważyliście pewnie, nie można wybudować murów w osadzie.
13277:  Chyba.
13278:  Zaraz sprawdzę, ale prawie na pewno.
13280:  Widzicie?
13281:  A nie, dodaję mury do osady, jest to możliwe tutaj.
13283:  Ale w większości tych ziem nie jest to możliwe.
13285:  O, jaki brzydki glitch graficzny.
13286:  Ooo, a jak?
13289:  W związku z powyższym ja zwykle, zamiast się przejmować tymi okropnymi prowincjami, oddaję je.
13295:  W zamian... W zamian za mnóstwo... Bardzo mnóstwo nawet.
13307:  Dyplomatycznych... Apanarzy.
13311:  O, to jest słowo, którego szukałem.
13313:  I dzięki temu będziemy mieli sojusznika, który nam sam to rozbuduje wszystko.
13317:  Ha!
13321:  Gruna prędkości.
13322:  Aaa, weźmy, weźmy, co tam.
13325:  Ja zwykle lubię ekspansję w jedną stronę i Total War Warhammer 3 jest tak gigantyczny już w tym momencie, że dobrze mieć sojusznika, który jest sensowny w miarę.
13336:  Najlepiej oczywiście, jak tym sojusznikiem jest ta sama rasa, bo wtedy jesteśmy w stanie zrobić konfederację, ale konfederacje w tej grze są tak spaprane, zresztą jak wszędzie, więc ja nie pakuję się w to najczęściej.
13353:  Drugi raz po Karakosiem Szczytów?
13354:  To będzie zabawne, jak podbijemy raz jeszcze Karakosiem Szczytów pod koniec streamu?
13358:  Tak.
13361:  Czy dalej Bogowie Chaosu na start?
13364:  Cinchem chyba się najlepiej gra na start, tak mi się wydaje.
13368:  Cinch jest... tak czizuje, że się w głowie nie mieści.
13371:  Budy chciał zagrać z tymi krasondajmi, a po powroturach było tak strasznie trudno, że postanowił po raz milionowy zagrać z ulubionymi skawianami.
13376:  Skawianini są najlepsi zawsze.
13378:  Wiecie co, dobre sojuszniki z Karlem... Boże, dobre stosunki z Karlem Francem jako naszym sojusznikiem nie są złym pomysłem.
13386:  Zawsze mnie wkurza opisze Jalasznikos, mnie też, w Total Warach brak sensownej dyplomacji.
13391:  Chyba dopiero Three Kingdoms... Tak, Three Kingdoms miało najlepszy model dyplomacji.
13396:  Tak.
13402:  Okej.
13403:  Jak tutaj?
13404:  Tutaj to samo?
13405:  Aaa...
13406:  Wiem dlaczego.
13407:  A, ja już wiem.
13409:  Tutaj mojej mini jest KORN!
13417:  Dobrze.
13421:  Zaatakujemy sobie Korna, bo on prędzej czy później i tak za nas zaatakuje.
13425:  A tutaj tymczasem Ugrok w ponurym lesie zbiera ponownie siły, żeby nas zaatakować.
13433:  To jest bardzo niedobra wiadomość.
13436:  To jest bardzo niedobra wiadomość.
13444:  Okej.
13446:  Tu zaś... ...zaatakujemy wieżę Gorgoroth.
13451:  Gorgoth.
13452:  Ale Gorgoroth, nie oszukujmy się, wszyscy wiedzą co to jest Gorgoroth.
13455:  Masyw w Śródziemniu.
13457:  Lorowe nemesis krasnoludów z Kaweni i zielono skórzy, chyba na równi.
13464:  Tak, Khorne ma dobrą cechę na pokonanie, absolutnie.
13467:  Więc Grombrindalem też będzie go warto pokonać.
13469:  Znaczy konkretnie Avatar Khorne'a tutaj, którym jest Skarbrand.
13473:  Graliśmy Skarbrandem zresztą.
13478:  Gorgoroth, cudowna kapela.
13479:  W ogóle dużo kapel i metalowych i innych w stylu metalowym czerpie inspiracje z Tolkiena.
13490:  I wonder why.
13493:  Wiecie co?
13494:  Zobaczmy tę armię w akcji.
13496:  Zobaczmy tę armię w akcji, będzie pięknie.
13502:  Kudy pisze, że gra głównie z kolegą w Multi.
13504:  O Boże drogi, żeby ze mną ktoś chciał zagrać w Multiplayera Warhammera, to bym zagrał, tak?
13510:  Filip nie chce, nikt nie chce.
13514:  Nie no, żartuję, to byłaby męka straszna.
13516:  To znaczy, trzeba byłoby mieć przy trójce bardzo potężne komputery.
13519:  Myślę, żeby jeszcze Steam przeszedł.
13522:  Jamnikowych snów, także dla Ciebie, Palitkeusz.
13525:  Czemu?
13525:  To jest najgorsza możliwa mapa!
13528:  Chociaż nie.
13529:  Chociaż...
13534:  No tak, tak, bidnie jest, ale damy radę.
13542:  Damy radę.
13543:  Teraz tak, trzeba... Przede wszystkim nie oglądaliśmy sobie jeszcze naszych wspaniałych dział.
13548:  A to jest, moi drodzy, to jest, moi drodzy, czyste piękno.
13552:  Działa krasnoludzkie, organki, jak również działo ogniowe.
13557:  To są... Tu jest działo ogniowe.
13560:  Z pięknym smokiem.
13562:  Ach!
13564:  To jest czyste piękno.
13565:  Artyleria.
13565:  Artyleria, najwspanialsza rzecz, jaka istnieje.
13570:  I teraz zrobimy sferę śmierci.
13576:  O tak.
13584:  Dobrze, później przesuniemy jej troszeczkę dalej.
13592:  I tu będą wypalacze.
13595:  O. No idealna sytuacja jest za jakieś 5 oddziałów oczywiście żelaznych rębaczy, ale cóż poradzimy.
13601:  Jeszcze jeden oddział strzelców.
13602:  O!
13603:  To damy go tutaj.
13607:  Dobrze.
13608:  I teraz tak, czy jeżeli ja się tutaj cofnę, tu będzie lepiej, czy tu będzie lepiej?
13613:  Chyba tu będzie najlepiej, chociaż tu jest taka kotlinka.
13615:  Nie, w to miejsce.
13616:  W to miejsce idziemy.
13621:  Tak.
13624:  Czy nie można mieć więcej niż jednego wypalacza?
13627:  Można, można.
13629:  Tylko trochę zabraknie wtedy żelaznych rębaczy do trzymania linii frontu.
13633:  Zresztą zobaczycie, że ta trójka to, no tak, w sam raz będzie.
13640:  Oni nas atakowali, prawda?
13641:  Tak, oni nas atakowali, nie my ich.
13643:  Czyli będą się ruszać, dobrze.
13653:  Co robią?
13653:  Dwie owce na drzewie?
13657:  Podoba mi się odpowiedź, owocują, Karolitka, podoba mi się.
13664:  Ośku wybrała prostszą odpowiedź, to znaczy pstro.
13672:  Jesteśmy troszeczkę za bardzo rozło... Nie, to byłoby strasznie złe.
13681:  Musimy troszeczkę się skomasować.
13684:  Mam złe przeczucia.
13690:  Zwłaszcza tu mam złe przeczucia.
13695:  Bo tu są nasi strzelcy dość mocno narażeni.
13700:  Okej, zrobimy inaczej.
13702:  Żelaznych rębaczy trochę wysforujemy.
13704:  O tak.
13708:  Teraz będzie troszeczkę bezpieczniej.
13719:  Więc odpowiedź na pytanie, co robią owce na drzewie, brzmi nic.
13722:  Przecież owce nie potrafią wchodzić na drzewa.
13725:  Mogliśmy się tego spodziewać.
13727:  O, proszę, proszę, proszę, jak ja kocham, jak ja kocham to flankowanie.
13730:  Widzicie, co robi AI zawsze?
13733:  I taktycznie jest to super sprawa, tylko problem polega na tym, że ta gra nam nie pozwala odpowiadać na tego rodzaju taktyczne zagrożenia skutecznie.
13748:  Co?
13749:  W sensie już od razu możemy się tutaj przenieść.
13753:  O, to ciekawe.
13758:  To jest ciekawe, dobrze.
13761:  Moi drodzy, prują nasze działa!
13766:  Czy działo ogniowe też strzela?
13769:  Działo ogniowe w sumie moglibyśmy przesunąć.
13771:  Ojej, tak, tak.
13773:  Tak to wygląda.
13775:  jak ktoś chce zadzierać z ardałimi.
13781:  Ponure regimenty wstrętnych, zielonoskórych maszerują na dumne krasnoludy i obrywają w ryj.
13788:  Tak właśnie.
13790:  Rycina jedna, pierwsza oberwanie w ryj.
13797:  Dobrze, ale teraz tak, strzelajcie może... Tak konkretnie bardzo proszę.
13804:  O tak.
13806:  Proszę strzelać tam, gdzie się opłaca strzelać.
13811:  Gears of Zawba!
13815:  Oj, oj, oj, oj, oj.
13816:  Czyżby Warg bardzo ginął?
13819:  Nieee!
13820:  Nieee!
13821:  Nie giń!
13822:  Nie giń!
13824:  Ja lubię mieć jedno działo ogniowe właśnie dla... ...silniejszych jednostek.
13835:  O, gangona, proszę uprzejmie tutaj.
13841:  Nudne mapki bitewne i kwintowolta, piszesz?
13842:  Oj, to się zmieniło w trójeczce, jest za każdym razem inna praktycznie, jest bardzo dużo nowych map.
13848:  To w zasadzie jest główna rzecz, którą CA priorytetyzowało.
13851:  Czasem kosztem stabilności właśnie, bo bardzo często jest tak, że niestety wybrano mapy,
13860:  do poprawy takie, które zostały zbugowane w ten sposób.
13864:  No i cóż zrobić?
13871:  Runa gniewu i ruiny, o tak!
13875:  Jest to jakieś potężne zaklęcie, bez przesady, ale jest okej.
13881:  Naprawdę, co on robi?
13882:  Przestań, przestań!
13886:  Muszę wszystkim dać Guard Mode, bo przecież zwariujemy.
13894:  Armbreakersów fantastycznie by strzelają, zanim się ich... ...zaatakuje.
13901:  O, właśnie w ten sposób.
13903:  No, strzelcie!
13904:  Chaty czekają!
13906:  Przecież ja zwariuję z tymi jednostkami, naprawdę.
13912:  Żelaźni rębacze nie chcą zaprezentować Wam swoich umiejętności bojowych.
13915:  Czemu mnie to nie dziwi?
13916:  Ale... Ale... Możemy użyć wypalaczy.
13937:  Tu jest dużo też przestrzeni dla wypalaczy.
13943:  Dobrze wypalać, dobrze!
13950:  Mówiłem, bo trzeba pięciu oddziałów, wtedy jest idealnie.
13960:  Teraz nam niestety się przedarło trochę ich i jest niedobrze.
13967:  Dobrze, tutaj też... Tutaj się bardzo przyda.
13971:  A tak.
13978:  Okej.
13980:  Piękne strzały, piękne!
13993:  Flamecannon oberwał troszeczkę.
13996:  Ciało ogniowe chyba jest przy polskim przekładzie.
13997:  Dobrze, wypalaj, wypalaj, pięknie!
14000:  Hyhyhyhyhyhy.
14008:  Trochę nasz... Snorri H-L-S-S-S-S... Ginie.
14016:  Nie chcemy tego.
14017:  A dlatego, że tam są trolle, dobrze.
14023:  Dobrze, nasze działa ogniowe nie wiem od kogo oberwały, ale od kogoś oberwały, chyba od łuczników, tak mi się wydaje.
14034:  Dobrze.
14035:  Ale działa mają, jak zawsze, najwięcej zabitych.
14042:  Tu jest niedobra sytuacja.
14047:  Chociaż wypalanie cały czas działa, przynajmniej tyle.
14053:  W takim razie potrzebujemy maga.
14055:  Aaa, dobrze!
14057:  Udało się.
14059:  Prawdopodobnie przy automatycznym rozstrzygnięciu byłyby mniejsze straty, ale warto było.
14067:  Podczas dyskusji o realizmie w fantastyce często osoby wyśmiewają się z tego, że jak ma niby być realizm, jak są smoki i magia.
14073:  Na czym polega niezrozumienie tematu w tym sporze?
14075:  Na tym Szymonie myślę, że nie uczy się nas w ogóle nigdy.
14080:  Czytać fantastyki.
14081:  Jeżeli nigdy człowiek nie czyta w szkole fantastyki, a jeżeli czyta, to się dowiaduje, że to jest motyw fantastyczny w świecie realistycznym, co jest bzdurą potworną.
14088:  W jaki sposób ludzie mają zrozumieć, czym jest realizm tego świata?
14091:  Najprostsze wyjaśnienie jest takie.
14095:  Są fikcje i fakty.
14096:  Zarówno w świecie fikcyjnym, jak i w świecie faktycznym możemy mieć fakty o świecie fikcyjnym i fakty o świecie faktycznym.
14102:  Fakt o świecie fikcyjnym, na przykład Śródziemia jest taki, że na przykład elfowie nie wyglądają jak ludzie.
14108:  czego nie rozumieją adaptatorzy, tak samo jest zresztą w przypadku Wiedźmina, a fikcja w tym świecie byłaby taka, że elwy wyglądają jak ludzie.
14116:  Równocześnie możesz powiedzieć o tym, że to jest prawda, to jest fałsz, to jest wiarygodne, niewiarygodne, ale wszystko się sprowadza do tego, że coś jest faktem w świecie i coś jest rozumiane przez jego mieszkańców i traktowane jako część praw tego świata i właśnie to, co odbieramy jako realistyczne, a inne rzeczy nie.
14131:  Czyli z perspektywy mieszkańca Śródziemia telefon komórkowy byłby czymś absolutnie fantastycznym, nieprawdopodobnym, nieprawdziwym wymysłem, bajką i bajendą.
14143:  Mimo, że dla nas nie jest.
14144:  Więc to jest kwestia zmiany perspektywy.
14154:  Powodzenia dla Adana Potocznego są składane.
14157:  Przyłączam się jak najbardziej.
14158:  Zrobiłem aranż soundtracku Twin Princess z Dark Souls 3 na dwie gitary.
14162:  Będzie grane przed katedrą.
14164:  Gitary AMKPN, czym jest ten akronim na egzaminie.
14167:  Praise the sun, ale trzymamy kciuki.
14170:  Byłoby super, gdybyśmy mogli tego posłuchać.
14172:  Let us begin.
14176:  Jak dasz radę jakoś nagrać cokolwiek, ojej, jak byłoby super.
14180:  Siła pocisków dla organków, oczywiście.
14183:  Oczywiście.
14185:  We want this.
14188:  I... Siła złego nadał jego.
14194:  Organki są OP, naprawdę.
14195:  No widzieliście, było po 200-300 zabitych.
14197:  O!
14205:  Miła niespodzianka.
14207:  Złapiemy sobie tutaj soczysty replenishment, moi drodzy.
14211:  O tak.
14213:  I potem przekażemy wieżę Gorohorow tradycyjnie.
14217:  Tutaj też nic interesującego dla nas nie ma, naszemu sojusznikowi.
14221:  Dobrze.
14222:  Jest lepiej niż przypuszczałem.
14224:  Ooo, bardzo zabawne.
14228:  A tak naprawdę to nie.
14230:  Myślę, że Grombrindal powinien się tutaj znaleźć.
14232:  O, Dredge Craventail się pojawił, bo coś przeczuwam, że będzie jakiś radosny albo mało radosny atak.
14242:  Czy potrzebujemy wzmocnionych murów?
14244:  Tak.
14244:  I tutaj też będziemy potrzebowali warsztatu oblężniczego.
14251:  I rzeczy.
14252:  Krzysztof Bonaparte wstąpił na działo.
14254:  Dwieście armat grzmiało.
14256:  Orków ciągną się szeregi prosto długo.
14258:  Daleko, jak jamnika cielsko.
14260:  Jamniki są najdłuższe.
14262:  Są dłuższe nawet od orczych szeregów.
14263:  Cóż za piękny wiersz.
14269:  Skoro chcesz oddać miasto sojusznikowi, to niebie wszystko wyburzyć, aby grosza trochę przytulić.
14272:  Aaa!
14273:  Aaa, mądry Bartek!
14277:  Dobrze!
14280:  Dobrze!
14282:  Słuszna uwaga!
14284:  Co więcej, moglibyśmy tutaj teoretycznie drugiego inżyniera wyszkolić.
14290:  O, bo nie.
14292:  Lepiej mieć armię.
14294:  To nie są jednak Skaveni.
14296:  O, już mi się podoba ten pomysł.
14299:  Bardzo lubię.
14300:  Dobrze.
14301:  Dobrze.
14302:  To wiecie co?
14305:  Liczę na to, że Core nas na razie nie atakuje, ale mogą nas zaatakować oni.
14313:  Teoretycznie.
14315:  Ale są słabi dość.
14316:  Tak czy siak, idziemy do Skavenów.
14319:  Czas najwyższy się zemścić i skończyć strip tam gdzie chcieliśmy go zacząć, to znaczy na oblężeniu Karaku 8 szczytów.
14327:  To jest bardzo zgodne lore'owo, moi drodzy.
14332:  Akademia muzyczna z Krakowa, ruszają próby, jak będzie coś fajnego, to wyślę nagranie na Discord.
14335:  Pisze Adam.
14335:  Super!
14336:  Na pewno będzie wystawiane na koncercie w Majo.
14338:  Prześlę szczegóły wcześniej jak ktoś.
14340:  R-E-W-E-L-A-C-I-A.
14341:  Trzymamy kciuki.
14342:  Czy lasagna to dobry zamiennik dla pizzy?
14344:  Nic nie jest dobrym zamiennikiem dla pizzy.
14346:  Tylko pizza.
14349:  Oj, tu się niedobre rzeczy dzieją.
14350:  To jest skarsnik, moi drodzy.
14354:  Nie chcemy tutaj skarsnika.
14357:  Sprawdźmy, czy jesteśmy w stanie go jakoś doposażyć w cokolwiek, co sprawi, że będzie troszeczkę silniejszy.
14364:  Kilka runa losu.
14365:  Okej.
14369:  Myślę, że w porządku będzie.
14371:  Zawsze coś, zawsze coś.
14372:  Jakiś bunt.
14377:  Nie zrezygnuję z takiego dochodu.
14380:  Trudno.
14380:  Będzie uraza buntu do zmazania.
14385:  Okej.
14393:  Karolitka pisze, że doznała objawienia, że łazanki to takie małe lasagne.
14396:  Jakie piękne!
14398:  Weź, tu jest tradycyjne polskie jedzenie, prawda?
14402:  O!
14403:  BartSos ma rację.
14404:  Zamiennikiem dla pizzy są dwie pizze.
14407:  Kłamstwo, że zamiennikiem jest coś innego.
14409:  Tak.
14415:  Bardzo mi się podobał ten wątek.
14416:  To znaczy wciąż Inazuma dla mnie ma najlepszy Ark on Quest, czyli główną fabułę.
14422:  Znakomity.
14423:  Ale Sumeru jest bliziutko.
14425:  Bardzo byłem zaskoczony, że się zdecydowali na w zasadzie taki... Widzicie?
14429:  Wiedziałem.
14430:  Że się zdecydowali na taki sci-fiowy motyw.
14432:  Bardzo byłem zaskoczony.
14434:  Ale zdecydowali się.
14437:  Na dobre im to wyszło, myślę.
14439:  Czy Barak Var ma szansę się obronić przed nim?
14442:  Właśnie nie, co zabawne.
14444:  Mało zabawne.
14445:  No i znowu jest dylema, tak?
14447:  Co robić?
14447:  Co robić?
14448:  Czy atakować ich...
14452:  Czy tłumić rebelię?
14452:  No musimy stłumić rebelię, nie ma wyboru.
14456:  O, proszę, proszę, proszę, proszę.
14462:  Pa, pa.
14464:  Agrom Brindle dostaje darmowe doświadczenie i o to chodzi.
14468:  Jak tutaj sytuacja?
14470:  Kogd Karaz, gdzie ono jest?
14472:  Dog Karaz.
14473:  Dog Karaz jest tu.
14475:  Tak, powinno być ufortyfikowane prędzej, zdecydowanie.
14480:  Karazze Karak już ma ostatni poziom, więc tutaj się możemy pozbyć Piekarni Kamiennego Chleba.
14486:  Jest zbyteczna.
14487:  Niech rośnie za to warsztat.
14489:  I tego też się możemy pozbyć.
14491:  Super.
14494:  Good.
14496:  Bierzemy wzrost.
14498:  Szkielę wzrost.
14501:  To ciekawe, bo w fandomie Inazuma jest właśnie mocno krytykowana za Agon Quest i Wątek Eli.
14504:  Naprawdę?
14506:  Świetna fabuła.
14509:  Aż zdumiałeś mnie niesamowicie.
14511:  Świetna fabuła przecież.
14515:  Zdecydowanie najlepsza z całego Genshin'a jak dla mnie.
14520:  To tylko dowodzi, moi drodzy, tego jak tajemniczą sprawą są ludzkie gusta.
14524:  Michale, dzięki serdecznie za trybut.
14527:  Wieża Gorgoroth może natomiast odejść dzięki sugestiom czatowników.
14530:  Myśmy jeszcze zarobili na tym interesie więcej.
14534:  Wieża... Gorgoroth, tak.
14538:  Zaraz zapłacę.
14541:  1900 na to płacę!
14541:  Co za cham.
14544:  Udław się tym tysiącem, udław się nim.
14547:  Bierz to, bądź moim sługą do końca dni.
14555:  Czy to wiesz, że się zachciało odpalić Crusader Kings?
14557:  O, proszę, proszę.
14561:  Krytykowane jest ocieplanie wizerunku i niechęć do stworzenia postaci negatywnej.
14564:  Raiden Shogun jest na początku przedstawiany jako tyran, a potem okazuje się, że to nie tak, bo to nie do końca była ona.
14572:  Więc to się nazywa fachowo antybohater, a nie antagonista.
14575:  Ja lubię bardzo antybohaterów w kulturze.
14578:  Czy mam tam jakiś keyboard pianino?
14580:  Niestety nie.
14581:  Jeżeli chodzi o keyboardy, to zawsze miałem z nim problem, ponieważ, domyślacie się pewnie po moim wybuchowym temperamencie, że ja potrzebuję ostro pieprznąć w klawiaturę, tak?
14589:  Ja nie mogę uderzyć w klawisze po prostu, tylko to musiało być konkret.
14593:  Dlatego zawsze mi się najlepiej grało na Blitnerach.
14596:  Dźwięk Steinwaya zawsze mnie denerwował.
14599:  Nie wiem dlaczego, ale denerwował mnie.
