🔴 Precz z Dragon's Dogma — HORIZON: FORBIDDEN WEST #2
🔗 https://www.youtube.com/watch?v=ey8tVacIRp8

202:  Wszystkie prawa zastrzeżone.
23045:  On ma zrośnięte.
23050:  Albo tak trochę pomiędzy, nie?
23052:  Ciężko powiedzieć.
23053:  Nie, no są zrośnięte, ewidentnie, płatki uszu są zrośnięte.
23058:  To jest genetyczna kwestia, totalnie.
23061:  Ooo, wrota śmierdzi.
23064:  Co zrobiłeś?
23064:  Podwrota mi śmierdzi.
23065:  Jak to, co śmierdziałem?
23067:  Idziemy tutaj.
23068:  Otwórz właz zamkiem genetycznym.
23072:  Jamnik.
23075:  Easy.
23078:  Zrośnięte łucy.
23079:  Gra do kosza.
23080:  Kolejny refund.
23081:  Ej, tutaj znowu też są te dziwne narośle.
23084:  I luck?
23091:  The door is completely messed up.
23093:  Mówi Mawel, że właśnie wrócił z koncertu muzyki Hansa Zimmera.
23099:  I jak było?
23120:  Nie, tylko nie.
23121:  Nearby?
23121:  How much nearby?
23122:  Where is nearby?
23123:  Machines, building machines.
23150:  To jest w ogóle rzadka cecha genetyczna.
23153:  Podobno z roślinem te płatki życzymy.
23154:  Ja to zapamiętałem akurat z biologii, a innych rzeczy nie zapamiętałem, nie wiem, ale lis... nie żyje.
23163:  Bardzo dobrze.
23168:  Przecież ja już... Ja z nim już walczyłem!
23175:  Lis rudy.
23177:  LIS ALGAIB!
23181:  Zbierz surowce na zapalnik, zbudujemy razem palnik!
23192:  Jezus Christ, tak, jeżeli tu jest auto-aim, to ja nie... Ops.
23205:  Co ci Liz zrobił z barbarzyńcą?
23206:  Żyje.
23209:  Ma futro.
23211:  A to jest potrzebne do naszego, moi drodzy, craftingu.
23216:  Typie, co ty robisz?
23224:  Tak to jest, jak człowiek się nauczy w Soulsach.
23229:  Uwielbiam te animacje.
23230:  Że należy skakać w stronę przeciwnika.
23245:  Dobrze, że nie ma ani rudego lisa, ani czerwonego lisa na czacie, a faktycznie.
23249:  Są ci oni.
23250:  Czy to jest kangur?
23251:  No!
23251:  Jest inspirowany kangurem.
23255:  Zbierz olej z żaroziela.
23260:  Hmm?
23263:  Gdzie jest żaroziele?
23265:  Oho.
23266:  Oho.
23267:  No jasne.
23269:  Gdzież może być żaroziele?
23271:  Włócznia słaba, bo nie ulepszona.
23273:  Jak nie w wodzie?
23275:  Proste.
23276:  Ja bym miał na przykład szukać rzecznego ziela.
23280:  Wiecie, gdzie poszedłbym?
23282:  To jest bardzo proste.
23284:  Najbliższy wulkan.
23286:  Tam będzie.
23287:  Tam będzie ono.
23290:  Gdzie jest najbliższy wulkan względem Krakowa?
23294:  I nie mówię o wulkanie namiętności, tylko faktycznie o wulkanie.
23305:  Ja to już zdobyłem?
23308:  Ja to już zdobyłem?
23309:  Aha, okej.
23311:  Uważaj na węże.
23312:  Jakie węże?
23315:  Wążeczny jest niebezpieczny.
23321:  Pewnie Włochy, no tak, faktycznie, Etna, Vesuviusz, te sprawy.
23331:  Czyli teoretycznie blisko.
23333:  Zamek Tenczyn posadowiony jest na dawnym stożku wulkanicznym.
23337:  Ej, to to byłoby bardzo blisko.
23339:  Czy możemy doprowadzić do tej erupcji?
23341:  W Górach Świętokrzyskich są dawno wygasłe wulkany jeszcze dla Jezusa.
23344:  Ewentualnie Dolny Śląsk.
23346:  Mieliśmy wulkany, ale super.
23348:  Nie widziałem, że Polska miała wulkany.
23351:  Proszę bardzo.
23352:  Widzicie?
23353:  I co nam z tego przyszło?
23357:  Jak to się skończyło?
23358:  No tragedia.
23360:  Aha, ja muszę wytworzyć zapalnik oczywiście gdzieś jeszcze.
23363:  No tak.
23367:  Na Dolnym Śląsku jest kraina wygasłych wulkanów.
23370:  O, jak dobrze, że ktoś tutaj dał nam, moi drodzy, stół do craftingu, sprzęt specjalny, tajemniczy myśli sprzęt!
23377:  Zapalnik.
23379:  Jamnik-zapalnik.
23382:  Dwa kije, buchasz i nic nie żyje.
23384:  Nawet wulkan nam się zepsuły, nie, Kubalonek?
23387:  Dokładnie tak, jest problem.
23391:  Mieliśmy... Grimhawk pisze, mieliśmy wulkany, ale przedali Niemcom i zamknęli.
23393:  To by trzeba było powiedzieć inaczej, moi drodzy.
23395:  Mieliśmy wulkany, ale przedali my Niemcom i zamknęli.
23398:  I teraz nie ma wulkanów.
23399:  Tak jest.
23420:  Z tym żarozielem taka zmyłka jak z Grenlandią, tak.
23424:  No najgorsze wakacje, nie?
23426:  Jedziecie na Grenlandię, aby być zielono i słonecznie, a tam dupa.
23433:  No gdzie jest miotacz o-gnia?
23448:  Wyważ drzwi.
23448:  Dobrze, dobrze.
23449:  Wpierw zlutujemy wszystko, bo potem znowu będzie, że nie znaliśmy niczego.
23454:  Aha.
23474:  Do tego miejsca się nie da wejść, moi drodzy, niedobrze.
23479:  Certified Krzysztof moment, tak jest.
23481:  Wyważ drzwi.
23484:  Łapki krótkie, brzuszek długi, miał na metr lub dwa, jak parówka lub sznurówka, jamnik zwie się raz a ta.
23489:  Jakie cudowne, Oliwio!
23491:  To miejsce jest płatne.
23492:  I jest jeszcze jedna drzwi gin-lockowe na drugiej stronie.
23494:  Ale to jest miejsce, gdzie byłyby zamknięte backupy Gaea.
23498:  Muszę znaleźć sposób, by tam przejść.
23503:  Grenadier to jest skam, który zabił pierwszą porcję wikingów-kolonistów.
23507:  Gdyby mieli ze sobą magów, nie mieliby problemu.
23511:  Mówię, uniwersalna rada na wszystkie problemy i wszystkie takie przypadki.
23516:  Zatrudnić magów będzie dobrze.
23521:  Biździągwy.
23525:  Podoba mi się bardzo jedno, że w dwójce nie robią recyklingu tych kodów.
23534:  Anonimik pisze, że rozmawiał dziś ze znajomymi o Dragon's Dogma 2, mówił, że mikropłatności są okej, bo w sumie nikt im nie każe płacić.
23539:  No i dlatego mówiłem, że to gracze są współwinni tej sytuacji.
23544:  Bo to jest mniej więcej tak, jakby ktoś was obrabował, a wy byście powiedzieli, przepraszam, przepraszam, jak się pan nazywa?
23550:  Okej, Ernest, Ernest, przepraszam cię, tutaj jest jeszcze jeden mój portfel, proszę, proszę, proszę, weź, weź.
23556:  I jeszcze mam jedną ogromną prośbę, to znaczy, masz takie fajne, ciężkie glany, nie?
23561:  To ja się teraz wypnę, nie?
23563:  I teraz bardzo cię proszę, żebyś mnie tak kopnął, żeby mi się złamała kość ogonowa, dobrze?
23567:  I ja ci jeszcze zapłacę jakieś 450 zł mniej więcej.
23570:  Tak się zachowują gracze, którzy mówią takie rzeczy.
23575:  Czy ja muszę skakać teraz, czy ona po prostu będzie sobie tak radośnie jak sarenka?
23579:  Ona sobie będzie po prostu tak radośnie jak sarenka.
23582:  Okej, i co dalej?
23585:  Wskazówki były niejasne.
23588:  Mmm... Drzwi bunkra.
23593:  Jesus Christ.
23593:  Zeskocz, odbij się od ściany.
23595:  O nie!
23595:  O nie!
23603:  Ja wiem, co tutaj należało zrobić.
23607:  Każdy ma swój king.
23608:  Każdemu jego porno, absolutnie.
23610:  Aloj, cokolwiek byś nie robiła.
23610:  Nie jesteś w stanie.
23613:  Dobrze.
23614:  Dobrze!
23631:  Ja jestem ekspertem generalnie od Pyrlusowych Zwycięstw.
23636:  Ja tutaj utknąłem na pół godziny, pisze Hesha.
23640:  Bardzo mnie tu użyli do sterowania kamerowcem, do poszukiwania innego miejsca.
23645:  Bardzo mnie ucieszyliście tym faktem, że tutaj jest... można utknąć.
23649:  Co to jest?
23650:  Niezidentyfikowany sygnał?
23653:  Nie wiem, co tam jest.
23656:  Okej, tędy.
23657:  Nie tędy!
23658:  Tam tędy!
23662:  Co to jest?
23662:  Czy to jest uchwyt?
23667:  Tam jest uchwyt.
23669:  Tu jest uchwyt.
23670:  WSZĘDZIE SĄ UCHWYTY!
23672:  Tylko nie tam, gdzie ich potrzebujemy.
23678:  No dobrze.
23678:  Teraz tak, czy ja mogę?
23684:  Hmm.
23691:  Nie taaaak.
23694:  Nie taaaak.
23695:  Tutaj jest drugi ten dzyndzel, który trzeba oddzyndzlować.
23700:  W drugą stronę pomieszczenia.
23706:  I kik, kik, kik.
23710:  Powstała teoria mówiąca o tym, że mikropłatności i szum wokół nich są odwróceniem uwagi od słabej strony technicznej Dragon's Dogma.
23716:  Ja tej teorii w 100% sprzyjam.
23719:  To był genialny zabieg, jeżeli ktoś na to wpadł.
23725:  Ja podskoczyłem, naprawdę, ktoś mi teraz chce udowodnić, że ja musiałem praktyczniej podskoczyć, naprawdę.
23734:  Poza tym to i tak nie są najgorsze mikropłatności, jakie były ever.
23742:  Dobrze.
23743:  Producenci już są bezczelni od dłuższego czasu.
23749:  Podskoczyłem za dobrze.
23751:  Ewidentnie tak było.
23752:  Tak, po prostu było złośliwe.
23755:  Okej, jest.
23758:  Ależ mi się podoba grafika w tej grze.
23760:  Ten beton wygląda tak, moi drodzy.
23765:  Czuję beton taki jak w Krakowie, taki klasy majchrowskiego, najlepszej jakości beton, och!
23775:  Taki... Znaczy nie, to nie jest jeszcze beton nauczycielski, bo to jest najwyższej klasy beton, ale to już jest taki dobry beton krakowski, nie?
23788:  Bardzo dobry.
23789:  Beton 7D.
23791:  Tak jest.
23794:  No to najwyższa wyjście, uuu.
23798:  Jak cudownie.
23800:  Betonoseksualność.
23801:  Absolutnie, Natalio.
23802:  Absolutnie.
23804:  Gutu, jest... Opuść.
23807:  Chaos is a ladder.
23811:  Chaos jest drabiną, a nasze troski nie miną.
23818:  Dobra, drzwi zamknięte.
23820:  Tak, powinniśmy bezwzględnie, moi drodzy, zastrzec to w Unii Europejskiej lub chociaż w UNESCO.
23828:  Dzięki, że mi mówisz, że to jest stojak gro.
23833:  Co teraz?
23834:  Wygląda na to, że to łączy do drzwi, ale potrzebuje silnika.
23839:  Proszę bardzo.
23840:  Uwaga.
23847:  Polecam na razie Forbidden West.
23849:  Gra się fantastycznie, moi drodzy.
23850:  Jeżeli komuś się podobał Horizon Zero Dawn, jak również dodatek Frozen Wilds, to śmiało.
23860:  Czy widziałem pióra wieczne z betonu?
23862:  Teraz serio mówię, jest coś takiego?
23865:  Ja to muszę zobaczyć.
23868:  Pióro wie... Pióro wieczne jest niebezpieczne.
23872:  Pióro wieczne beton.
23889:  Jesus Christ.
23897:  Córciu, w szkole podobno potrzebujecie pióra, to ja ci kupię takie.
23901:  W Krakowie.
23904:  Marka Design Studio przekracza wszystkie granice, tworząc produkty z połączenia wody, piasku, kruszywa i betonu.
23911:  Faktycznie, równocześnie granica absurdu.
23916:  560 złotych, pióro betonowe.
23919:  Jesus Christ.
23922:  Ale tak, estetyczne, znaczy ja uważam, ja uważam, że absolutnie i stuprocentowo to powinien być prezent dla Jacka Majchrowskiego za wszystkie lata prezydentury.
23933:  Rozważam, czy by tego nie kupić.
23936:  Nie wysłać.
23937:  Kiedy jesteś skrybą, ale trzeba robić bica.
23940:  Tak, Mikałan.
23943:  Absolutnie.
23944:  Gdzie jest ogniwo tymczasem?
23945:  Powinno być gdzieś w okolicy, nie uważacie?
23947:  Bo ja tak uważam.
23949:  Bo ja tak serwuję.
23953:  Dobrze, czyli tak się da zrobić.
23957:  Idealny prezent na dzień nauczyciela.
23960:  Ale to jest za inteligentne.
23961:  Trzeba byłoby wtedy dać karteczkę obok, która by wyjaśniała dowcip.
23965:  Wiem, wiem moi drodzy, bo nie wiem czy wam opowiadałem tę historię, ale kiedyś zrobiliśmy dla jaj z kumplami takie grafiki, które były w stylu memów, ale jeszcze wtedy memów nie było, więc w sumie powinniśmy byli zrobić tak jakiś biznes.
23978:  Znaczy obrazek z podpisem, nie?
23980:  Było w czasach, kiedy jeszcze nie wchodziłyby demotywatory na taką skalę.
23984:  I mieliśmy tam papier toaletowy,
23987:  I pod spodem było napisane Salve Regina, bo papier był marki Regina.
23991:  To był bardzo prosty dowcip, bo to było gimnazjum.
23994:  Ale pamiętam, że zostaliśmy wezwani do pokoju nauczycielskiego na rozmowę, bardzo poważną, z wychowawcą, który... No i myśmy oczekiwali, że ktoś nam powie, że nie wiem, że wiecie, standardowo jak w Polsce obraza, uczuć religijny, bla, bla.
24005:  Nie, nie, w sensie... Absolutnie nie chodziło o to.
24010:  Znaczy, chodziło o to, ale nie tak, jak myślicie.
24012:  Mianowicie, argumentacja była taka...
24015:  Czy wy wiecie, jaki jest dzisiaj dzień?
24020:  Wtorek, nie wiem.
24022:  Dzisiaj jest dzień, w którym się śpiewa psalm.
24027:  Ten, który wy tutaj wywieszacie.
24029:  Myślę sobie, jaki psalm, nie?
24031:  Myśmy walnęli mema na drzwiach, jeszcze nie zaznawialiśmy tak tego, ale co tam?
24036:  Z napisem salwery... Wy tutaj ośmieszacie pieśń religijną, a my tak...
24042:  Co?!
24044:  To jest proste!
24047:  Srajtaśma nazywa się Regina i tu jest Salve Regina!
24051:  Wieszamy to na drzwiach kibla!
24053:  Śmieszne!
24058:  Ja wtedy, ja wtedy zrozumiałem, że nauczycielom trzeba tłumaczyć tę ironię i między wierszami, bo naprawdę, no nie wpadłbym.
24070:  Nie, niesamowite.
24072:  Ewantura była ciekawa.
24073:  Oto, swoją drogą, zostaliśmy, zostaliśmy obniżone sprawowanie za to.
24082:  Jezus.
24082:  Oj, oj, oj.
24082:  Czy ja to mogę?
24088:  Ehm... Mmm...
24105:  Dobra, jeszcze raz.
24117:  Dobrze, jeszcze dalej.
24119:  Już mi nic nie przychodzi do głowy.
24125:  Yep, that's stuck.
24128:  That's what he said.
24131:  Skrzynia chwyć.
24133:  Skrzynia puść.
24143:  Takie buty.
24145:  Z takimi stęknięciami to zaiste zaraz się Regina przyda.
24151:  Właśnie dlatego, że nauczyciele nie łapią ironii i sarkazmu, tym śmieszniejsze jest używanie jej w rozprawkach i prezentacjach na lekcjach.
24155:  Jezu, tak, absolutnie.
24156:  Ale swoją drogą, ja nigdy tego nie zrozumiałem.
24159:  Dlaczego tak jest?
24160:  Przecież dosłownie literaturoznawców się w tym trenuje.
24164:  A może właśnie nie?
24168:  Nie wiem, chyba już wyparłem to, co się działo.
24170:  Ale pamiętam, że na pewno moje studia były bardzo niewesołe.
24173:  Znaczy, wszyscy mieli kija w dupie, to pamiętam.
24177:  Zeskocz na półkę.
24178:  No cały czas jest to zeskoczenie na półkę, to musi być jakiś błąd w przekładzie.
24182:  Czy ktoś ma pomysł, jak to było w oryginale?
24190:  Nie, ja nie... Nie wsiąłem ze sobą tamtej bateryjki.
24195:  Jesus Christ, nie mówcie mi, że mamy się tam wrócić, proszę.
24207:  Nie, nie, nie, nie, nie, nie.
24208:  Na pewno tak nie jest.
24210:  Tego się nie da otworzyć.
24213:  Tego się nie da otworzyć.
24217:  Aaaa, nie mówcie, nie mówcie, nie mówcie.
24225:  Wiem, wiem, wiem, wiem, wiem, wiem.
24227:  Skrzynia, chwyć!
24228:  Teraz, moi drodzy, jesteśmy niedomagiem i amniksem w kopalni.
24234:  Dupa z ciebie nie łowczyni?
24235:  A co to jaka dupa, nie?
24240:  Kosiło się.
24246:  Dobrze, skrzynia pójść.
24249:  Good.
24253:  Good.
24256:  Ognioskra, podpal.
24261:  Ognioskra podpalona.
24265:  Ale wiecie co?
24271:  Ja się wolno uczę.
24274:  Podpal i odejdź, pisze Grimmo, okej?
24278:  Dobrze, czy mamy skrót łup?
24282:  Jest i ogniwo.
24283:  Jest i ogniwo.
24289:  Ja się uczę wolno, ale skutecznie.
24291:  Więc jak w którymś momencie się nauczę, że należy od tego odskakiwać, to będę odskakiwał od każdej drzwi.
24299:  Mamy i ogniwo.
24300:  Ogniwo Mistrza Paihiwo.
24304:  Z betonu nauczycielskiego powstały piramidy i źródło Jamnik.
24307:  Jamnik jest przed piramidami, nazywa się Sfinksem.
24311:  Widziałem go.
24315:  A w ogóle było strasznie zabawne, byliśmy na wycieczce właśnie w Egipcie z mamą i mieliśmy taką cudowną wycieczkę, a to był spływ od wielkiej delty Nilu do Asuanu i do świątyni, która się nazywała śmiesznie Abu Simbel.
24334:  I w którymś momencie idziemy do piramid, nie wiem, piramidy Sfinks te sprawy i oczywiście polska wycieczka powiedziała, że nie, no nie, my musimy po taniości pójdziemy do piramidy, która jest mniejsza, bo tam mniej cebulionów zapłacimy, a to było dosłownie jakoś mniej...
24350:  pięć dolarów, nie?
24351:  A ta wycieczka i tak fuj droga.
24352:  Myśmy oczywiście poszli do Cheopsa, bo Cheops duży i wiadomo znany.
24356:  No i tam chłodniutko, przyjemnie idzie się, przestronnie, a tymczasem w sąsiedniej piramidzie, do której poszli ludzie, wynosili dwie osoby na noszach, ponieważ się okazało, że ktoś zasłał, bo tam jest za ciasno, ktoś miał atak klaustrofobii, no i przez to oczywiście się okazało, że potem cała wycieczka musiała na tych wszystkich ludzi czekać, nie?
24377:  Tak.
24379:  Mi się widać, że płynął odwrotnie.
24381:  Ooo.
24384:  To jest, to jest, to jest osiągnięcie.
24388:  Barbarzyńcy odłupali nos jamnikowi.
24390:  Tak jest, tak było.
24391:  I to byli oczywiście, to były z Francuzia papinki.
24395:  Wyjmij ogniwo.
24396:  No ale, ale co?
24400:  To jest wnuk Andrew Tate'a.
24404:  Myślałem, że to jest sygnał.
24419:  Jest Elizabeth, która jest sopkiem.
24422:  Doktor Sobek.
24423:  Uwielbiam, uwielbiam ten technobebłot w formie wizualnej.
24451:  Wyobrażacie sobie taki interfejs, on nie byłby funkcjonalny.
24461:  Rysław cudnie męczy się z Ogrem?
24463:  Ogier?
24464:  Ogry dopiero?
24471:  Dobrze, człowiek naprawdę czuje te godziny w Sekiro.
24476:  To jest jak wojna w Wietnamie dla mnie.
24485:  Logiczna bomba się wyrzuciła.
24489:  Oto to, co się dzieje.
24490:  Zobacz, co robisz, Travis.
24494:  Zawsze oczekuję ciebie z daleka, Liz.
24498:  To tam, gdzie była moja mama.
24503:  Tak, ona była religijna.
24506:  Travis był nieprawda.
24508:  Elisabeth próbowała sprawić, że życie ma przyszłość.
24511:  Uważała o wszystkim.
24514:  Mówiła Aloj, krążąc wokół konsoli.
24520:  Te hologramy wyglądają jak Opera GX.
24522:  Jezus, tak.
24524:  Nie jestem w stanie ogarnąć przez to opery.
24528:  Mimo, że dobra przeglądarka.
24530:  Wiecie co, mam podejrzenia, że to nam się przyda.
24533:  Zamierzam teraz z tym łazić wszędzie.
24536:  Będę jak niedomagi Amnix w kopalni.
24540:  A jednak nie.
24541:  Widzicie?
24543:  Nie domagam nikt silniejszy.
24559:  Nie no, nie mówcie mi, że ja coś zrobiłem źle.
24563:  Może to trzeba dać tutaj teraz?
24568:  Opowieści z Ziemio Morza się podobały, Kraka nie zjeżdża.
24570:  Ale ja się cieszę.
24570:  Nie miałem pojęcia, że jest jakaś animacja z Uniwersum Leguin.
24573:  Jezu, tak, tak.
24574:  To dla wszystkich, którzy nie znają.
24577:  Opowieści z Ziemio Morza.
24580:  To jest przepiękny film.
24582:  Czekajcie.
24583:  IMDB.
24585:  Tales from the Earth.
24586:  Oczywiście, że masz sześć gwiazd.
24589:  Ja tego nie obejrzę.
24591:  Nieważne.
24592:  Jest animacja i są to opowieści z Ziemio Morza.
24596:  To tyle się liczy, moi drodzy.
24599:  przepiękna kreska, bardzo tak w stylu właśnie Studio Ghibli, nawet nie wiem, czy to nie jest fizycznie Studio Ghibli, tak nawiasem mówiąc, ale oglądało mi się to bardzo sympatycznie, jak chcecie taką oldschoolową animację, to mega polecam.
24613:  Ja bardzo lubię taką kreskę.
24616:  No dobrze, więc tutaj jest to ogniwo i może te drzwi się otworzą teraz.
24620:  Może.
24621:  Julia Żądłak, dziękuję ci serdecznie za trybut.
24623:  Żądlak, cały czas cię źle czytam, przepraszam.
24626:  Na Politechnice Krakowskiej Architekturze mamy pszorka, który od 20 lat robi ten sam projekt domu z betonu.
24630:  Polecam oprzejść galerię Katedry Projektowania Architektonicznego.
24636:  No to tak, no bo jest w Krakowie, więc wiecie.
24641:  Dobra, ja wiem, co ja robię cały czas źle.
24643:  Jestem po prostu bałwanem.
24651:  To było studio Gilblina, proszę.
24658:  Teraz to się otworzy, jak znam życie.
24660:  Jezu, kuźwa Chryste, ja nie wierzę.
24663:  Ja nie wierzę, ja nie wierzę!
24665:  Trzeba było być papieżem, to... Kraków, beton zobowiązuje.
24673:  W domach z betonu nie ma wolnej miłości, ale domy z betonu mają swój urok, jeżeli są dobrze urządzone.
24680:  To znaczy wtedy musi być sporo zielonej roślinności, więc już Kraków odpada i musi być również jakaś bardzo dobrze zrobiony projekt wnętrza.
24691:  To jest podstawa.
24694:  Wtedy to wygląda w porządku, w miarę.
24698:  Okej, czyli teraz tak, gdzie idziemy dalej?
24701:  Już wiem, już wiem, nic nie musicie mówić, wszystko wiem.
24706:  Nausica z Violin Viata, też piękna.
24709:  Opuść drabinę.
24711:  Ver.
24716:  Nie wiem, gdzie widzicie drabinę, ale ja jej nie widzę.
24723:  Chyba, że tu.
24725:  Tu, tu, tu, tu, tu, pod małych stóp.
24731:  Nie, nie.
24732:  Tak, tutaj jest.
24734:  Zwracam honor.
24737:  To był skrót łup.
24742:  Dobrze.
24746:  Mamy to, mamy to.
24749:  Kto to?
24749:  Kiszak?
24749:  Kiszak, streamer soulslike'ów.
24752:  Nie wiem, czy można go tak nazwać, ale myślę, że najbardziej będzie z tym kojarzony.
24758:  Znany z takich challenge'ów e-sportowych typu Przejdę Dark Souls, Hitless to jego ostatni.
24765:  Podziwiam.
24767:  Podziwiam.
24768:  Znaczy ja jako człowiek, który nienawidzi syzyfowej pracy, nie byłbym w stanie tego wytrzymać.
24779:  Czy my na pewno się chcemy dostać na tę platformę?
24783:  Czy my też chcemy się stąd dostać gdzieś indziej?
24788:  Myśmy byli chyba tu.
24790:  Tak.
24792:  W ogóle coś jest.
24799:  Dobrze.
24801:  Okej.
24803:  Okej.
24806:  Nie warto decydować o obejrzeniu filmu na podstawie ilości gwiazdek przy videospeculi, no ale absolutnie.
24811:  Absolutnie.
24814:  Potrzebujemy, moi drodzy, jakiegoś, nie wiem, ogólnoświatowego zrywu na rzecz ocen opisowych.
24830:  Okej.
24831:  Muszę powiedzieć, że wściekle mi się podoba ta misja.
24836:  Absolutnie wściekle.
24837:  Jest super.
24838:  Tam byliśmy.
24840:  Ooo, morze.
24846:  Nie, za daleko.
24848:  Lubię też to, że ona komentuje to, nie?
24850:  To jest wspaniałe.
24852:  cały czas i poniekąd ułatwia nam podejmowanie słusznych decyzji.
24858:  Chciałem... szybować.
24862:  Dziękuję.
24865:  Nie, nie!
24866:  Co ty robisz, kretynko?!
24875:  Nie, ja nie wierzę po prostu.
24876:  Co ona zrobiła?
24885:  Nie, po prostu ja nie wierzę.
24896:  Jesus Christ.
24901:  Co robisz, kretynko?
24902:  Zapytał Krzysztof spokojnie.
24906:  Nienawidzę, jak postać w ten sposób komentuje działania gracza.
24908:  Ja właśnie bardzo lubię, bo w momencie, w którym czegoś się nie ogarnia, to wtedy jest to jakaś podpowiedź, wiesz?
24915:  Najgorsza sytuacja jaka jest, to gdy człowiek błąka się i nie wie, co ma zrobić w takiej sekwencji, gdzie nie ma możliwości swobodnego... swobodnej eksploracji.
24930:  Czy Bóg Imperator jest pisany jakoś inaczej?
24932:  Że jest jakiś ciężki?
24934:  No, trochę tak.
24936:  Jakby ci to powiedzieć, trochę tak.
24938:  Dużo polityki, wiesz, bardzo dużo polityki.
24940:  Jeżeli ktoś to lubi, to spoko, ale dużo polityki nie w stylu gry o tron.
24951:  Dobrze.
24952:  I teraz co?
24953:  Tutaj było gliding.
24954:  Glide over.
24964:  Okej.
24965:  Więc jeszcze raz.
24970:  Wszystko przez to, że ja chciałem kopnąć tę drabinę, nie?
24975:  Dobra.
24976:  Git.
24979:  Czy po zmianie władzy następuje duży burdel w Instytucjach Podległych Ministerstwa Edukacji, na przykład CKE i OKE, czy aktualny burdel jest ogromny?
24985:  Na razie nie wymienili w ogóle tam nikogo praktycznie z zarządzających.
24990:  Ten człowiek, który jest szefem Centralnej Komisji Egzekucyjnej, dalej tam jest.
24997:  Już blisko, moi drodzy, już blisko, już blisko, już blisko.
25001:  Teraz pamiętałem, żeby odejść jeden krok.
25013:  Zobacz w notat... Mówiłem wam, że nie można tego odtworzyć!
25020:  Jest... Zobacz w notatniku, nie jest odtwórz.
25027:  Ja wiem, że ja czasem nie ogarniam, ale czasem ogarniam.
25032:  Miałeś E?
25033:  GDZIE?!
25039:  Dobrze, dobrze.
25040:  Przetestujemy to teraz.
25045:  Gdzie jest E?
25046:  Ja widziałem tylko tabulator, ale spoko.
25050:  Może się to uda jeszcze raz?
25066:  Jezu, na środku to dali, ja pierdziele, jak ja czegoś takiego nie znoszę, no.
25071:  Macie, macie wielki pop-up, który kieruje wam wzrok w tamtą stronę.
25077:  Dlaczego nie może być napis E, odtwórz zapis dźwiękowy, nadzobacz w notatniku?
25088:  No przecież to jest po prostu nieprawdopodobne.
25090:  Balls, dude.
25091:  How loud is it out there?
25092:  Outside the noise dampening field?
25097:  7-4-8-2
25130:  Czemu ktoś rzyga?
25133:  A, świetnie i urwało się, ponieważ jakiś idiota stwierdził, że to się będzie instancjonowało do jednej lokacji, super.
25160:  Jesus Christ.
25167:  Dobra.
25173:  Okej.
25176:  Zasięg się skończył.
25178:  To prawda.
25180:  Ewidentnie musiało być to w playu.
25182:  Nie polecam.
25189:  Mówię, doprowadzę kiedyś do tego, że firmy będą płacić za to, żebym ja nie mówił, że ich nie polecam.
25196:  To będzie wspaniałe.
25198:  Zamiast, żeby były jakieś durne reklamy, ludzie będą płacić, żebym nie robił antyreklamy.
25203:  Jezus, to byłoby rewelacyjne.
25205:  Byłoby ultimatywny pocisk z kapitalizmu.
25214:  W dalszym ciągu nie widziałem tego E.
25222:  Tak.
25224:  To się kończy w momencie interakcji, Jezu Chryste.
25232:  Jezu Chryste.
25234:  Crispin.
25237:  Jaka śliczna antena!
25239:  Dlaczego jej się nie dało zniszczyć?
25244:  Dobra, czy tutaj też nie ma jakiejś drabiny?
25249:  Metalowa drabina!
25256:  Czyli to, co ja myślałem, że jest anteną, było dra... drabiną.
25264:  Ale mi się podoba i to niesamowicie ten ambient, który jest w tle.
25269:  Brakowało mi czegoś takiego w grach ostatnio.
25272:  Potrzebuję więcej ambientu.
25277:  No i co?
25277:  Ja teraz nie mogę tam przejść.
25281:  Chyba, że jeszcze wyżej.
25288:  Co teraz?
25294:  Aaa!
25298:  Git.
25298:  Jest, jest, jest, jest, jest.
25301:  Hu, hu, hu.
25301:  Niedaleko.
25303:  Stuknij ceby zeskoczyć.
25310:  Okej, czy ja już tam dosięgnę, czy nie bardzo?
25315:  A międ podobny, choć nie tak dobry, jest w obu częściach Mirror's Edge'a.
25318:  O tak!
25319:  Boże, jeszcze ktoś pamięta Mirror's Edge'a, jak miło.
25334:  To był ważny zapis.
25335:  Ten, który się urwał.
25345:  Czy to jest to?
25347:  Masz za swoje odlewny penisie.
25349:  Jesteście absolutnie pewni.
25361:  To jest ten z Tildą.
25363:  Tilda Swinton.
25376:  To nie tu.
25379:  Kobiecy głos, to nie tu.
25381:  To nie tu.
25384:  To nie tu.
25386:  To nie są zapisy holograficzne?
25388:  Aha.
25390:  Jesus Christ, ile tego tu jest!
25402:  Tilda!
25403:  Rozpocznij to, Tilda.
25405:  Zero Dong otrzymał jego kamery ektogeniczne.
25408:  Far Zenith potrzebuje database Apollo.
25410:  Nie ma powodów, żeby to wydarzyło się.
25412:  Próbowałaś zabrać Gaia!
25414:  Nic mi z tym nie ma.
25415:  I zaskoczyłaś tych, którzy są odpowiedzialni.
25419:  Twoja bomba logiczna ma ich skręcać, by zrejestrować systemy wytworzone.
25422:  Powinienem wierzyć, że nic o tym nie wiedziałaś?
25424:  Proszę, Liz.
25424:  Szansy ludzkości są tak małe.
25426:  Nie możesz zakończyć nasz plan.
25432:  Utwór się nazywa Unity, pisze Marek Lewandowski.
