🔴 Ścieżka bólu bez nadziei | HOLLOW KNIGHT Livestream #12
🔗 https://www.youtube.com/watch?v=Ti3O49kJYAY

28:  O nie...
13633:  Dziękuję Ci za trybut.
13635:  Fireballer za dwa miesiące cieszy się Red Pansy wspierający zaisty od 22.
13639:  I Fenix pisze, że gratuluję za podejście do Hollow Knight, do Path of Pain przede wszystkim.
13644:  Dzięki Ci za wsparcie od 8 miesięcy.
13646:  Nie, moi drodzy.
13647:  Niezmiennie, niezmiennie moja ocena Hollow Knight jest najwyższa z możliwych.
13652:  Natomiast...
13654:  Nie zmienia to absolutnie mojej oceny tego, w jaki sposób działa Crystal Dash.
13658:  Dobrze.
13659:  Ja jestem tutaj, Kolosseum jest w górę.
13662:  Dominika Jamnikot, twórczynik Limczak pisze, że się rozjamnicza.
13665:  To dobrze.
13667:  Ktoś musi.
13669:  A, to jest to miejsce.
13672:  To jest to miejsce, gdzie trzeba strasznie dużo się wyspindrywać.
13679:  Chyba tędy.
13684:  Dabi pisze, że zachęciłem do przyjścia do Hollow Knight.
13686:  Dobrze!
13687:  Dobrze!
13697:  Eeeem... Wyżej.
13702:  Boże, kiedy teraz wszystko jest łatwe.
13703:  To jest niesamowite.
13707:  Pleasure House odblokowane.
13709:  Tak, widziałem śpiewającą panią motyl.
13711:  Nie wiem, o co z nią chodzi.
13714:  Zagraj w Hadesa.
13715:  Grałem w Hadesa, nie jestem w stanie zrozumieć fenomenu Hadesa, ponieważ w Hadesie nie można zapisywać swojego progresu, więc hendożyć.
13722:  Nie, ja autentycznie, ja zaczynam bojkotować gry, w których nie można robić zapisu.
13727:  Nie mam na to czasu, nie, może uznajmy ageistowsko, że jestem na to za stary.
13733:  Może gdybym nie pamiętał gier, w których nie było zapisu i przez to nienawidziłem grania, miałbym do tego inne podejście, ale przez to, że pamiętam takie gry, nie.
13749:  Nie ignoruję Dominiki, amnikotwórczyni Klincza, po prostu nie widzę jej komentarzy.
13753:  Widzę, ja zawsze widzę komentarz, w którym ktoś pisze, że ignoruję go.
13756:  To jest straszne.
13758:  Wybrałem pieniądze od bankierki, tylko dlatego mam unbreakable strength, ten rzecz, kompas.
13764:  Boże, kompas, co ja mówię, amulet.
13766:  Jestem za bardzo przywiązany do kompasu.
13772:  Patrzcie, nawet impost mnie już nie przeraża.
13776:  Żadne sekwencje platformowe nie są dla mnie przerażające.
13778:  I co?
13779:  Warto było grać w Pawła Payne.
13780:  Warto było.
13783:  Brak zapisu jako poziom trudności?
13785:  W dalszym ciągu się nie zgadzam.
13787:  Nie, ponieważ masz prawo iść spać.
13790:  Powiem tak, brak zapisu w grach to jest woda na młyn wszystkich ludzi, którzy będą pieprzyć, że gry uzależniają, że są problematyczne w odróżnieniu od innych mediów.
13800:  Więc jeżeli tego nie chcemy, to proponuję, żeby nie dawać wody na młyn.
13807:  Książkę możecie przerwać.
13809:  Film możecie przerwać.
13810:  Serial możecie przerwać.
13812:  Mangę możecie przerwać.
13813:  Animkę możecie przerwać.
13814:  I grę też powinniście móc przerwać bez żadnego problemu.
13820:  Chyba, że włączasz sobie taką opcję sam.
13825:  Git.
13826:  Nie ma problemu.
13828:  Dlaczego streamujesz, kiedy coś wysyłam?
13829:  A nie, Dominiko, to są sekrety.
13831:  Nie mogę tego pokazać.
13832:  Wiesz dobrze.
13833:  Wiesz dobrze, że to są sekrety.
13834:  Dziękuję ci za wstrybut, wszelako.
13838:  Dobra, czy to jest... Ja idę w dobrym kierunku?
13840:  Tak.
13842:  Jest bardzo dużo impostu.
13847:  Trzeba było fuma 17 fal?
13849:  Okej.
13851:  Damy radę.
13852:  Wcześniej było, nie wiem, ze 24.
13852:  Poproszę śmieszną anegdotę.
13859:  Nie wiem, IllegalDev, czy będę w stanie spełnić twoją prośbę.
13862:  Moje śmieszne anegdoty przypominają się losowo.
13865:  Ja nie uważam, że są śmieszne, a potem kogoś bawią.
13869:  Natomiast jeżeli ja mówię coś, co uważam za bardzo śmieszne, to nikogo nie bawię.
13886:  ChaoFu ma 17 fal, gdzie każdy ma od 4 do 9.
13890:  Aha.
13893:  To, to, to trochę załamujące.
13896:  Czyli to jest to, insekt.
13898:  Minimao.
13899:  Minimao!
13901:  Dobrze.
13903:  Ile?!
13906:  Umo!
13906:  Boryma!
13921:  Dobra, czy tutaj można... Czy tutaj... Jak się robiło bramę?
13927:  W górę czy w dół?
13931:  Tego nie wiem.
13933:  Czy jest to w opcjach?
13939:  Oczywiście, że nie.
13941:  Dream nail i up czy dream nail i down?
13944:  Dream nail i down.
13944:  Dobra.
13963:  Właśnie nie chciałem siadać na ławce z tego względu, że tutaj mam blisko sklepikarza.
13975:  Niech to sprawdzę gdzie.
13979:  No jest na dole akurat.
13983:  Brawo!
13987:  Odzyskałem kasa od złodzieja, nie inaczej.
13999:  Czy czytałem coś Haruki Murakami'ego?
14001:  Jeden Q84 kiedyś.
14002:  Ocean Basin.
14005:  To nie tu?
14009:  Jaki rob, Aldeminy?
14010:  Wszystkie robaczki mamy odratowane.
14018:  Ale uwielbiam unbreakable strength.
14020:  Znakomite.
14023:  Ale czemu mówicie o ławce jak ja i muszę iść do sklepikarza, żeby sprzedać rzeczy, żeby mieć w ogóle wejście do Ovasium of Fuchs?
14034:  A ten... On nie krzyczy robal, on krzyczy Rawa!
14037:  Albo brawo.
14039:  Wszędzie są robale, też prawda.
14041:  Jak się nagle zrobiło sielsko-anielsko?
14056:  Jest!
14056:  Vellamy Artridge.
14057:  Vellamy Artridge.
14060:  Vellamy Artridge.
14064:  Vellamy Artridge.
14065:  Jeremy Artridge.
14067:  Jeremy Artridge.
14068:  I've often wondered the true visage of the king.
14071:  Depictions are of an imposing, gleaming figure and a fiercely-horned crown.
14076:  Wreszcie jest.
14077:  I teraz... Ooo, czyżbym miał Dream Nail?
14079:  Czyżbym miał możliwość teleportowania się Dream Nalem do Dream Gate?
14105:  NIE MOŻE BYĆ!
14110:  Dobra.
14110:  Maneva diou.
14114:  Maneva diou.
14115:  Powinien się teraz wydać w dół.
14121:  A tak, to byłoby po mojemu bardzo.
14124:  Kształtowo grano Unbreakable Strength w off-stream Kaiko, ponieważ trzeba było po prostu zebrać dużo Geo i kupić, no więc to prosta sprawa.
14132:  Z latem.
14135:  Teraz ławka, tak.
14137:  Tu jest ławka, nie?
14141:  Gdzie jest ławka?
14142:  Tu jest ławka.
14145:  Tego teleportu Fen niestety nie można użyć w Path of Pain, bo Dream Gate działa wyłącznie, to jest akurat lore'owo wyjaśnione.
14154:  Poza snami.
14156:  Zbierz 2700 esencji i idź do Melemu.
14159:  Zawsze.
14162:  Nie potrzebuję teraz stawu.
14164:  Mam Xi Jinpinga, który mi regeneruje wszystko.
14170:  Czemu ja to zrobiłem?
14173:  Gdzie ja mam iść?
14180:  Gdzie jest Colosseum of Fools?
14183:  Czemu ja nie wiem, co się dzieje?
14192:  Jest.
14196:  Dobrze.
14199:  Dobrze.
14200:  Tak, mów prosto.
14212:  Mów prosto, nie przejmuj się akcentem.
14214:  Nikt się nie przejmuje akcentem poza Polakami.
14217:  I zawsze Polak ci zwrócił uwagę na to, że masz zły akcent, natomiast Brytyjczyk czy Amerykanin nigdy będzie się cieszył, że mówisz w ich języku, ale nie próbuj jakichś zaawansowanych konstrukcji, bo to jest trochę bez sensu.
14227:  Mów prosto, najlepiej.
14229:  I staraj się iść zgodnie z flow i nie tłumaczyć tego, co masz w głowie, tylko mówić, nawet jeżeli to będzie najprościej w świecie.
14239:  Absolutnie nie żartuję.
14242:  Ta sama strategia przyjęta przede mną na konferencjach.
14245:  Dobrze.
14246:  Opokowie, walka!
14253:  Czekajcie, czekajcie, czekajcie!
14254:  Muszę wyłączyć Spotify'a!
14260:  Teraz będzie lepiej, teraz będzie lepiej, bo będę sterował, tak?
14277:  Pa pa.
14288:  Okej, pamięta mi.
14300:  Au.
14314:  Au.
14314:  Okej, to trzeba zrestartować.
14317:  To trzeba zrestartować.
14322:  Nie ma to sensu.
14323:  Robimy podejście, w którym będę na przykład sterował, nie?
14327:  To jest chyba lepszy pomysł, żeby sterować.
14330:  Co się dzieje?
14331:  Czemu ja... Aha, bo znowu weszła ta mechanika z cieniem cholernym.
14339:  Wracaj do mnie.
14340:  Quick focus musi być?
14345:  Jaki quick focus?
14346:  Żaden quick focus!
14350:  Czekajcie, jeszcze ta ławeczka.
14355:  Nie ławeczka, tylko... To.
14361:  Na brzydko ładuję nail art i nie używałem tej mechaniki bardzo, bardzo, bardzo dawno temu.
14366:  I nie lubię jej, ponieważ się bardzo długo ładuje.
14372:  Autentycznie nawet nie wiem, jak to zrobić.
14374:  Chyba tak.
14382:  Tylko to umiem.
14388:  Nie lubię nail artów.
14391:  Czy ja naprawdę będę musiał za każdym razem... O Boże, tak.
14397:  Zresztą się nie poddał na Path of Pain, tylko ukończył połowę.
14401:  Zawsze można podejść do Path of Pain.
14407:  Jak będę miał, na przykład, nie wiem, wakacje, na imię NATO.
14422:  Contact damage.
14423:  Moja nemesis.
14430:  No, nie.
14431:  Chyba się odzwyczajam od walki.
14432:  Chyba się bardzo odzwyczajam od walki.
14435:  Chyba się bardzo odzwyczajam od walki.
14443:  Ale wytłumaczyłem Balrogu o co chodzi z Cieniem Wojny.
14446:  Bardzo precyzyjnie wytłumaczyłem.
14458:  No, to jest problem.
14460:  Zawsze strasznie mnie dziwi, że w tej grze jest taka duża różnica między eksploracją i skillem w eksploracji, a skillem w walce.
14471:  To są dwie różne rzeczy zupełne.
14478:  Strasznie dziwne.
14485:  Ooo.
14491:  To są dwa miejsca w całym trialu, gdzie można się wyleczyć i nazbierać duszy do syta?
14495:  Nie wierzę.
14496:  Pewnie trzeba zrobić jakieś niesamowicie skomplikowane rzeczy, żeby się to udało.
14530:  Czemu, czemu przestało działać zaklęcie do góry?
14542:  Au.
14563:  Au Dobra Okej, tam jest cholerstwo
14593:  O Boże, naprawdę?
14606:  Au!
14607:  Płyniesz miępowo na tym.
14618:  Dobrze.
14621:  I co?
14643:  Jezus Maria!
14648:  No tak, to jest ten problem z tymi próbami w Colosseum, że one bardzo premiują prekognicję, nie?
14657:  To znaczy, jak człowiek wie, co jest w następnej części, to jest super.
14663:  Jak pojawią się dwa wybuchowe ptaszory, przyklejasz się daszem do ściany.
14667:  O Jezu, znowu.
14668:  No dobrze, ale to nie wiedziałem tego.
14677:  Byłem na środku areny dosłownie, więc ciężko byłoby się wtedy przykleić.
14682:  Ale prekognicja by się w grach bardzo przydała.
14689:  Nie no, w baroku lootboxy to jest zło.
14693:  Tutaj nie ma dyskusji jakby.
14694:  To jest zło.
14696:  Każda forma randomizacji nagrody za wysiłek jest złem.
14703:  Dobra, teraz serio.
14704:  W jaki sposób ja robię zaklęcie do góry?
14707:  Myślałem, że W i Q. Znaczy, albo W i Prawy.
14712:  Czemu to nigdy nie działa, to ja nie wiem.
14714:  A, bo pewnie wciskam klawisz kierunkowy.
14742:  Co jest?
14760:  Dobra.
14767:  On zawsze trafi, to jest niesamowite.
14778:  Au, nie w tę stronę.
14789:  A, speed tag ma.
14790:  No ma, ma.
14791:  Niestety.
14800:  Jezus!
14816:  Pamiętałem!
14826:  Co to jest?
14828:  Nie znam tego.
14834:  Pierwszy raz to widzę w ogóle.
14846:  Co to jest?
14852:  Czemu ja tu widzę coś, czego nie było w grze?
14858:  Jezus, ile tego jest!
14866:  Świetnie.
14871:  Były w Queens Garden?
14872:  Mhm.
14877:  Jezus Maria.
14881:  I się zacząłem dochodzić do wniosku, że w Colosseum w ogóle zero spelli i tylko upgrade Naila.
14899:  Ciekawe.
14903:  czyniam zmapowanych czarów na streamdecku.
14907:  Streamdeck mam w zupełnie innym miejscu klawiatury.
14913:  To byłoby kolejne kliknięcie bezsensowne.
14919:  Wolałbym zdecydowanie, żeby czary były np.
14921:  pod 1, 2 i 3, ale nie mogę niestety.
14926:  Tak, nie wiem, dosłownie w każdej grze zawsze.
14933:  Szybszy czar na Dreamlaid'a umowy leczenia, a to wymaga niestety amuletu zmienionego.
14944:  Zaskoczący Czesław może się łatwo leczy, no dobra, ale trzeba znać w ogóle tę umowkę, nie?
14949:  Aha, to w nieskończoność lepszy, okej, dobrze wiedzieć.
14970:  Ja jednak powolę swoje zaklęcia.
14978:  Au.
14990:  A się chytrze wyleczę.
14994:  Czy wpływają techniki reakcyjne z ASMR?
14997:  Nie.
14998:  Jestem mizofonem, ASMR nie będzie pomagał.
15018:  Bez wahania.
15035:  Ja bym chciał coś zrobić bez magii.
15036:  Mhm.
15071:  Już uważam, że magii się używa na latające dziadostwo.
15073:  Dobra, teraz będą te dziwne.
15079:  Tak.
15079:  Świetnie.
15080:  Nie wiem, w którą nigdy stronę to... Au.
15103:  Dobra, teraz leczenie.
15110:  Na sam dół.
15112:  Teraz pod półkę na dole.
15114:  Tę półkę.
15126:  Okej.
15126:  Relatywnie wolno atakują.
15131:  Idzie się przyzwyczaić.
15136:  Okej.
15137:  Ło!
15139:  Takiego.
15169:  Au!
15169:  Zapomniałem o tym.
15174:  O Boże, co jeszcze?
15175:  Aaaa!
15190:  Au!
15192:  Daj mi się wyleczyć!
15193:  Hu!
15196:  Jaki wredny!
15197:  Jaki wredny!
15198:  Nie dał mi się wyleczyć!
15201:  O!
15203:  Skandal!
15204:  Armię z Janem Nikołajem dziękuję najserdeczniej!
15208:  Niuch!
15209:  Czemu mi się to w ogóle nie pokazało?
15212:  Dziękuję za wsparcie kanału i społeczności.
15214:  Zderzacz Hadrona otrzymuje wsparcie Doner Gaski oraz Krzysztof Głos, Soplica Jakub.
15221:  I mat... Szakal!
15222:  I nirnej w arnoje diet!
15224:  I rrrrudy!
15226:  Dziękuję najserdeczniej.
15227:  Tak, był czas, tylko że przestało mnie leczyć.
15231:  Ponieważ zacząłem spadać.
15236:  No, generalnie tutaj bardzo pomaga znajomość sekwencji ataków.
15244:  No dobrze.
15245:  Bo już po co mieć Pawła w paintball sam?
15248:  Przynajmniej się coś dzieje, nie?
15250:  A nie ma nieskończoność powtarzania tego samego.
15255:  A następnym razem sobie zrobimy quest Grima.
15264:  Teoretycznie te stonogi można walczyć Dream Nail'em, ale to jest ryzykowne.
15267:  Stonogi są nieśmiertelne, o ile wiem.
15274:  No pewnie, że to jest inne doświadczenie, niż to zostaje.
15277:  Eksploracja to jest co innego tutaj, niż walka, co z nawiasem nie do końca mi się podoba.
15282:  Chciałbym, żeby jednak te doświadczenia się pomagały nam.
15289:  To był niedobry początek.
15298:  Au.
15299:  Tutaj z kolei moja Nemezis to Contact Damage.
15307:  A, że dają duszę, rozumiem.
15309:  Nie, nie, nie, nie.
15310:  To jest zbyt ryzykowne.
15321:  Znowu chciałem, znowu chciałem nawiasem mówiąc użyć... ...zakręcia, ale nic.
15332:  Au.
15366:  No.
15366:  Au.
15370:  Tym bardziej mnie przeszkadza w tej grze to, że stworzenia wiedzą, że działa Contact Damage i nie używają ataku, tylko po prostu na nas najeżdżają, nie?
15391:  Dobra.
15396:  Dziwactwa.
15399:  Au.
15408:  Może to są jakieś osiągnięcia za ich zabijanie.
15414:  Mówiliście, żeby pod tą ławką być cały czas, nie?
15416:  Tutaj.
15418:  W sensie, że tutaj mi nic nie grozi?
15419:  Moje?
15439:  Zabawne.
15454:  Okej.
15462:  No to, to, to jest dobre.
15469:  EJ!
15476:  Au.
15478:  Nie pamiętałem, że one tu jeszcze raz są.
15491:  Okej, tu jest problematyczny moment.
15503:  Zawsze trafi.
15520:  Mam na górze, będę najbezpieczniej, że nie?
15522:  O!
15522:  O!
15551:  O Boże, to!
15562:  Jezus Maria!
15569:  Aaaah!
15570:  Mówicie, że... Dobra, i tak mniej więcej.
15572:  Ile to jest fal jeszcze?
15573:  Dużo?
15574:  To była połowa?
15577:  Okej.
15583:  Oj, cieszy się Agato, że się playlisty na spoti podobają bardzo.
15587:  1,4?
15587:  Okej.
15593:  Event w Genshinie.
15594:  Muzyczny, on jest pod, mam wrażenie, powtórką z rozrywki z Monsta z zeszłego roku.
15604:  Błyszcz na wali 9, jest 17.
15605:  Nie, manageable, da się zrobić.
15610:  Da się zrobić.
15614:  Zdaję się sprawę z tego, że następne są gorsze, ale jak już jest jeden taki moment, że się można spokojnie wyleczyć, to się cieszę.
15622:  Ja myślę, że Team Cherry się powiększyło teraz w Krzysztofie Akon po Silksong.
15627:  Dowiemy się, zobaczymy jak gra wyjdzie.
15631:  14 fała to piekło.
15637:  To na przykład był zły początek.
15651:  Jezus.
15652:  To ma prekognicję, on zawsze wie, gdzie ja jestem.
15659:  Musisz się nauczyć leczyć, zostawiając jednego brzydnika przy ryciu?
15666:  W jaki niby sposób mam to zrobić?
15681:  W taki sposób.
15693:  Wiedziałem.
15701:  Bezczelne cholerstwo z samonaprowadzaniem!
15710:  To jest tragiczne podejście.
15714:  Swoją drogą, chciałem w tej chwili użyć zupełnie innego zaklęcia, tego do góry.
15719:  Ale przez to już zauważyłem w Path of Pain, że używam przycisków kierunkowych, gra mnie za to każe.
15726:  I zawsze mam to drugie zaklęcie w efekcie.
15742:  Przestańcie używać tchórzliwie.
15758:  No ale to jest przegrana.
15760:  Chyba, że mi się uda przy nich wyleczyć, chociaż wątpię.
15768:  A może?
15772:  Dobra.
15776:  Eee, prekognicja zadziałała, pięknie.
15780:  Ja wiem, gdzie on będzie w następnej sekundzie.
15783:  A ten głupi gracz nie wie, bo nie ma algorytmów, które mu to podpowiadają.
15790:  Głupi gracz.
15806:  No co to jest?!
15812:  Ale, ale wredne tym razem.
15814:  W ogóle mi się nie dał wyleczyć.
15824:  No... ciężko będzie.
15829:  Nie wiem co to jest, co jest teraz.
15830:  O Boże, teraz jest to.
15844:  Aaa... Dobra.
15850:  Nie mrzeć teraz, nie mrzeć teraz.
15851:  Okej, teraz jest to.
15852:  Fuck.
15874:  Dobrze, masz.
15889:  Fuck!
15894:  Nieee...
15904:  O mój Boże, najtrudniej teraz jest.
15910:  Nie mogę tych jego samonaprowadzających się dziadok!
15916:  Jezus, to jest nieprawdopodobne, on zawsze trafia!
15919:  On zawsze trafia!
15923:  Ten Azbit, to jest straszne!
15930:  On zawsze trafi, niezależnie od tego, gdzie ja będę.
15933:  Musi mieć samo naprowadzanie, nie wierzę.
15943:  Ale możemy zrobić jedną rzecz, która nam tutaj bardzo pomoże, mianowicie możemy zdjąć kompas.
15950:  Eee...
15969:  Phones of Agony.
15971:  Może pomóc.
15980:  A, speed obrężnienia, okropny jest.
15983:  Bzybydżyczek to moje demezji przyciął, Łukasz.
15985:  Nie jesteś sam.
16001:  Czy ja się nauczę, że on ma pierwszy atak taki, czy nie?
16005:  Chyba nie.
16019:  Precz.
16031:  Zaskoczyli się do rady o leczeniu.
16043:  Faust of Agony blokuje w miejscu po otrzymaniu obrażeń.
16047:  UR wady.
16071:  Dlaczego one, które wyglądały na wysokolewelowe, są prostsze od tych Aspidów?
16078:  Tego nie wiem.
16085:  Auu, no naprawdę.
16097:  Dobrze.
16105:  A mógł wybuchnąć później troszeczkę.
16114:  Au!
16114:  Tu jest ciężej robić bouncing.
16121:  Dobra, teraz są dziwne pająki.
16129:  Ale wiecie co, ja w ogóle nie czuję, że mam tam breakable strength.
16141:  O, to jest to teraz, zapomniałem, zapomniałem, zapomniałem.
16158:  Co jest?!
16158:  Czwarty raz!
16160:  Piąty!
16174:  O Boże, my jesteśmy nawet przed tym etapem jeszcze, kiedy są gąsienice.
16184:  No leczę się cały czas!
16203:  Po pierwszy raz mi się udało tego cholerstwo zdjąć.
16208:  Good.
16214:  Jest dobra sytuacja.
16217:  Przestaje być dobra sytuacja Czemu ja nie robię pogo?
16228:  Czemu ja nie robię pogo?
16250:  Ale nie wiem, co jest teraz.
16252:  Dużo rzeczy, dużo rzeczy.
16259:  Au.
16263:  Jezus.
16265:  Dobrze, udało się.
16268:  Co jest teraz?
16272:  O rany boskie.
16282:  Nie zauważyłem tego na dole.
16290:  Autentycznie nie zauważyłem.
16310:  Dłabu.
16316:  Zdobędź pasję na potem, jak zdobędziesz ostatnią maskę.
16319:  Ostatnia maska jest za questem, który wymaga no-hita.
16321:  Ja takich rzeczy nie robię.
16324:  Nienawidzę tego rodzaju rzeczy.
16325:  Może to zrobię off-stream, tak samo jak Andrzej to wystrzegł, bo uważam to za trzecią najnudniejszą rzecz, jaka istnieje ever, to znaczy włażenie z jakimś kwiatkiem po całej mapie, kiedy nawet się nie wie, gdzie ma się pójść i jak, i musi mieć na drugim monitorze guide, ponieważ w ten sposób wszyscy robią te questy i nie jest to interesujące.
16360:  Dobra, wystarczy, żeby to było dobre, no.
16362:  O!
16372:  O!
16401:  Dobra...
16411:  CZO? !
16421:  Aaaah!
16434:  Dobrze.
16434:  Okej, teraz jest... Teraz jest to.
16439:  Mam już wszystkie maski, nie jest dobrze, nie jest źle.
16441:  Nie jest dobrze.
16442:  Aha.
16468:  Za dużo tego tałataństwa.
16483:  Dobra.
16486:  Nie jest źle.
16488:  Jeszcze.
16496:  Mhm.
16498:  Dzień dobry, siostro plekugnicjo.
16500:  Dzień dobry.
16501:  Zniszczony do warunga ciemności lewy.
16503:  Nie jedna z lepszych i powyższej warunki, tak jak sądzę.
16505:  Pa pa.
16529:  Au, au, au, au, au, au, au, au, au.
16535:  Byłem w złym miejscu.
16538:  Tory były złe, wszystko było złe.
16562:  Dzięki za oglądanie!
16581:  Czemu nigdy mi nie działa to zaklęcie do góry?
16584:  Znaczy ja już wiem czemu mi nigdy nie działa, to jest pytanie retoryczne.
16587:  Zaklęcie do góry mi nigdy nie działa dlatego, że ja się muszę poruszać z jednej strony na drugą.
16591:  No dlatego mi nie działa zaklęcie do góry.
16593:  Jako użyłem może, nie wiem, 5 razy w grze.
16604:  Dobrze, dobrze.
16606:  Ciężko jest przejść tamten etap z tymi cholerstwami.
16626:  Stop.
16635:  Już się miałem cieszyć, że...
16646:  Jak to jest, jak to jest, Aspidzie?
16648:  Zawsze wiedzieć, gdzie zaatakować.
16650:  Jak to jest?
16650:  Powiedz mi, jak to jest.
16651:  Ja bym chciał bardzo wiedzieć.
16653:  Bym się chciał strasznie dowiedzieć.
16656:  Jak to jest?
16665:  Już po ścieżce?
16666:  Poddałem się w połowie, Asiu.
16670:  Ponieważ nie było zapisu.
16688:  Jezus, on nawet pośmiertnie jest w stanie mnie zabić, to jest niesamowite.
16698:  Byczek, bzyczek cholerny, nie?
16703:  Ho!
16703:  Ten jak raz trafił.
16704:  No, proszę, proszę.
16721:  Strasznie erratyczne ruchy ma ten przeciwnik.
16727:  Nie lubię, nie wylubię go od kiedy się pojawił w Fogotnym Crossroads.
16731:  Au!
16731:  Udało się, udało się.
16741:  Teraz ma pająki, które nie są pająkami.
16743:  Tak.
16751:  Pająki z samonaprowadzaniem.
16763:  Co?
16764:  Co?
16767:  Mam nadzieję, że to było moje parowanie, a nie jego.
16783:  Leczonko Chyba było jego parowanie Ok Au Usiłowałem użyć swojej prekognicji, ale ona niestety nie działa
16813:  No, teraz jest... A, okej, teraz jest to, co tak bardzo lubię.
16815:  Hup!
16815:  Hup!
16848:  Au.
16849:  Wiedziałem, że się nie uda.
16850:  Dobra, wyraźne leczenie tutaj, bo chyba jest to najbezpieczniejszy w tym miejscu.
16854:  Najbezpieczniejszy.
16866:  Dobra.
16867:  Boże, na ile oni byliby trafieni, gdybym nie miał unbreakable strength?
16873:  Aż strach myśleć.
16879:  Au.
16886:  Za każdym razem usiłuję użyć tego zaklęcia i nie działa.
16892:  To jest nieprawdopodobne po prostu.
16894:  To jest absolutnie nieprawdopodobne.
16898:  Po prostu sczytuję to jako ruch.
16901:  Nic z tym nie zrobię.
16902:  A to byłoby takie cudowne, gdyby tego tam użyć.
16913:  Masakra!
16916:  No, bydźmy sobą, to jakieś 20 minutek kończy mniej więcej.
16920:  Meister Path of Pain zrobione w połowie i to jest maksimum, co jestem w stanie zrobić w ogóle w życiu.
16927:  Resztę, resztę sobie obejrzałem.
16929:  Ja na speedrunie, bardzo ładnie wyglądało.
16936:  Ten niby sen przypomina mi mojego wykładowcę te same ruchy i ta sama wredota, pisze Eternitas.
16941:  O rany!
16948:  Hitbox pocisków Aspidu rozciąga się na całej przestrzeni między pierwszym, a ostatnim pociskiem.
16951:  Ta przera między nimi nie istnieje.
16952:  Aaa!
16955:  Aaa!
16956:  To wiele wyjaśnia!
16957:  To wiele wyjaśnia!
16959:  Hup!
16959:  Hup!
16962:  Hup!
16978:  Dlatego tak się dzieje.
16979:  Mi się wydawało, że ja milion razy je unikałem.
16986:  Nie po strona.
16987:  Ja, jeżeli chodzi o Path of Pain, powiem swoje ostatnie słowo.
16993:  Gdyby nie fakt, że tak mi dużo napytał biedy pierwszy etap, nie byłoby problemu.
17000:  Nie widzę, co się dzieje w tej chwili.
17004:  O, to się dzieje.
17005:  Contact damage się dzieje.
17011:  Jezus.
17013:  Zabił mnie typ, który... Wybucha i tak.
17020:  To jest niesamowite.
17029:  Nie, to jest nieprawdopodobne.
17031:  To jest nieprawdopodobne, ale przez to, że mnie ten facet wlazł tam, to straciłem dużo.
17038:  Bardzo, bardzo pomaga w arenach, to już mówiłem przy pierwszym i drugim, że jeżeli ktoś ma dobrą pamięć, ja nigdy nie wiem czego się spodziewać.
17050:  Jaki jest pierwszy tam Kronik Czarnej Kompanii?
17051:  Kroniki Czarnej Kompanii!
17053:  Dosłownie, naprawdę.
17058:  Nie jest tak, że Pawłow pewnie mnie złamał.
17060:  Złamało mnie to, że w tej grze w ten sposób wygląda wspinaczka.
17065:  Bez sensu.
17067:  I w którymś momencie, to znaczy tam jest tam etap, gdzie zaczyna się wskakiwać po... w pionie po samych piłach i cierniach.
17079:  I trzeba na około nich manewrować.
17082:  To jest nie dla mnie.
17087:  Rzuciłem sporo.
17098:  I mają niesamowite te ataki.
17101:  Nie da się tego przewidzieć w żaden sposób.
17110:  Pa pa!
17116:  Speaking of the devil!
17123:  Jezu, to samo mi się stało, co ostatnio!
17132:  Nie pamiętam, że on tutaj jest, no to nie poradzę.
17139:  Nie wierzę!
17140:  Dziękuję za ten zaszczyt!
17143:  Nie zasłużyłem!
17164:  Prawda, zachęcamy do rejestrowania moda na nieznikanie, Paweł, pewnie.
17169:  Czym jest ten mod?
17178:  Ja autentycznie bym przytulił chętnie mod na... wspinaczkę.
17183:  Oj tak.
17186:  Grzechotniku, powodzenia w czytaniu Dzieci Duny, jak się podoba.
17199:  W tym miejscu się go nie spodziewałem.
17207:  Powtórzę to.
17225:  Okej.
17226:  Generatory Manny podręczne.
17228:  Nauczyłem się już je lubić.
17237:  Kolosalne jest piękne to, że w którymś momencie człowiek zaczyna lubić przeciwników, których wcześniej nie znosił.
17243:  Człowiek nie może się doczekać Boga Imperatora.
17245:  Łoo, tak.
17247:  Tam się... To jest... Bóg Imperator to jest próba wytrzymałości.
17253:  Ale jeżeli ktoś lubi politykę, to...
17256:  Łał!
17285:  Jakim cudem?
17286:  Jakim cudem?
17289:  Jakim cudem on wie?
17299:  Nieprawdopodobne.
17303:  Nieprawdopodobne.
17317:  Oj, pomogło mi Path of Pain natomiast w tym skakaniu?
17320:  Pomogło mi.
17329:  Au.
17369:  Udało się.
17370:  Boże, tylko raz.
17371:  Nawet nie wiem co tu... O, tu jest to!
17373:  Pa pa.
17383:  Nie idzie świetnie, bo miałem za mało życia.
17392:  Muszę mieć na modliszkach maksimum mamy.
17401:  A cieszę się Ani to, że się podobają książki z polecenia.
17405:  Jeżeli zasmakuje ci Czarna Kampania, to you're in for a treat, bo to bardzo dużo tomów.
17411:  Cztery tomy samych Kronik Czarnej Kompanii, a jeszcze potem są tomy follow-upowe.
17415:  Dobrze się to czyta.
17416:  A potem możesz śmiało się zagłębiać w Django Wexlera, który jest w bardzo podobnym stylu pisany.
17422:  Może Unbreakable Heart pomoże?
17424:  Mam Unbreakable Strength.
17427:  I zero slotów.
