Za Aiur! | STARCRAFT 2 Livestream #6
🔗 https://www.youtube.com/watch?v=37NWlyITPD8

51:  Wielkie dziękuję.
13150:  Absolutnie tak.
13151:  Ale zauważcie, jak to jest przepiękny pomysł, żeby pozbawić rasę czegoś, z czym ona się urodziła.
13157:  To jest, nie wiem, to aby pozbawić Polaków cebuli z dnia na dzień na przykład, prawda?
13161:  I kazać im tak żyć.
13163:  Ja na przykład byłbym szczęśliwy, bo cebula mnie uczula.
13166:  Krzysztof, nie jesteś Polakiem.
13168:  Śledziliśmy waszą inwazję na Aion, kiedy zostaliśmy odcięci.
13172:  Wtedy otworzyły się wrota.
13174:  Co się stało, Artanisie?
13176:  Amon wykorzystał Kalę, by zawładnąć Templariuszami.
13180:  Czułem, jak jego gniew rozdziera mnie od środka i byłem bezsilny.
13184:  Zeratul mnie odnalazł.
13188:  To właśnie wtedy...
13192:  Próbował mnie uwolnić i udało mu się, ale poświęcił własne życie.
13199:  Poległ z mojej ręki.
13201:  To sprawka Amona, nie twoja.
13204:  Zeratul przyszedłby mnie ostrzec, ale nie posłuchałem.
13210:  To dlatego już go nie ma, a gwiazdy opłakują jego stratę.
13219:  Spoczywa to brzemię matriarchini.
13222:  Łatwo go nie zrzucę.
13227:  Pomysł pozbawienia rasy komunikacji to ja w ambasadorii Chiny Mevilla.
13230:  Szanuję za odwołanie, Tomeks.
13233:  Jeszcze coś mi mignęło.
13236:  A, już wiem, co mi mignęło.
13237:  Czy będzie na kanale Conan Conquer Gniew Kane'a.
13240:  Wstępnie zapowiadam, że w przyszłe wakacje będziemy robili całego Command & Conquer Tiberium Wars.
13246:  Czyli Command & Conquer Tiberium Wars, Gniew Kayna i... A nie, w czwórkę nie zagramy nigdy, absolutnie nie.
13253:  Ale Gniew Kayna jest rewelacyjny, absolutnie.
13258:  Ktoś mówił też, żeby wyłączyć pylon, bo prąd, że niepotrzebnie.
13268:  Gdzie jest szafa grająca?
13270:  Na statku Protossów, naprawdę?
13272:  Czego by słuchali?
13274:  Daft Punk'a mogliby.
13284:  że czwórka jest słaba, no daje jej mniej więcej dwa bieguny na siedem Rings of Power, jeżeli chodzi o Command Control 4.
13293:  To jest mniej więcej taka abominacja, jak... Nie, nie, szczerze powiedziawszy, to jest gorsza abominacja od Dawn of War 3 i to jest zdecydowanie gorsza.
13302:  Dostaniemy mnóstwo rzeczy tutaj, to znaczy Mrocznego Templariusza i chcemy to absolutnie.
13306:  Przecierpimy tę misję po to, żeby mieć misję obronną.
13309:  Krzysztonow, dzięki za wsparcie od roku.
13310:  Następny RTS to powinien być Original War.
13312:  Hulk!
13317:  Naprawdę się da wyłączyć ten pylon?
13326:  Jezus, faktycznie!
13329:  Popatrzcie, jak włączam i wyłączam pylon!
13355:  To jest mniej więcej tak jedna z lekcji w serii Niefortunnych Zdarzeń Pana Romero.
13360:  Teraz będę Wam dyktował dykteryjki do zeszytu, a z dykteryjek będzie test, więc wczoraj w sobotę poszedłem do lodówki i wypiłem sok pomarańczowy.
13374:  i zjadłem chleb.
13376:  Zapisaliście?
13377:  Sok pomarańczowy i zjadłem chleb.
13381:  Dobrze.
13381:  Przechodzimy do następnej anegdotki.
13384:  Przedwczoraj byłem na chodniku i zobaczyłem psa.
13389:  Zapisaliście?
13390:  Okej, będzie na teście.
13391:  I tak leciał gość.
13393:  Przepiękna satyra na to, jak niestety czasem wyglądają lekcje historii.
13399:  Fun fact także na studiach.
13403:  Nie baw się włącznikiem, bo zepsujesz.
13407:  Nie no, wspaniały pylon.
13410:  Krzysztof naciska pylon, umiera jeden Protoss.
13417:  Nasza kuras roi się od zergów Amona.
13420:  Utrzymujemy jedynie południowo-zachodni kwadrat w talonach Protosów, a nawet on jest zagrożony.
13426:  Musimy ewakuować nasz lud, ale platformy startowe są zainfekowane.
13432:  Tylko nasze siły naziemne mogą je oczyścić.
13435:  Gdy zabezpieczymy platformy, nasze statki będą mogły bezpiecznie uciec przez planetarny tunel przesyłowy.
13442:  Platformy startowe zostaną oczyszczone.
13444:  Czy wy widzicie te wiążeczki?
13446:  Są przepiękne!
13447:  Przysięgam.
13451:  To są przepiękne wieżyczki, ale one mają taki zasięg wspaniały.
13459:  Dobrze.
13468:  Już od razu, od razu to robimy.
13472:  Druga rzecz, którą od razu robimy, kierujemy do Vespanu, bo się przyda.
13477:  Okej.
13486:  Kiedy indzi tego posłuchamy?
13496:  Na powód atakuje tunel przesyłowy!
13509:  Caraxie, czy któryś z systemów bojowych włóczni Aduna jest gotowy do użycia?
13514:  Możliwy jest atak z orbity.
13516:  Rozpoznaję cele.
13545:  Uważam, że tak powinno być przy każdym strzale z włóczni Aduna.
13550:  Przy każdym strzale z włóczni.
13553:  Przepiękny atak orbitalny.
13571:  Dobra, niszczmy go.
13579:  Chytry moloch odchłani, wie skąd go atakujemy.
13589:  Nie bądźcie chytrym molochem, odchłani.
13592:  Nie zalecam.
13599:  Eksterminatus.
13601:  Właśnie, przepiękny Eksterminatus.
13604:  Eksterminatus Maximus.
13607:  Dobra, bierzcie ten Vespan.
13610:  Nie wiem, o co chcę was prosić.
13611:  Zobaczymy.
13614:  Więc tak, potrzebujemy tutaj jakiejś małej obrony, tak czy siak.
13619:  Malutkiej, takiej tyci-tyci.
13624:  Kiedy laser czyścicieli... o, ho, ho!
13626:  Do czyścicieli to jeszcze trochę.
13631:  Dobrze, ważny jest Vespan.
13632:  Vespanu musimy mieć mnóstwo.
13634:  Są jedne z najdroższych jednostek w ogóle.
13638:  El Naludin la Shagal.
13641:  Ale brakuje teraz Zeratula.
13645:  Battle for Middle-Earth.
13648:  Trudno kiedyś o to grać.
13651:  Tutaj coś jest, tutaj coś jest.
13652:  Nie wiem, co to jest.
13664:  Niby jak.
13670:  Przesył pylonu, dobrze.
13675:  Zergi zawsze ruszają do ataku na nasz Nexus.
13680:  Dobrze.
13682:  Więcej, więcej protowskich próbników.
13686:  To jest moje marzenie.
13687:  Chciałbym to zobaczyć.
13688:  To jest jedna z tych rzeczy, które chciałbym zobaczyć przed śmiercią.
13690:  Rozszarpanie przed rozwścieczone jamniki.
13692:  Jakiejś cywilizacji.
13706:  Nie wiem już tyle, kiedy będzie zapis streamu.
13708:  To zależy od Amazona.
13712:  Ale się przyzwyczailiście do zapisu streamów.
13713:  W sumie powinienem być zadowolony.
13715:  Na początku był szok.
13716:  Krzysztof, to u Ciebie są zapisy streamów, za które nie trzeba płacić?!
13720:  Jak to?!
13722:  Normalnie.
13728:  Dobrze, teraz będzie tak, jak znam życie, że tutaj będzie jakiś wykrywacz.
13737:  Intragedia absolutna.
13741:  Strach jest iluzją.
13767:  To jest oczywiście jedna z tych fantastycznych misji, które trzeba zrobić szybko.
13773:  Nie wiem, po jaką cholerę... Boże.
13779:  Dobrze, musimy, musimy iść tym, co mamy.
13794:  Oczywiście, że wyeliminuję pełzacze zarodnikowe.
13796:  Nic innego w życiu nie robię, tylko eliminuję pełzacze zarodnikowe.
13804:  No i ten szczep Amona tutaj jest po jaką cholerę, pytam?
13809:  Zniszczyć szczep Amona.
13821:  Więcej we spanu, dobrze.
13823:  Jakich platform startowych?
13827:  Okej, tych platform startowych, już widzę.
13829:  Dobra.
13836:  Mamy troszeczkę więcej surowców teraz.
13839:  Możemy sobie, myślę, pozwolić na to, żeby zbudować więcej bram.
13845:  A skoro już o tym mowa, to więcej także pylonów.
13849:  I może jakąś jedną wieżyczkę dla kurażu.
13855:  To nie jest Amon, tylko kolektywna inteligencja Forczana.
13858:  Właśnie, szybko!
13859:  Szybko trzeba, oczywiście, że tak.
13862:  Zapomniałem, przepraszam!
13865:  Boże, co oni robią?
13866:  Czemu jesteście idiotami?
13869:  Z kim ja pracuję?
13873:  Zniszczyć platformę startową, znaczy oczyścić, przepraszam, nie zniszczyć.
13877:  Znowu.
13879:  Czemu baza zawsze jest atakowana?
13887:  Dobra, nie mam pojęcia, gdzie są te rezerwy solarytu natomiast.
13892:  Jezus Maria, co tu się dzieje?
13894:  Wiedziałem, że będą potrzebne wieżyczki.
13896:  Nie wiedziałem, że będą potrzebne tak szybko.
13904:  Mamy za mało, mamy za mało wszystkiego.
13907:  Mamy za mało złota przede wszystkim.
13908:  Zniszczcie mi to kretyni!
13921:  Z kim ja pracuję?
13922:  Powiedzcie mi, z kim ja pracuję, przecież to jest jakiś dramat.
13930:  Zawsze muszę przyzywać dodatkowe pylony.
13932:  Nic innego przez całe życie nie robię, tylko przyzywam dodatkowe pylony.
13936:  Tutaj jest jeszcze Westpam.
13940:  Co tu się dzieje?
13945:  Dobrze, potrzebujemy więcej tych pylonów, tak?
13947:  Zdecydowanie więcej.
13955:  Nie mam pojęcia, gdzie są te rezerwy solaryjne.
13960:  O Boże, nie.
13969:  Czy ja jestem w stanie?
13973:  Tak.
13976:  Dobrze.
13985:  Coś mi mówi, że tutaj powinna być rezerwa solarytu, ale oczywiście tak nie będzie.
13994:  Czy internet to nasza ludzka kala?
13996:  To jest ciekawa uwaga.
13997:  W sumie tak jest.
14003:  Jezus Maria, Jezus Maria, spokojnie!
14016:  Dobra, zabierzcie to natychmiast.
14022:  Oj, niedobrze, niedobrze, niedobrze, niedobrze, niedobrze, niedobrze, niedobrze, niedobrze.
14029:  Musimy ruszyć tutaj i zabić tego przeklętego molocha.
14036:  Coś mi mówi, że tutaj mogą być te rezerwy solarytu, ale nie ma czasu na to.
14043:  żeby to sprawdzić.
14044:  No masakra.
14047:  Oho, i jeszcze wrogowie, świetnie.
14049:  Wiecie co, po prostu zrobimy tutaj pełne zamknięcie.
14055:  Tak, zrobimy pełne zamknięcie.
14066:  Tak, musimy tak zrobić.
14073:  Ojojojojoj.
14073:  Dobra, to powinno nam wystarczyć.
14081:  Oj, nie dobrze, nie dobrze.
14083:  Jesteś aż fantomem, a nie tylko.
14091:  Zergi silnie umocniły ten teren.
14092:  Atak z orbity powinien pozwolić nam na przełamanie ich obrony.
14097:  Tak też zrobiłem.
14099:  O nie!
14113:  Musimy poświęcić część wojowników, niestety.
14118:  Dobra, jest.
14120:  Zrobione, spadamy.
14121:  Dobra, moglibyśmy zająć ten nexus, to nie byłby taki zły pomysł w sumie.
14133:  Mamy strasznie mało pieniędzy, jak zawsze zresztą.
14140:  Sposłalibyśmy jednego próbnika po wyczyszczeniu wszystkiego tutaj.
14145:  Może utworzymy nexus i będzie troszeczkę, troszeczkę lepiej.
14154:  RimWorld?
14155:  Nie próbowałem swoich sił.
14156:  Widziałem tylko streamy niezbyt mnie zachęciły.
14162:  Dobra, zbierzcie ten Westman w tak zwanym międzyczasie.
14166:  Zniszczyć, zniszczyć to, zniszczyć to natychmiast.
14170:  Co za skandal.
14172:  Amon zawsze wysyła na nas kolejnych wrogów.
14183:  Mam nadzieję, że nam się uda to wszystko wyczyścić.
14186:  Chociaż podejrzewam, że ta misja ze zrobieniem nowego Nexusa nie będzie możliwa, ponieważ znowu jesteśmy atakowani.
14193:  I nie będziemy przesyłać w ten sposób pylonów.
14202:  Budujemy je tak.
14205:  Wielkie nieba!
14215:  O tak, teraz jest atak.
14217:  Cóż za ładny, radosny atak.
14220:  Zniszczę cię, ultraliska, zresztą sobie poradzimy.
14230:  Będziemy skrytni.
14236:  Stara strategia z Wings of Liberty zawsze się sprawdza.
14243:  Dobrze, coś mi mówi, że tutaj będzie ta rezerwa Solarytu, a Solarytu naprawdę potrzebujemy.
14253:  Szczerze to potrzebujemy go bardziej niż realizacji celów misji.
14263:  Tak jest!
14269:  Więcej rezerw solarytu!
14270:  Dobra, mamy to.
14278:  Zniszczyć szczep Amona, wszystko!
14280:  Musi być czysto!
14285:  Zawsze mnie bawiło, że drążek do ubijania gruntu nazywa się Baba.
14288:  Naprawdę, Banuj?
14290:  Dziwne.
14291:  A jaka jest etymologia?
14298:  Prawie wszystko uda nam się powybijać.
14300:  Teraz tak, wbijamy na Janka i zabijamy brzdliwego pełzacza zarodnikowego.
14306:  Tego konkretnie.
14308:  Ha!
14308:  Nie ma go.
14309:  Co za radość.
14312:  Niszczymy drugiego pełzacza zarodnikowego.
14314:  Natychmiast zniszczyć pełzacza zarodnikowego.
14316:  Świetnie.
14321:  Mamy to.
14325:  Nieprawda, mamy mnóstwo Vespanu.
14327:  Cóż za kłamstwo.
14331:  Dobra, czyścimy dalej.
14336:  Okej, może że nam się nawet coś takiego uda zrobić.
14341:  Skoro jest troszeczkę więcej minerałów.
14346:  A jak tutaj temat?
14349:  Nie do końca jestem zadowolony.
14351:  Sprawdźmy, czy możemy już zrobić sobie tę ekspansję przynajmniej.
14355:  Mikołaj Szlagowski pisze, że minął kolejny miesiąc wspierania.
14358:  Jak ja ci dziękuję.
14363:  Adeum, witamy na gronie trybutariuszy!
14366:  Czemu nie oczyściłem?
14367:  A, bo to jest blisko relatywnie, więc damy radę tam podejść, a nie chcę mieć silniejszych ataków.
14377:  Dobra, zróbmy zwiad tak czy siak, czy tutaj już można zrobić nexus, bo tak mi się wydaje.
14394:  Good.
14398:  Una da.
14402:  Chodźcie, dzielne próbniki, chodźcie, chodźcie.
14416:  Dziękuję za jamniki dla Deum.
14419:  Zaangażowanie trybutariusz zostało dostrzeżone.
14423:  Spontaniczne zajamniczenie jest piękne.
14429:  Zniszczyć mi... Zniszczyć mi pełzacza zarodnikowego natychmiast.
14432:  Uuu!
14444:  Prosto nie jest, ale nikt nie mówił, że będzie.
14448:  Zniszczyć te pełzacze zarodnikowe natychmiast.
14451:  Mam wrażenie, że nic innego nie robię, tylko niszczę pełzacze zarodnikowe.
14455:  Co się dzieje?
14455:  Czemu oni nas widzą?
14458:  Czemu oni nas widzą?
14464:  Uciekajmy, uciekajmy.
14465:  Cholera, tego nie zauważyłem.
14470:  No niedobrze.
14478:  No bardzo niedobrze.
14480:  Co więcej, są dwa.
14481:  To dlatego mieliśmy tak przerąbane.
14492:  Będzie trzeba zealotów po prostu zrekrutować w takiej sytuacji.
14497:  Nie ma wyboru, moi mili.
14500:  Innego.
14501:  Rekrutowanie zealotów przy takiej misji to jest, że nadaj żałość.
14505:  Ale co poradzić?
14513:  Okej.
14517:  Proszę bardzo.
14518:  Pięknie, pięknie zebrany Vespa, jestem dumny.
14523:  Dobrze, możemy mieć tutaj jeszcze więcej Vespa.
14526:  Świetna wiadomość.
14527:  Ile to kosztuje?
14538:  Boże, jak dużo.
14539:  Po to jest nam solaret, żeby nie kosztowało wszystko tak dużo.
14557:  Dobra, jak już tu jesteśmy, to akurat to zaatakujemy.
14560:  Tu się ciężko dostać.
14561:  Dobra.
14574:  Zniszczyć mi to dziadostwo.
14578:  O Boże, jak chybiłem!
14580:  Nie!
14590:  O nie... O nie... Dobra.
14601:  Jest Wespan, dobrze.
14602:  Zbierajcie Wespan, niezwłocznie.
14609:  Gdzie jest ten solaryt jeszcze?
14611:  Może tutaj jest ten solaryt?
14613:  A nie sądzę, żeby był w tym miejscu.
14619:  Dobrze, dobrze, dobrze, dobrze.
14625:  Ale to jest sympatyczna misja.
14628:  Pomijając te elementy czasowe, jest sympatyczna.
14642:  Witamy Ewulinę Hiro na Wieki Wieków Spaczeń.
14645:  Dzisiaj rzeczywiście przypalamy, spalamy i niszczymy, jest pięknie.
14656:  Dobra.
14657:  Wiecie co?
14658:  Rzeczywiście w tej sytuacji przywołajmy Zelotów.
14664:  Niech się do czegoś przydadzą.
14668:  Zwłaszcza, że to są zeloci robiący wiru-wiru.
14673:  Wiru-wiru jest super.
14674:  Myślę, że możemy też tutaj spokojnie zrobić drugą rekrutownię zelotów.
14687:  Czy zagram w Warcrafta 3?
14690:  Raczej nie jest w planach.
14692:  W planach macie to, co jest w sądzie naszej, na karcie społeczności.
14698:  Co się dzieje?
14699:  Jaka bitwa?
14700:  Czemu?
14704:  Człowiek chce sobie obniżyć spokojnie stół i słyszy z przerażeniem, że czeka nas bitwa.
14711:  Ja po prostu chcę obniżyć stół.
14713:  To nie jest chyba tak dużo.
14715:  Fantastycznie.
14717:  Fantastycznie.
14718:  Wznosimy mnóstwo...
14721:  Wznosimy mnóstwo bram.
14725:  Good.
14729:  Nasze próbniki zawsze są atakowane.
14735:  No, ale wszystko jest w porządku.
14737:  Dobrze, dobrze.
14738:  I tak, do tych bram dołączą te i będziemy mieli naprawdę fantastycznie.
14743:  Fantastycznie!
14746:  Jutro instaluję Starcrafta 2.
14748:  Proszę bardzo, to są wiadomości dobre.
14750:  To są wiadomości.
14752:  Gdzie jest ten obrzydliwy?
14755:  Tutaj.
14756:  Gin.
14759:  Bardzo dobrze.
14760:  Teraz możemy wszystko tutaj przetrzebić.
14764:  O, to chodzi.
14766:  Nie giną, nie giną.
14766:  Dobrze.
14769:  Mamy znacznie więcej we spamu.
14771:  To jest dobra wiadomość.
14774:  Mniej dobra wiadomość jest taka, że teraz skończą nam się na odmianę minerały, ale zawsze tak jest, że coś się kończy.
14779:  Tych zelotów spróbujmy wykorzystać do wyczyszczenia tutaj wszystkiego.
14784:  Wiru, wiru!
14787:  Piękne wiru, wiru.
14788:  Oczywiście zeloci są tak nieskuteczni jak zawsze, ale przynajmniej giną w jakiejś sprawie.
14794:  Słusznej sprawie.
14801:  O tak, świeże zapasy Mrocznych Templariusz.
14804:  Spin to win!
14810:  A widziałem to, co Agon piszesz o... Co?
14819:  Ja wcale tego nie zniszczyłem.
14821:  Głupi zeloci robią rzeczy, o których ich nie prosiłem.
14825:  Anywho, widziałem, że są te kampanie, które można rozegrać innymi rasami, to jest bardzo ciekawe.
14835:  Tak, przydał się Zelota, zebrał Vespam, dobrze, o to chodziło.
14841:  Viru, Viru, niczym Jamnik, kiedy ma zostać jedyny?
14843:  Oczywiście.
14845:  Oczywiście, to są bardzo poważne rzeczy.
14847:  Jamnik bez pożywienia jest psem nieszczęśliwym.
14858:  Ciach!
14860:  Ciach!
14861:  Pięknie.
14863:  Odradzający zeloci są lepsi, to prawda.
14865:  Ja ich najczęściej chyba wykorzystywałem.
14876:  Oczywiście, że tutaj jest jeszcze obserwator.
14886:  Okej.
14887:  Poczekamy sobie tutaj spokojnie.
14890:  Aż będziemy mogli wszystkich obserwatorów wyeliminować.
14897:  Nie ma to jak niewidzialne jednostki w strategiach!
14907:  Czemu nasze próbniki są atakowane i gdzie?
14910:  Nie powinny być tutaj atakowane.
14911:  Tu powinniśmy być idealnie bezpieczni.
14919:  A, tu jest ostatnia platforma.
14923:  No to niszczymy.
14930:  Dobrze.
14930:  Przyjemna misja, mówiłem.
14936:  Może nawet uda nam się pieprznąć w to.
14939:  Pieprzniejmy w to, bardzo dobrze.
14941:  Zresztą, moim zdaniem nie jest otaczanie Paintingu Mrocznymi Templarami, to jest prawda, tak.
14949:  Odzyskaliśmy platformy startowe.
14953:  Matriarchini, możesz dokończyć ewakuację.
14956:  Ocaliło się lud, Artemis.
14959:  Nigdy o tym nie zapomnimy.
14982:  Zwycięstwo w cieniu.
14984:  Wiem, że bramy są po dwóch, ale wrota te przesyłowe dla fabryk i gwiezdnych wrót już nie, o ile pamiętam.
14992:  I to mnie zawsze irytowało, więc sobie robiłem własne oznaczenia.
14996:  Pamięć ta, jak to się mówi, mięśniowa.
15001:  Niewidzialne jednostki są fajne, chyba, że grasz w Elden Ringa.
15004:  Coś w tym jest, wiecie co, ponieważ... Krzysztof Ślepy, stary!
15007:  Muszę sobie powiększyć czaty.
15008:  Och, teraz to jest tak dobrze.
15010:  Wysłałeś próbnik do gniazda Uli.
15012:  Zawsze to się dzieje.
15014:  Alfatra pisze, że sobie słucha live'a i programuje projekcik.
15016:  Pięć godzin szuka jednego błędu w kodzie i decyduje się na napisanie wszystkiego od nowa.
15022:  Poproszę o wspierające jamniki dla Alfatry.
15025:  Jakiego biurka używasz?
15027:  Południowo tragedii?
15030:  Cieszy mnie, że znów cię widzę, hierarcho.
15034:  Liczyłam, że nasze ponowne spotkanie nastąpi, gdy będziesz obwieszczać odzyskanie Ajuru.
15039:  Ja również.
15041:  Lecz Templariusze... upadli.
15045:  Zatem zagrożenie jest większe niż sądziłam.
15049:  Nie można dopuścić, by ten sam los spotkał Shakuras.
15052:  Na to już za późno.
15053:  Zerwi Amuna wylewają się zwrótniczym potop, kumów i pazynów.
15058:  Najechały już talematros i zbliżają się do świątyni Mizuru.
15061:  Straciliśmy już ten świat.
15067:  Przy takim skażeniu trzeba zniszczyć Shakuras.
15071:  Zniszczyć Shakuras?
15074:  Nie dopuszczę do tego.
15075:  Nie dopuścisz?
15077:  Shakuras był domem mojego ludu na długo, zanim udzieliliśmy wam schronienia.
15081:  Nie pozwolę, by mój świat stał się siedliskiem sił Amona.
15086:  W tej chwili liczy się wyłącznie to, żebyśmy przetrwali.
15097:  Jesteśmy ludem koczowników, Artanisie.
15100:  Naszym prawdziwym domem zawsze był Ajur.
15102:  Odzyskajmy go razem.
15104:  Godzi się, by to córka Rashagal decydowała o losach świata, który jej matka pomogła stworzyć.
15116:  Przepiękny jest ten temat, Shakuras.
15118:  Jestem potrzebny w rdzeniu solarnym, hierarcho.
15121:  Zajrzyj tam, proszę, gdy znajdziesz czas.
15125:  Wora Zu, nowa konwersacja, lecimy.
15128:  Ze wszystkich Templariuszy, ty jeden nigdy nie straciłeś wiary w to, że nasz lud może żyć w jedności.
15135:  Za to cię podziwiałam.
15136:  Co za paradoks.
15138:  Przez cały ten czas sądziłem, że niechętnie akceptujesz zjednoczenie, do którego dążę.
15143:  Spieraliśmy się o wiele spraw w Radzie Zmroku.
15146:  Patrzyłam, jak dzień po dniu mój lud zatraca swoją tożsamość.
15152:  Obserwowałam porzucanie naszych tradycji.
15155:  Chciałaś je zachować.
15158:  Jestem Nerazinem.
15160:  Mrocznym templariuszem.
15163:  Jestem dumna z mego ludu.
15165:  Ale jesteś również Protosem.
15167:  To jeszcze silniejsza więź.
15169:  Konklawę tak nie uważało, kiedy skazywali nas na wygnanie.
15174:  Wy mieliście Ajur.
15176:  My mieliśmy jedynie nasze tradycje.
15185:  Przez cały czas ten przeklęty świat znajdował się w zasięgu naszych flot.
15192:  Wiele się zmieniło od twojej ery, sukcesorko.
15196:  Mroczni templariusze są teraz naszymi sojusznikami.
15199:  Istniały czasy, kiedy Protosi byli rozbici.
15203:  W eonie wojen walczyliśmy między sobą bezmyślnie i zapamiętale.
15209:  Znaleziono tylko jeden sposób, by zakończyć ten obłęd i zjednoczyć nasz lud.
15214:  Kale.
15215:  Mroczni odrzucili jej światło.
15218:  Wyrzekli się własnej rasy.
15220:  Jak możesz dla nich walczyć?
15223:  Rohano, jak ktoś, kto przysiąkł chronić naszej historii, może być tak ślepy na jej nauki?
15231:  Widzę, że cię uraziłam, hierarcho.
15234:  Wybacz mi.
15235:  Ciężko jest przystosować się do tych czasów.
15241:  Widzę, że Artanis spotkał kapłana.
15245:  Rdzeń solarny.
15250:  Rdzeń matrycy solarnej.
15252:  To prawdę imponujący widok.
15257:  Sztuczna gwiazda.
15259:  Pomyśl, jak wielkim osiągnięciem była jej budowa.
15264:  To pomieszczenie zapewnia moc całej włóczni Aduna i wszystkim jej systemom.
15268:  Promieniująca stąd energia posila nawet naszych wojowników.
15274:  Ile czasu ci potrzeba, by aktywować wszystkie systemy?
15278:  Analiza systemów już się rozpoczęła, lecz gwiazda była uspiona od eonów.
15283:  Potrzeba czasu i potężnego katalizatora takiego jak solaryt, by przywrócić jej pełną sprawność.
15290:  Solaryt?
15292:  Pierworodni nie wykorzystują go od tysiąca lat.
15295:  To pradawny okręt, hierarcho.
15298:  Musimy wykorzystać niekonwencjonalne środki, by doprowadzić go do pełnej gotowości.
15307:  Czy im co musisz, fazmatorze.
15309:  Zdobędziemy to, czego ci trzeba.
15311:  Dobrze.
15311:  Jesteśmy gotowi do ulepszenia rdzenia solarnego na twój rozkaz.
15321:  Tak, protosi mają pieprzoną sferę Dysona na pokładzie.
15326:  Wybierz rdzeń, aby zapoznać się z dostępnymi opcjami, hierarcho.
15333:  Jak oni się porozumieją, skoro nie mają aparatu gębowego odciętej od wspólnego połączenia, ale wciąż pozostają silnymi psjonikami, więc zakładam, że kala była bardziej ich pamięcią genetyczną i pozwalała na porozumiewanie się na ekstremalnie dalekie odległości przez te więź, natomiast podejrzewam, że w kontaktach zwykłych działa prosta telepatia.
15356:  Nieprzydzielony solaryzm.
15359:  Ta matryca zapewnia podgląd systemów uzbrojenia i systemów pomocniczych włóczni Aduna.
15365:  Każdy system może mieć aktywną jednocześnie tylko jedną zdolność.
15369:  W zależności od taktyki przyjętej na daną bitwę, możesz dobierać dowolne zdolności.
15375:  To jest super, nawiasem mówiąc.
15376:  Tutaj pokazana jest bieżąca ilość dostępnego solarytu.
15382:  Pozostały solaryt można skierować do systemów pomocniczych.
15386:  Początkowe zaopatrzenie.
15388:  Tak...
15399:  Wyglądasz inaczej, fazmatorze.
15405:  Zapewne masz na myśli te mechaniczne manipulatory.
15408:  Skonstruowałem je, aby poprawić wydajność mojej pracy w rdzeniu solarnym.
15413:  Jak na razie są bardzo pomocne.
15418:  Wyglądasz inaczej.
15419:  Wyglądasz inaczej.
15420:  Chciałbym kliknąć GDZIE INDZIEJ!
15422:  Jak na razie.
15422:  Chryste Jezu!
15424:  Rada wojenna czeka na Ciebie, hierarcho.
15429:  Popatrzcie, jak tam pięknie popylają templariusze w tle.
15436:  Ciekawe, czy oni się spieszą do kibla.
15440:  Czy templariusze chodzą razem do kibla?
15443:  To jest pytanie.
15446:  Nowa jednostka bojowa czeka na przydział do frakcji, hierarcho.
15454:  Jednostka bojowa.
15458:  Zapomniałem.
15459:  Wojownicy dysponujący maskowaniem są gotowi do działania.
15462:  Zemsta za Aior.
15466:  Nawet się nie waham z bardzo prostego powodu.
15469:  W chwili śmierci powraca do Mrocznej Świątyni.
15474:  Cudowne.
15477:  Zgłosiły się statki ewakuacyjne.
15480:  Wszystkie są obecne i eskortowane przez włócznię Aduna.
15484:  Ciekawe, czy to są templariusze korytarzowi?
15487:  Czy tak zaawansowana rasa chodzi jeszcze do toalety?
15489:  To jest pytanie.
15491:  Dzieci, ryby i protosi głosu nie mają.
15496:  Wszystki... Jak był ten cytat dla Last Jedi?
15499:  Zabawne.
15500:  Wszystko, co powiedziałeś w tym zdaniu, nie jest prawdą, tak?
15505:  Poza rybami.
15506:  Chociaż mówi się, że niektóre porozumiewają się to całkiem sprawnie.
15515:  To nie była łatwa decyzja, ale wolę, by szakulat został zniszczony, niż żeby opanowały je zemki.
15522:  Mamy wiele do zaplanowania, hierarcho.
15524:  Tak!
15527:  Tak!
15531:  Uderzcie w bębny, zadmijcie wrogi.
15538:  To jest fantastyczna misja, Marto!
15540:  O tobie ps nadchodzi w blasku porządku.
15546:  Powiedz mi, Warazun, jak zamierzasz zniszczyć nasz świat?
15551:  Pryzmat fazowy świątyń Xenata można przeciążyć, dzięki czemu wyśle impuls energii do jądra planety.
15557:  Dostatecznie silny ławinek zdoła zniszczyć planetę.
15559:  Anon nie opanował jego świata.
15560:  Zastanawiałem się nad tym rozwiązaniem.
15570:  Czas spędzony tutaj przypomniał mi o odwadze waszego ludu.
15575:  O tym, że musimy walczyć.
15577:  Skoro cierpimy, niech cierpi też Amon.
15581:  Postaramy się zwabić jak najwięcej tyłów i zergu na Przezbrodę.
15589:  Gdy będzie ich już dość, by go zranić, przeciążymy świątynię i uciekniemy.
15593:  Chcesz, by się wykrwawił?
15600:  Śmiałe, ale nie możemy ryzykować.
15603:  Nie mamy sił niezbędnych do tego zadania.
15604:  Zostaw to mnie, Matriarchini.
15606:  Wiele się nauczyłem od Mrocznych Templariuszy.
15619:  To jest jedna z moich ulubionych misji.
15622:  Mam przepiękne zakończenie swoją drogą.
15629:  Nasze siły zabezpieczyły teren świątyni Xel'Naga.
15633:  Artanisie, jak idą twoje przygotowania?
15636:  Konfiguruję właśnie świątynię.
15639:  Lecz bez Uraj i Kalis będę potrzebował czasu.
