🔴 WIEDŹMIN (SEZON 3) — odcinek 3-5 | Recenzja ze spojlerami #2
🔗 https://www.youtube.com/watch?v=Wiw-Gb3mWek

196:  Wiecie co, w sumie odcinek trzeci nie jest taki zły.
4464:  To jest bardzo skomplikowane, ale damy radę, moi drodzy.
4467:  Damy radę.
4468:  Lecimy.
4473:  Muszę przerwać z uwagi na copyrighty Netflixowe, ale spokojnie, będzie warto. ...
4490:  Więc to jest postać, która została wprowadzona, ponieważ występuje w sadze dwa razy.
4494:  Waldo Marx mianowicie.
4497:  Waldo Marx będzie bardzo istotny, w odróżnieniu od tego, co jest w sadze, z tego prostego powodu, że będzie jeszcze wiele, wiele, wiele, wiele więcej śpiewał.
4508:  Więc jeżeli spodobało się wam to, co usłyszeliście, mam fantastyczną wiadomość.
4513:  Wiecie wokół czego jest skonstruowany cały ostatni odcinek?
4517:  Mianowicie wokół piosenki Waldo Marksa, cały czas powtarzanej tym pięknym głosem, która mniej więcej toczy się tak.
4526:  Wszystko będzie inaczej niż się wam wydaje.
4538:  W ten wypadek, gdyby ktoś nie zrozumiał, że ostatni odcinek charakteryzuje się tym, że jest skomplikowany troszeczkę bardziej narracyjnie.
4545:  To znaczy nie ma miłości, śmierci, potworów, tylko są dwa plany narracyjne, to znaczy jeden, gdzie Geralt się kocha z Yennefer i przypomina sobie o tym, co się działo na zjeździe na Tonnet, a potem przebitki z tego balu, który tam zgromadził wszystkich czarodziejów i czarodziejki i monarchów, także monarchów tutaj nie ma z uwagi na oszczędności finansowe z Królestw Północy.
4565:  Więc Waldo Marx bardzo polecam.
4569:  Ironia, nakazuje mi się zastanawiać, czy akurat Waldo Marx nie zyskał tak bardzo znaczącej pozycji w serialu Wiedźmińskim z uwagi na sympatię polityczną Loren Fistech, ale zostawmy to, bo byłoby to zbyt już znaczące, myślę.
4583:  Dawid pisze, że drugi sezon będzie oparty całkowicie na czasie pogardy, gdyż w Krwi Elfów brakowało akcji.
4588:  Tak powiedziała Loren, jest to prawda, czytaliśmy to na pierwszym live'ie, tymczasem sceny na Barce i Sherwood zawarte w Krwi Elfów, które zostały tutaj wmontowane.
4596:  Krzysztof, Melissa i spać za dużo wieśka.
4599:  Tak, jest to prawda.
4600:  Musimy wysłać Krzysztofa na Sopot Festival.
4602:  Proszę nie, proszę nie.
4603:  Dobrze, moi drodzy, wracamy w takim razie do, proszę bardzo, Waldomarksa, który razem ze swoją trupą wagantów, nazwijmy ich tak, chociaż raczej są trupimi wagantami niż trupą wagantów, będzie teraz podróżował.
4616:  Ciri się strasznie z tego wszystkiego śmieje i szczerze powiedziawszy, ja na jej miejscu miałbym dokładnie taką samą minę.
4621:  Wracamy, moi drodzy, do Menhira, który nie jest wieżą na Aretuzie, która jest, jak wiadomo, w Węgorzewie.
4627:  I tutaj macie dowód, proszę bardzo, Corpus Delicti, jak to wygląda w serialu, mianowicie, jak ja mam stąd wiedzieć, że to jest Aretuza, skoro nagle wszystko się zmieniło, tak?
4636:  Nagle kamienie są jak w Red Keep w King's Landing.
4639:  Ja nie widzę tutaj Aretuzy, wcześniej Aretuza była cała wyłożona obsydianem.
4643:  Co się stało?
4644:  Nie mam pojęcia, co się stało i skąd ta urna?
4647:  Czy to jest urna kanopska?
4649:  Rozmawia tutaj mianowicie Vilgefortz i rozmawia Yennefer, dowiaduje się stąd Yennefer, że Vilgefortz cimci rimcis Tisayo de Vries w związku z powyższym rzeczy.
4659:  W dalszym ciągu uważam, że Vilgefortz jest ubrany dokładnie tak, jak każdy mag byłby ubrany w kinie w Bollywood.
4666:  Generyczny zamek scena, dokładnie tak.
4669:  Jak w Bieda Redkit, jest to prawda.
4671:  Co tu robi Czerwony Piaskowiec?
4672:  Został mianowicie, moi drodzy, tutaj zgromadzony przez skrzaty z Mahakamu i skrzaty z Mahakamu razem z, a?
4682:  Czarodziejką Marysią, haha.
4685:  łupały sobie Czerwony Piaskowiec i śpiewając sobie chwacko podróżowały następnie do Aretuzy i później te kamienie tam montowały.
4694:  Właśnie tak było napisała o tym wspaniała poetka z Dolblafana, Maria Konopnickaja, która to Maria Konopnickaja jest równocześnie incydentalnie i nieronicznie autorką zbioru poetyckiego pod tytułem
4709:  WIELKIE POEZJE!
4712:  Które widziałem w Bibliotece Jagiellońskiej TWU, jak studiowałem na Wydziale Polonistyki UJ, i mianowicie na pierwszej stronie tomu WIELKIE POEZJE było HU HU HA HU HU HA, nasza zima zła.
4725:  Krótka kombatancka anegdotka ze studiów.
4728:  Więc tak właśnie było z Czerwonym Piaskowcem.
4730:  Teraz, moi drodzy, przepraszam, ale mówiłem, że będzie coraz gorzej.
4735:  To jest autentyczna scena pogrzebu królowej Hedwigi Redańskiej.
4739:  Przepraszam, dlaczego tu znowu jest menhir?
4743:  Proszę, powiedzcie mi.
4744:  Ja już nie mogę.
4746:  Dlaczego wszędzie są menhiry?
4748:  Dlaczego ten menhir jest o... Dlaczego on ma wygląd w posągu z Wyspy Wielkanocnej, który jest owłosiony bluszczem?
4755:  To jest przerażające.
4756:  Dziękuję, podłóżko za wsparcie od pięciu miesięcy.
4759:  I do tego wszystkiego jak naprawdę w skeczu Monty Pythona wskakują ci żałobnicy.
4766:  którzy memicznie przechodzą na pierwszym planie ściskając jakieś ciupaszki z jakimś... To jest przerażające!
4774:  Naprawdę widziałem grupy rekonstrukcyjne na konwentach polskich, które wynosiły na piedestał tego rodzaju rzeczy.
4781:  Jak to wygląda?!
4782:  Przecież wyobrażacie sobie taki pogrzeb?
4785:  To jest mniej więcej tak, jak ja bym zrobił Ministerstwo Głupich Kroków na pogrzebie, tak?
4798:  Co?
4799:  No przecież to jest tragedia absolutna.
4801:  Właśnie to jest ta teatralność, moi drodzy.
4804:  W ścisłym tego słowa znaczeniu.
4806:  Ja nie czuję się jak przeniesiony do świata fantasy.
4809:  Ja się czuję jak na jasełkach szkolnych, no naprawdę już nie ujmując jasełkom szkolnym.
4815:  Sztandar szkoły wyprowadzić, no dokładnie, Rebeko, no widzę, że mamy te same skojarzenia.
4820:  22 miesięcy wsparcia, dzięki ci, Rebeko.
4822:  No jest to straszne, następny kadr jest troszeczkę lepszy już, to znaczy mamy taki pełen kadr, który pokazuje nam te ogrody z różnymi ityfallicznymi rzeźbami z bluszczu, a ściśle mówiąc, to jest chyba, moi drodzy, bukszpan.
4836:  O, proszę bardzo.
4838:  Bo wiecie dlaczego?
4839:  Mianowicie dlatego, że...
4842:  Ja to wymyślę, że w Redanii nie lubiono później magów, w więzku z powierzchnią czczono Boga, ale równocześnie szpanowano ogrodami i dlatego Bóg szpan i wszystko jest jasne.
4855:  To była jedna z najgorszych egzeges, ale pochlebiam sobie, że wciąż lepsza od wszystkiego, co tutaj zostało napisane kiedykolwiek.
4862:  O, to jest ściśle ta scena, w której widzicie ten niski budżet.
4866:  To wygląda jak jakiś habit bidnego plebana z cmentarnic rozmokłych, który został wzuty w ostatniej chwili.
4873:  To wygląda jak... Nie, po prostu nie.
4876:  Mój strój iluzjonisty w szkole podstawowej, który był kupiony za 13,50 był lepszy.
4883:  Wiecie na czym polegał mój strój iluzjonisty w szkole podstawowej?
4886:  Zostałem ubrany przez moją drogą mamę, którą pozdrawiam w garnitur, po czym nałożyła mi jakąś wulgarną czapę papierową z amerykańską flagą i powiedziała, Dud, jesteś amerykańskim iluzjonistą, daj mi spokój z przebierankami.
4900:  To była moja...
4902:  To było moje przebranie na bal przebierańców w szkole, to był najpiękniejszy dzień, jak się możecie domyśleć, koledzy mi długo nie dali zapomnieć o tej historii i tej sytuacji, ale no nigdy nie zapomnę tej czapy za 13,50 z papieru, którą miałem na swojej głowie.
4916:  To, to, moi drodzy, było wciąż lepsze od tego, co widzimy tutaj.
4920:  Łańcuch z plastikowego złota, no właśnie.
4923:  A we Władcy Pierścieni Rex Kellion, proszę nie, na pogrzebie syna Theodena, Eowina zaśpiewała taką melancholijną pieśń, dlatego należy oglądać wersję rozszerzoną.
4931:  Ja płaczę za każdym razem, jest przepiękna ta scena i jeszcze ta, o Boże i nie, naprawdę się poryczę, ta sekwencja cudowna, jak król Theoden mówi, no father should bury ever his son.
4945:  O nie, nie mówmy nawet o tym.
4948:  I widzicie, to jest jedna linia dialogowa, dobrze napisana i równocześnie wystarczyłoby całą tę sekwencję, byśmy chcieli to jakoś uratować.
4955:  Walimy tu jakiś zmierzch, na przykład o złotej godzinie kręćmy, to jest kolejna rzecz, która robi źle ten serial.
4962:  Dlaczego wszystko jest kręcone w południe?
4964:  Przecież nikt nie jest kręcony wtedy, kiedy światło jest najciekawsze.
4967:  Ja naprawdę nie wiem nic o sztuce kinematograficznej, a wciąż wiem, w jaki sposób można to robić, no przecież to jest straszne.
4974:  Nie mam pojęcia, kto to jest natomiast.
4976:  Czy ktoś wie, kto to jest?
4977:  Nie mam zielonego pojęcia teraz, widzicie?
4979:  Oglądałem drugi raz specjalnie, żeby wiedzieć, ale nie wiem.
4982:  Nie wiem, kto to jest.
4983:  Znaczy, poza tym, że to jest Park Jordana w Krakowie i spotkała się tutaj, no nie wiem, dwóch randomowych ludzi, którzy stwierdzili, że będą świętować
4993:  Nie, festiwal topienia marzanny, cokolwiek.
4996:  To jest Philippa Eilhart?
5000:  Od kiedy to jest Filipa Eilhart?
5003:  Ach, bo ona ma zawsze jakąś czapę.
5005:  Ja nie wiedziałem... Aaa!
5008:  Ja nie wiedziałem, że ma taką fryzurę, jak każda czarodziejka z północy.
5012:  No popatrz, nie poznałem Filipy.
5015:  Widzicie to dlatego też, że Filipa nie jest w łóżku.
5018:  Ja poznaję Filipę Eilhart po tym, że jest w łóżku, bo tak mi została w serialu zaprezentowana, więc jak ją widzę w okolicznościach przyrody radosnych, ja jej nie poznaję, to nie jest moja wina, moi drodzy.
5029:  Simbelmine od zawsze porastały groby moich przodków.
5031:  Nie, proszę, nie mówmy o Tolkienie teraz, nie, bo to jest zbyt piękne.
5037:  Jaskier przechodzi w kolejne fazy przepoczwarzania się, tylko że widzicie, normalnie jest tak, że idzie to od takiej strony, że jest poczwarka, a potem z niej wychodzi motyl.
5046:  Powiedzmy, że nie ma motyla, więc to będzie niuchacz, tak?
5049:  Więc powiedzmy, że jest jakieś jajo i z jaja powstaje niuchacz, taka kolejność.
5053:  Natomiast w przypadku jaskra jest odwrotnie.
5055:  Jaskier wyglądał na początku jak motyl, naprawdę miał fenomenalny strój w pierwszym sezonie Wiedźmina, natomiast teraz przepoczwarza się w poczwarkę.
5063:  Jest coraz brzydszy, ma coraz bardziej oleiste włosy, jak Severus Schnaps, i ma coraz brzydsze kurtki, które są nakładane cały czas na rozpinaną tą plerezę, którą, pamiętajmy, pożyczyła mu Loren w ostatniej chwili.
5076:  Nie poznałem Filipy, bo ma oczy w... OOOO!
5081:  sugerujesz, sugerujesz, że Filipa nie jest tak spostrzegawcza, jak myślimy.
5085:  No i myślicie sobie, dlaczego Jaskier tutaj rozmawia tak radośnie sobie z Marksem, dlaczego Geralt rozmawia o Ciri, o Królestwach Północy, co to, że zaczął się Wiedźmin robić jakiś sensowny?
5097:  Nie, moi drodzy, to jest po to, żeby zrobić kolejne cięcie.
5102:  I to jest następny kadr, który chciałem wam bardzo pokazać, to znaczy...
5109:  Czy ja muszę coś mówić?
5110:  Czy ja muszę coś mówić?
5112:  Przecież to jest strasznie źle zrobione.
5115:  Już naprawdę można byłoby walnąć to w AI-u jakimkolwiek.
5119:  Nie obraziłbym się na to.
5121:  Wiem, że Disney ostatnio zrobił wstęp z AI-a, ale to w zasadzie
5124:  To jest Tom Alborg 2.0, ale przede wszystkim zauważcie, jakie to jest brzydkie.
5128:  To nie jest jakość mojego streamu, zaznaczmy, bo streamujemy w 2K, ale to wygląda autentycznie, jak zrobione w 720p.
5136:  Ja pamiętam tego rodzaju animacje z wystawy, którą macie, swoją drogą, bardzo ciekawa, w Podziemiach Sukiennic, na początku lat dwutysięcznych.
5144:  Chodziłem i Krzysztof miał takie...
5147:  ANIMACJA KONKUTEROWA, TO JA, TO JA NIE MUSZĘ TERAZ CZYTAĆ, CZYTAĆ PETITEM NAPISANYCH INFORMACJI GDZIEŚ, TYLKO ANIMACJĘ KONKUTEROWĄ, MAM TO PRAWIE JAK GRA, TO NUDNE MUZEUM, NO TO, TO TAK WYGLĄDA, DOSŁOWNIE, OKRO...
5162:  Pieństwo.
5163:  I potem przechodzimy do scen, moi drodzy, pogrzebowych.
5165:  Czy mi się uda ten kadr złapać, bo jest piękny?
5168:  Tak jest, moi drodzy.
5169:  Więc tutaj jest nieszczęsna Hedwiga Redańska, którą wcześniej paradowano po tym placu, który wyglądał jak Park Jordana.
5178:  No, cinematic z gry 2005 roku.
5181:  Powiem wam więcej, że cinematic z gry Wiedźmin...
5184:  Jeden.
5184:  Który naprawdę nie był najlepszy, ale z perspektywy czasu miał 30 razy lepszy klimat niż cokolwiek, co tutaj dajemy.
5190:  Czemu dalej nie żyje?
5192:  Ponieważ nie ma zbroi fabularnej.
5194:  To jest jedyna postać, która ginie trwale.
5196:  Wiecie, które postacie giną trwale w serialu?
5198:  Bardzo prosta sprawa.
5199:  Jeżeli jakakolwiek postać pochodzi z tej książki, ginie trwale.
5203:  Natomiast jeżeli została wprowadzona przez Loren, będzie miała zbroję fabularną.
5206:  Quod erat demonstrandum.
5207:  Co było do udowodnienia?
5210:  Więc Vizimir Redański rozpacza, Yennefer się patrzy, Dix traknuje, a Filippa zrobiła znowu coś dziwnego z włosami.
5219:  Wszyscy chcą się zjednoczyć przeciwko Emchyrowi, oprócz Hedwigii Redańskiej, która już nie żyje.
5224:  Natomiast możecie tutaj zobaczyć jej piękny counter-effect, który wygląda mniej więcej tak samo wspaniale, jak coś, co zrobiłoby AI, ale w modelu takim Mid-Journey 2.0, a nie 3.0, czy tam, już nie wspominając o następnych.
5237:  Założyła perukę tą naprzód, tak.
5239:  Tak było.
5240:  Gdyby to chociaż Malbork był, pisze Lucifer, nie jesteśmy w Malborku, moi drodzy, jesteśmy w jakiejś bieda podróbce Malborka i świadczy o tym Mina Ciri, która jest ewidentnie zdegustowana tym wszystkim, co zobaczyła.
5252:  Swoją drogą nie wiem, dlaczego nagle przeniesiemy się na inny statek, ale może po prostu nie zauważyłem, jak wyglądał wcześniej Wladar, dziękuję za trybut, seria wyglądała jak prequel wspaniałego stulecia i dynastii i Korony Królów.
5264:  Więc podróżujemy dalej tą śmieszną łajbą, Jaskier się smuci, natomiast tutaj będzie bardzo ładna scena i chce na nią natrafić.
5271:  O!
5271:  To jest bardzo ładna scena.
5273:  Wiecie dlaczego to jest bardzo ładna scena?
5275:  Mianowicie Bernard... Nie, to nie jest Bernard Marx.
5277:  Bernard Marx jest w Nowym Wspaniałym Świecie.
5279:  Waldomarx, mianowicie, dostaje w swój głupi ryj.
5282:  I bardzo się cieszę z tej sceny.
5284:  Uważam, że powinno być więcej scen, w których postaci wprowadzone przez Loren Hissrich, które będziemy niezmiennie nazywać Fistech, dostają w swój głupi ryj.
5292:  Oczywiście,
5293:  Myślicie sobie, że nie mógł przebieżyć takiego upadku.
5296:  Jaką mieliśmy zasadę?
5298:  Jeżeli jest jakaś postać, to została prowadzona przez Loren, a ma zbroję fabularną, więc zobaczcie.
5302:  Niby...
5304:  Przeleciał przez całe Królestwa Północy i jeszcze po drodze przez wszystkich partnerów i partnerki Jaskra oraz Filippy, ale nic mu się nie stało.
5312:  Po prostu odtoczył się tutaj, pum, pum, pum i nic się nie dzieje.
5315:  Bartoszu, dziękuję ci serdecznie za atrybut.
5317:  Zamekł to jakościowy frobak do smoka z serialu.
5319:  Ooo, tego naszego serialu, oj tak.
5321:  Matko Bosko kochana, jakie to brzydkie.
5324:  Rozpatrza Krzysztof.
5325:  Widzicie, dlatego ja to oglądałem, żebyście wy nie musieli.
5329:  Straszna scena, absolutnie, ale zobaczcie, upewniamy się, upewniamy się, Waldo Marx przeżył.
5334:  No i tu będzie sekwencja walki ze straszliwym monstrum, to jest straszliwy monstrum, znaczy nie, to nie jest straszliwy monstrum, to była Ciri i Geralt, tutaj jest straszliwy monstrum, nie, nie, to też nie jest straszliwy monstrum, zaraz będziecie mieć straszliwy monstrum.
5347:  O, to jest straszliwe monstrum, teraz jest straszliwe monstrum, które wygląda jak krokodyl albo jak taki smok, pamiętacie może Weldendlingu, który kroczył na czterech łapach sobie i wygląda jak przerośnięty krokodyl.
5363:  Potem Ciri powie o tym, że to jest zoigl, ja to potraktowałem osobiście,
5367:  Ponieważ Zoigl to jest najlepsza postać, jaka została kiedykolwiek stworzona przez Andrzeja Sapkowskiego.
5371:  Przecież to jest Waldek Skomot, Kretodyl.
5374:  To jest Jamnik, Kretoszczur.
5376:  O, Kretoszczur to jest dobre określenie.
5378:  Dlaczego Zoigl jest zajebistym potworem?
5380:  Ponieważ Andrzej Sapkowski pokazał tam, jak potwory z bestiariusza fantasy mogą funkcjonować w mieście poprzemysłowym, postindustrialnym.
5387:  Macie kanały, do kanałów spływają śmieci i zalęga się wśród śmieci Zoigl, który pożera.
5392:  wszystkich i, krótko mówiąc, tworzy taki symbiotyczny związek z żyjącym miastem poprzemysłowym, czy uprzemysłowiającym się.
5402:  Zajebisty pomysł na to, w jaki sposób odejść od tego, tych korzeni z wilkołakami, smokami, wąpierzami i tak dalej w klasycznej fantazy i pokazać coś ekstremalnie nowego.
5413:  Porównanie tego stwora do Zoigla przez Ciri, które padnie nam za moment, jest straszną abominacją, jeberracją.
5419:  Ostatnio popularne złożyczenie, dziękuję Moniko za trybut na nielubionego autora, oby ci Netflix adaptację zrobił.
5424:  Proszę, nie mówmy tego naszym polskim autorom, proszę, już wystarczy, że biedny Andrzej Sapkowski tego tak doświadczył, chociaż pamiętajmy, że Andrzej Sapkowski ma bardzo zdrowe podejście do tego wszystkiego, mimo wszystko.
5437:  i zapłacono było, okej, tak, wszystko w porządku, a on się będzie z tego dokładnie tak samo śmiał, jak się śmiał z każdej słowiańskiej fantazy w eseju Piruk albo Nie ma złota w szarych górach, który sobie kiedyś czytaliśmy.
5450:  Możemy zrobić tak czaty, że na koniec tych naszych strasznych utarczek z serialem wiedźmińskim przeczytamy sobie esej Piruk albo Nie ma złota w szarych górach, przynajmniej we fragmentach.
5459:  Patrzę, czy tutaj jest coś interesującego.
5461:  No tak, oczywiście, moi drodzy, prawem Kaduka, to znaczy tego scenariopisarskiego talentu, mamy oczywiście scenę, o, Ciri zginie, Ciri zginie, Ciri zginie, nie, przychodzi Geralt, Geralt przychodzi i wiecie, poważne sceny walki, tak, okropne rzeczy się dzieją, ale nie, przepraszam, już nie, już się nie dzieją, to była bardzo krótka scena.
5479:  Taka sama szczera, jak mieliśmy poprzednio.
5482:  Dwie minutki i tyle.
5484:  Jakby powiedział klasyk w postaci Deadpoola, to bodajże było w pierwszej, w drugiej części Deadpoola dwa ruchy i wursuchy.
5491:  To tak w nawiązaniu jeszcze do saczków wcześniejszych.
5494:  To mniej więcej to się czuje, jak się ogląda ten serial i człowiek ma takie, no, wreszcie coś, a nie...
5500:  A nie.
5500:  No ale Geralt jest dumny oczywiście z Loren, bo pamiętajcie, to jest takie, jak się ładnie mówi, pocht pachol, tak?
5506:  Czyli to nie jest pochatel, to jest tak naprawdę zaszyty autor, więc to Loren miała to usłyszeć.
5511:  O, i proszę, proszę, tutaj właśnie ta scena, o której wam mówiłem wcześniej, że Yennefer się teleportuje, czy deportuje w zasadzie przez teleport, o Boże, ponure świece, które skapują...
5523:  To tylko tam, że tej świecy coś ciekło też.
5525:  I mamy portal, który zostaje przechwycony i po przechwyceniu Yennefer trafia do strasznego miejsca, w którym są wizje.
5532:  Wizje są ważne, wizje powrócą w kolejnym odcinku.
5535:  W ogóle uważam, że najgorsza rzecz, jaka się pojawia ever w fantasy, to są wizje wszelakiego autoramentu.
5540:  Nie znoszę wizji, wizje są okropne, ponieważ wizje sprawiają, że biedny Krzysztof, który nic nigdy nie pamięta, nagle dostaje serię scen, których nie ma pamiętać, bo to jest wizja.
5549:  I później ma takie, dude, to jest sen.
5552:  ale ja to zapamiętałem właśnie, dlaczego mi dajesz durne rzeczy, które mam zapamiętać.
5556:  W związku z powyższym, jak zawsze widzę, że jest jakaś scena wizji, Mary Sennej, śnienie, ja to omijam, w książkach, w serialach, w filmach, wszędzie to omijam, bo to mnie konfunduje, więc tutaj też mamy, moi drodzy, coś takiego, konfundująca scena, dzieją się w każdym razie magiczne rzeczy, ale jak zawsze wiemy dobrze, to już się pojawiło w siódmej części Pottera,
5577:  Mamy jakiegoś złego maga?
5579:  Mamy złego maga?
5580:  Przyjdzie ten Krzysztof, tak?
5582:  Przyjdzie na siódmą część Pottera, kupi jak jełop seans w wersji 3D i przyjdzie do śmierci Voldemorta, ale czego Krzysztof Biedny nie wiedział, to tego, że Voldemort się rozpadnie na ciemne obłoczki.
5596:  Później będzie oblepiał mnie po całej twarzy, więc fantastyczne doświadczenie, wychodzisz z kina z fragmentami Voldemorta na sobie.
5604:  Przypomina się słynna scena z...
5606:  Aha, aha, w czwartej części, ale to było znacznie gorsze, wierzcie mi.
5610:  A zatem Yennefer się udaje uciec, no i oczywiście opowiada o wszystkim Sabrinie Glewisik oraz...
5622:  Triss Merigold, to jest Triss, nie musiałem sprawdzić tym razem, nie musiałem sprawdzić, tak?
5628:  Dobry Krzysztof, nie musiałem sprawdzić, pamiętam, że to nie jest, zresztą to jest Triss oczywiście.
5633:  Triss się bardzo martwi o Yennefer i aż przewinę dalej, co się tam dzieje, ponieważ tutaj właśnie zaczynają dłużyzny.
5640:  W tej części tego odcinka zaczyna się strasznie dużo dłużyzny.
5644:  Ta scena to jest w zasadzie powtórzenie wszystkiego, czego wiemy już o wyprawie Geralta do Trzech Gracji.
5650:  Pamiętacie lochy?
5651:  I tam się nie chodzi w tym momencie o lochy zwierzęta, tylko chodzi o faktyczne lochy, w których były te Trzy Gracje elfie, tak?
5658:  Na których eksperymentowano, one potem zrobiły z siebie potwora z Elden Ring albo z Bloodborne'a.
5663:  To jest o tym.
5664:  Więc Geralt mówi bardzo poważnie patrząc na Ciri, a Ciri bardzo poważnie patrzy na Geralta, i tak patrzą na siebie.
5672:  I w tym momencie, na tych dwóch kadrach, mamy więcej treści i emocji, niż we wszystkich dialogach napisanych, ponieważ, jako się rzekło, Henry Cavill naprawdę dowozi w tym serialu i stara się naprawdę grać tak, żeby przynajmniej jego rola była okej.
5685:  I też lubię Ciri, niezmiennie.
5687:  Bardzo podoba mi się to, w jaki sposób ona... gra.
5690:  Natomiast, a jeśli już mówimy o grze,
5698:  Czy my zasługujemy na to, żeby puścić to... Tak, ja myślę, że to musimy jednak puścić z dźwiękiem.
5705:  Myślę, że musimy jednak to puścić z dźwiękiem.
5707:  Przynajmniej dwie sekundy.
5741:  No więc w następnych scenach... Więc w następnych scenach mamy komentarz Yennefer do tej całej sekwencji w karczmie, który wydaje mi się bardzo adekwatny, i następne sceny to są, moi drodzy, trwające, nie przesadzam w tym momencie,
5761:  To jest 20 minut.
5764:  Znaczy, no okej, 15, które przewiniemy.
5767:  Wiecie dlaczego?
5768:  Ponieważ ta scena cała to jest Ciri, która z Jaskrem obserwuje, jak Geralt z Yennefer cimci rimci.
5778:  Potem sytuacja się odwraca, to znaczy Ciri sobie zostaje z Jaskrem.
5783:  Ciri pyta Jaskra, dlaczego jesteś ubrany jak cudak?
5785:  Jaskier mówi, nie wiem, kazali mi tak filmowcy i teraz się męczę strasznie w tym stroju.
5791:  i muszę z tobą zostać teraz, cię niańczyć i aktorka organizacji mówi, strasznie ci współczuję, no mnie przynajmniej w jakieś giezło takie przyodziali, które jakoś sensownie wygląda, no powiedzmy, że ja wyglądam przynajmniej jak chłopka, natomiast ty wyglądasz jak syn tego nalanego dżepetta z wcześniej, więc no trochę niefajnie, no i Jaskier potem słyszy jakieś hałasy, tak, słyszy jakieś
5811:  skrobanie, nie?
5812:  Słyszy jakieś tupoty, słyszy jakiś tup, tup, tup, tup od małych stóp.
5816:  Jakieś skier się zastanawia, a kto to tu może być?
5818:  A tutaj Radowid z pudełka się pojawia.
5820:  Spodziewaliście się Radowida?
5821:  Nikt się nie spodziewa Radowida, ponieważ wiecie, jak to się nazywa?
5824:  Plot twist.
5824:  Plot twist to jest taki moment, w którym myślelibyście, że to jest zwrot fabularny, ale tak naprawdę właściwe tłumaczenie tego terminu
5831:  To jest skręt karku fabularny.
5832:  To jest wtedy, kiedy fabuła tak skręca, że umieracie z cringe'u.
5837:  I mniej więcej coś takiego się tutaj stało.
5838:  Oczywiście nie muszę wam mówić, po co jest ta scena.
5841:  Tu pojawia się ten wybitny dialog między Jaskrem a Radowidem, który zresztą bardzo dobrze wyszydził Filip bez schematu.
5850:  No i oczywiście ta sekwencja jest wyłącznie po to, żeby wprowadzić romans Jaskra z Radowidem.
5854:  Podkreślam, nie służący absolutnie niczemu.
5858:  Bym się niesamowicie cieszył, gdyby ten romans, tak samo jak wcześniejsze sceny erotyczne, seksualne, jakiekolwiek inne, czemuś służyły.
5865:  Niczemu to nie służy.
5867:  Nie jestem w stanie stwierdzić, czemu to służy.
5869:  Ale cringe'owe dialogi, które tam są, są tak złe, że ja ich wam oszczędzę.
5874:  No i wszyscy przybywają nasi chwadcy, a nie, przepraszam, zanim przybywają nasi chwadcy bohaterowie, to Cahir przybywa z Nilfgaardu, żeby się spotkać z Franceską Findabir i powiedzieć, że ej, nie masz już żadnej elfy i rebelii, nie przejmuj się, a Franceska Findabir cieszy się.
5889:  To tyle, obawiam się z tego, co dzieje się w tej scenie.
5893:  Tu się pojawia Marigold i tego absolutnie nie pamiętam.
5895:  Nie mam zielonego pojęcia, co tu się działo.
5897:  A, już wiem, co tu się działo.
5898:  Mianowicie tutaj rozmawiają o... menhirach, tak, dlatego nie pamiętam, co się działo.
5903:  Ja wypieram menhiry za każdym razem.
5912:  Czwarty odcinek jest okropny.
5914:  Ja nic nie chcę...
5918:  A ty?
5944:  I teraz tu bardzo ważne, bo to jest aż do zakończenia, przepiękny motyw muzyczny.
5961:  W następnym odcinku... Geralt z Rivi zrobi rzeczy!
5971:  To są lata dziewięćdziesiąte, tak?
5972:  Że w latach dziewięćdziesiątych się tak robiło seriale, że... O, o, o, w następnym odcinku detektyw Monk zaskoczy was rzeczami, którymi was nie zaskoczył w poprzednim odcinku.
5982:  O, ho, ho, włącznie cię CBS za tydzień.
5986:  Tego nie znoszę!
5987:  Jak można po grze o tron robić tego rodzaju hałę w telewizji tudzież w streamingu?
5992:  No właśnie, w telewizji przemówiłem się bardzo znacząco.
5995:  Omyłka freudowska, lapsus lingwe, jak kto woli.
5999:  A zatem moment, w którym człowiek podświadomie mówi to, co powinien mówić świadomie.
6003:  Krzysztofie, dziękuję Ci przy okazji za trybut.
6005:  Krzysztofowi zabrakło słów.
6007:  Zapamiętajcie ten moment, tak?
6009:  Tak było.
6010:  Mnie autentycznie zabrakło słów na tym czwartym odcinku.
6013:  Jest to absolutnie najgorszy, jak do tej pory, fabularnie, a wiecie, że konkurentów było sporo, odcinek tego serdzonu.
6022:  Nie jestem w stanie stwierdzić, po co on był, poza tym, że zrobił tę właśnie taką straszną nadbudowę, że hohoho, co się stanie.
6030:  No i istotnie, moi drodzy, co się dzieje w tym odcinku, to się dzieją dziwne rzeczy, bardzo dziwne rzeczy.
6036:  Odcinek nosi tu sztuka iluzji, więc wiecie, myślicie sobie, uuu, sztuka iluzji, to będą nas zwodzić może, będą nas może wzwodzić, a może coś jeszcze innego.
6048:  Sztuka iluzji ewidentnie nastraja do różnego rodzaju odchodów, do łudzenia nas różnymi obrazami, mamidłami, tak?
6057:  Do schodzenia na złą drogę, do wielu rzeczy.
6061:  Więc o to będzie chodziło w tym odcinku.
6063:  Wiecie, na czymś to się przejawia na planie narracyjnym?
6066:  Tym, że nic nie wiecie.
