Mass Effect 2 LEGENDARY EDITION Livestream #6
🔗 https://www.youtube.com/watch?v=6JDIAX6eEPk

2:  Mass Effect 2.
11823:  Recruit Archangel.
11825:  Ale to też jest na Omedze.
11829:  No to zróbmy to.
11833:  Bo mam absolutny deficyt, jeżeli chodzi o eksplorację Omegi.
11838:  Tak, tutaj rzeczywiście F to jest powrót na Normandię.
11844:  Ale Omega ma przepiękny design.
11857:  No.
11865:  I to jest... W dalszym ciągu mamy... Mordina możemy polewelować.
11870:  Incinerate!
11873:  Moi drodzy, oczywiście.
11875:  Salarian Scientist.
11877:  Cryoblast, pewnie.
11880:  Dobrze.
11882:  Świetnie.
11883:  I tutaj mamy zrekrutować Archangela, tak?
11886:  Pytanie gdzie?
11888:  Journal.
11889:  Omega.
11890:  W ogóle w Omegze jest dużo rzeczy do zrobienia.
11893:  Eee... Mamy porozmawiać z Ariel T. Loak, ruler of Omega.
11897:  Och, to jest piękna rozmowa.
11898:  Once all important new... Dobrze, idziemy do niej.
11903:  Z całego serca polecam Choice of the Deathless, jedna z najbardziej unikatowych książek, jakie znam.
11908:  W niej magowie są... Demonicznymi prawnikami.
11911:  Mmm...
11923:  F5.
11925:  Zapisujemy radośnie.
11930:  Dlaczego nie mogę z Elkorem porozmawiać?
11931:  Ja uwielbiam rozmawiać z Elkorami.
11936:  Mirando!
11938:  Dlaczego mój topór blokujesz swoim ciałem?
11949:  Przepiękny... Naprawdę mam wrażenie, że ja tutaj mam więcej cyberpunka niż cyberpunku, no przysięgam.
11965:  Świetnie, że jest Elkor do rozmowy.
11967:  Uwielbiam Elkorów.
11975:  Chociaż powinienem to powiedzieć w następujący sposób.
11978:  Ograniczony entuzjazm.
11980:  Uwielbiam Elkorów.
11983:  Idziemy dalej.
11984:  Afterlife.
11986:  Swoją drogą, przecież Afterlife też jest w Cyberpunku, dlatego mi się to skojarzyło.
11998:  O tak.
12001:  O tak, pamiętam te lokacje.
12013:  Nie pamiętam, tylko oczywiście Battle of Brandy!
12017:  Tak!
12019:  Taak!
12021:  Quest kolejny.
12030:  Widzę, że Yennefer nawet nie zniża się do tego, żeby porozmawiać z barmanem.
12035:  Bardzo źle, we wszystkich RPGach rozmowy z barmanem przynoszą zawsze korzyści.
12042:  Ale nie ma tu jak wychylić sobie radośnie Keelona.
12048:  With overwhelming joy, najlepszy klub nocny w całym uniwersum Mass Effect, absolutnie.
12053:  Walk away.
12056:  Gdzie jest... Czy ona się naprawdę nazywa Arya?
12063:  Tak, ona się nazywa Arya.
12075:  Czy ja nie umiem znaleźć postaci, z którą mam porozmawiać?
12078:  Naprawdę?
12079:  Ona jest chyba na górze.
12083:  Mhm... No oczywiście, że Asari.
12093:  Ja mógłbym tańczyć z tymi tańcerkami Asari, absolutnie!
12096:  Od razu!
12102:  What's the scan for?
12118:  Oczywiście, że jesteśmy czyści.
12119:  Jeszcze.
12122:  Come on, jesteśmy w klubie dopiero od 10 minut, jak mielibyśmy jeszcze się urżnąć?
12128:  Aż tak, aż tak dobrzy nie jesteśmy.
12133:  Jakby drobne problemy z egomanią.
12137:  Ale potrzebujesz więcej.
12138:  Wszyscy potrzebują więcej czegoś i wszyscy przychodzą do mnie.
12148:  Jestem CEO Queen, jeśli czujesz, że nie.
12150:  Ale to nie ma znaczenia.
12154:  Omega nie ma tytułowego króla i tylko... jednego króla.
12156:  Nie uderz w Aria.
12164:  Ten uśmieszek!
12166:  Ach!
12168:  Cudowne.
12182:  No.
12185:  Mordin tak, złamał tę regułę.
12192:  Zazwyczaj nie wycofam to wolno.
12194:  Informacja to moja moja moja moja moja moja moja moja moja moja moja moja moja moja
12219:  Hmm... To się nazywa spuścić po brzytwie.
12222:  Słynna odpowiedź?
12223:  Uważaj o swoim samym biznesie.
12225:  Ja jestem Skan, a my jesteśmy prosto do biznesu.
12228:  Ludzie są zazwyczaj bardziej skoncentrowani na tym, kim ja jestem.
12235:  Twoja śmierć została zakończona, ale prawie.
12236:  To, co nazywam sekretem.
12237:  Musiałam sprawić, że to naprawdę ty.
12238:  Cokolwiek, czego potrzebujesz, wyjdzie na własne.
12243:  Jestem ciekawa, ale... Omega nie zależy od ciebie.
12244:  Próbuję znaleźć Archangelę.
12244:  Ty i pół Omega.
12255:  To prawda, częścią magii Arii jest to, że ona kompletnie zachowuje się inaczej od tych wszystkich swoich... jak ładnie powiedzieć, konfrater, tylko w odniesieniu do kobiet.
12269:  Consorores.
12280:  Power is power.
12281:  Tak, absolutnie.
12284:  No jakby ją dubbingowała jeszcze Lena Headey, to...
12288:  Jakiego rodzaju kłopotu?
12289:  Miejskie grupy Merk złożyły siły, żeby go zniszczyć.
12292:  Miejskie grupy Merk złożyły siły, żeby go zniszczyć.
12294:  Miejskie grupy Merk złożyły siły, żeby go zniszczyć.
12296:  Miejskie grupy Merk złożyły siły, żeby go zniszczyć.
12299:  Miejskie grupy Merk złożyły siły, żeby go zniszczyć.
12301:  Miejskie grupy Merk złożyły siły, żeby go zniszczyć.
12304:  Miejskie grupy Merk złożyły siły, żeby go zniszczyć.
12306:  Miejskie grupy Merk złożyły siły, żeby go zniszczyć.
12308:  Miejskie grupy Merk złożyły siły, żeby go zniszczyć.
12310:  Miejskie grupy Merk złożyły siły, żeby go
12320:  Czy ja dobrze pamiętam, że to jest ten moment, kiedy rekrutujemy Garusa?
12323:  Niech to będzie ten moment, kiedy rekrutujemy Garusa.
12334:  Nooo, Garus!
12335:  Hahaha!
12339:  Dobrze, bardzo dobrze.
12344:  Spoiler, tak.
12354:  Ja się specjalizuję w tym na wykładach.
12357:  Drop the spoiler i następnie mówię, a przepraszam za spoiler, standardowo.
12362:  Dobrze, gdzie idziemy teraz?
12364:  M. Aha.
12371:  Mac Recruiter Upper Afterlife.
12373:  A on to?
12377:  To był ten private room gdzieś, prawda?
12379:  Podejrzewam, że tutaj.
12385:  Komendant Shepard?
12388:  Czy to ty?
12390:  Jestem Helena Blake.
12392:  Współpracowaliśmy kilka lat temu.
12395:  Nie oczekuję, byś pamiętał, że zostałaś od mojego siły, a mnie przyspieszyła, żeby się odpocząć.
12402:  Nigdy nie zapomnę tego.
12404:  Co cię przywiozło do Omega?
12405:  Co przywiozło kogoś do Omega?
12407:  Znajduję się w tym miejscu.
12411:  I teraz jesteś na Omega.
12413:  Kiedy jesteś kryminalistą, zawsze jesteś kryminalistą, nie?
12416:  O nie, komendantze.
12417:  Zatrzymałam się.
12418:  Zastanawiałeś mnie, żeby zmienić moją życie.
12420:  Teraz jestem pracownikiem społecznym.
12423:  Czy to jest to, o czym mówisz w dzisiejszych czasach?
12431:  Tak to nazywa się, gdy osoba pracuje w szpitalu.
12434:  Pracowanie w szpitalu wymaga tego, żeby zrozumieć, jak rzeczy naprawdę pracują, co sprawia, że jestem wyjątkowo skomplikowany.
12440:  To... więcej nobla niż oczekiwałam.
12441:  Nobla?
12442:  Nie.
12459:  Trinity!
12461:  Przypomniałem sobie.
12477:  Co ciekawe.
12479:  No dobrze, chcę teraz pójść do Archangela i zastanawiam się gdzie on jest, albowiem gra mi tego niestety nie pokazuje.
12486:  Chyba, że to będzie w tym Lower Afterlife dalej.
12494:  Sprawdzę na wszelki wypadek, bo tu też był jakiś private room, ale on był zamknięty.
12499:  Dobra.
12500:  Czyli się nie otworzył.
12502:  Uuu!
12505:  A jednak, jednak!
12510:  Moje oczekiwania wobec nowego Matrixa?
12512:  Niech po prostu będzie tak dobry jak Atlas Chmur i nie taki jak Jupiter Descending.
12517:  Wow, nawet nie smak.
12522:  Więc jesteś tu, żeby walczyć?
12525:  Z pewnością, jeśli to jest miejsce, by poszukać Archangelu.
12533:  To jest miejsce.
12533:  Standardowe pieniądze to 500 kredytów za każdą.
12535:  Dostajesz pieniądze bez przeglądów.
12536:  Jeśli jednak twoi przyjaciele nie zbierają twojej części, to wiesz, jak to wygląda.
12538:  Zobaczmy, jak to wygląda.
12539:  Nie, nie, to nie sprawia, że jesteś członkiem Czarnych Słon, Eklipsy, Blutpacku.
12543:  Jesteś freelancerem.
12544:  Period.
12545:  Jakieś pytania?
12549:  Dlaczego Merk pracuje razem, żeby zniszczyć Archangelę?
12550:  Nie byłeś długo na Omega, co?
12555:  On robi wszystko, co może, żeby zniszczyć nas.
12558:  Zniszczyć nas, operacje, operacje, operacje, operacje, operacje, operacje, operacje, operacje, operacje, operacje, operacje, operacje, operacje, operacje, operacje.
12566:  Czy on jest ciężkim zawodnikiem?
12568:  Ile bossów Merk jest w tym ataku?
12570:  Tak, Taric prowadzi Błone Sony, ale wszystkie trzy bossy zajmują się operacją.
12574:  Jareth prowadzi Eclipse i Garm jest głównym... Taric jest odpowiedzialny, ale inni nigdy tego nie powiedzą.
12582:  Cieszę się, że są w tym całkowicie, ale myślę, że... Co zrobimy, kiedy tam jesteśmy?
12588:  Jak dojdziemy do Archangelu?
12590:  Merks powie ci, kiedy dojdziesz.
12591:  Wczoraj słyszałem, że przerabiają freelancerów w grupy skauterów.
12593:  Atakują w okręgach, żeby zainteresować Archangela.
12596:  Więc my tylko szkodzimy za jego buty?
12598:  Jeśli nie podoba ci się, nie zaproś.
12599:  Ale jeśli robisz dobrze, to łatwy kredyt.
12602:  Poza tym, jakie są szanse, że mógłby zabić was wszystkich?
12608:  To jest proste.
12608:  Ian Shepard jest maginią.
12610:  Musi mieć po prostu najwyższą kontrolę psychiczną i psjoniczną i powstrzymywać się przed wyborami, które są takie, że aż nas świeżbi ręka.
12641:  Zajmij się następnym.
12642:  Hej, to tu się zgłaszam?
12642:  Wyglądasz trochę młodym, żeby być freelancerem jako Merk.
12647:  Jestem wystarczająco młody.
12648:  Urodziłem się na Omega.
12650:  Wiem jak używać broni.
12651:  Musisz wiedzieć więcej niż to, jeśli chcesz przetrwać.
12655:  Mogę uratować siebie.
12657:  Poza tym, po prostu spędziłem 50 kredytów na ten pistolet i chcę go użyć.
12662:  Zajmij się pieniędzmi.
12665:  Hej, Woody!
12673:  Yennefer Shepard ratuje!
12677:  Czyż, czyż, czyż może być cudowniejsza?
12680:  Eee, nie pamiętam co mamy teraz zrobić.
12685:  Ok Angel, go to transit hub, dobrze.
12693:  Dużo mamy rzeczy do zrobienia.
12695:  Mam nadzieję, że nie ma nic takiego, co zrobimy teraz i zablokuje nam opcje różne.
12700:  W oryginalnym Matrixie czerwona pigułka była nawiązaniem do pigułek estrogenu, jakie wtedy istniały.
12705:  Czerwone przeżyczyste pigułki.
12707:  Wow!
12708:  Fan fact, którego nie znałem.
12711:  Właśnie, ciekawa rzecz.
12712:  Czy tutaj też jest tak, że mamy narrację?
12716:  Tak, a tutaj też czy nie?
12718:  Nie.
12719:  Czyli tak samo jak w jedynce.
12720:  Dobrze.
12722:  Transit Hub.
12725:  Czemu mnie kompletnie nie dziwi to, że nie ma tutaj oznaczonego tego jedynego miejsca, które powinno było być oznaczone?
12735:  Lower level.
12741:  Apex Omnitools, dobra, może to jest Transit Hub.
12747:  Skąd blizna na policzku Yen?
12750:  Eee, nie została jeszcze zreperowana po zabiegach Cerberusa.
12758:  Nie, ewidentnie nie umiem trafiać w tej grze nigdzie.
12762:  Gdzie jest Transit Hub?
12763:  Patriarch!
12763:  Nie.
12763:  Miasto ma bliską rodzinę.
12771:  Chcą tylko zemsty.
12781:  O dobrze, bo dzięki temu, że błądzimy, natrafiamy na narrację emergentną.
12789:  Krogan jest tak wiekowy jak ty.
12797:  Zabiłem wielu ludzi, żyłem razem z nimi.
12807:  Boże, mówi jak Bane z Batmana.
12812:  Ale to nie jest tą Hardy.
12815:  Tak dobrze nie ma.
12818:  Kilka wieków temu Omega była moim rockiem.
12823:  Myślałem, że była innym tancerzem.
12828:  Zabiła pół moich ludzi i przekonała innych, że przyjechała do mnie tutaj, w ten bar.
12845:  Pięknie są dubbingowani kroganie, to trzeba im przyznać.
12849:  Okej, czyli tutaj się nic jakiegoś spektakularnego nie zdarzyło.
12862:  Ale może to nas wyposażyło w jakąś interesującą wiedzę na temat poczynań.
12868:  Naszej nowej przyjaciółki.
12871:  Proszę.
12872:  Rex Hardy, tak.
12886:  Właśnie spojrzałem na listę subskrybentów, miłe zakończenie, a zaczynałem cię oglądać z liczby ponad 2000.
12890:  Dla mnie też jest to niesamowite zaskoczenie, bardzo miłe to.
12896:  Czy my idziemy w dobrym kierunku?
12898:  Ja mam wrażenie, że nie.
12903:  Ale cóż, trzeba wpierw zeksplorować wszystko.
12910:  A, jesteśmy teraz, idziemy na Omega Market, dobrze.
12914:  Siś!
12922:  Barman na dolnym poziomie?
12923:  Dobra.
12942:  Dziwna rozmowa.
12943:  Dobrze, gdzie macie tego barmanu na dolnym poziomie, bo...
12949:  Na dornym poziomie afterlife?
12953:  Wielkie nieba.
12955:  Backtracking!
12956:  Magowie nie znoszą backtrackingu!
12961:  Magowie mają od tego teleportację.
12967:  Przecież tutaj była barmanka, myśmy z nią rozmawiali.
12973:  Myśmy z niej mnie rozmawiali.
12976:  Myśmy z nim... Myśmy z nim nie roz... Myśmy z nim rozmawiali przecież!
12983:  Cóż... Co to za... Co to za dziwne... ...zwodnicze manewry?
12992:  Zamówiłem drink!
12997:  Wcześniej był zamawiany!
12998:  Pierwsze... Za kogo wy mnie macie?!
13001:  Ja wykładam na AG-ku!
13002:  Pierwsze co zrobiłem to zamówiłem drinka!
13009:  Shepard, w porządku?
13037:  What happened?
13039:  Ale wcześniej zamówiłem i się nic nie stało!
13041:  Oooo...
13066:  Bardzo ważna, bardzo ważna rzecz.
13072:  Cieszę się, że doświadczyłem tego.
13075:  Confront Batarian.
13077:  O!
13077:  I bet we will.
13088:  To jest quest.
13092:  Na wyższym poziomie ludzie są okej, na dole fujka.
13095:  Tak, tak, no właśnie.
13097:  Panie!
13098:  Panie!
13101:  A gdzie Korniszonek?
13110:  Kurczę, tu... Tu mnie kusi Renegat.
13114:  I tak zrobię.
13125:  Ha, ha, ha, ha, ha, ha, ha, ha, ha.
13130:  Shove it up your ass!
13136:  Shield na je nefer.
13150:  Tak właśnie.
13153:  Naw... Ten drink tak mu zaszkodził, że zniknęło nawet jego ciało.
13164:  CDPR was here.
13169:  Dobrze.
13171:  Dziękuję, dziękuję za możliwość doświadczenia tego quest'a.
13183:  Będziemy nadrabiać paragony, to nie jest problem.
13186:  Can salvage.
13194:  Ooo, tak.
13197:  Potrzebujemy tego na pewno.
13201:  Plazma, shotgun, oczywiście.
13203:  Co będzie?
13204:  Zawsze będzie shotgun.
13207:  Shotgun.
13209:  O, wspomniałem o shotgunie.
13212:  Wszystko zawsze nie dla magów.
13220:  A, już rozumiem dlaczego.
13230:  Jak ja lubię kwarian.
13236:  Tysiąc?
13237:  Oh, co za problem.
13241:  Pff, jesteśmy bogaci.
13246:  Proszę bardzo.
13248:  Proszę bardzo.
13250:  Jacy jesteśmy niesamowici.
13253:  Weapon upgrade.
13257:  Nie, nie chcę.
13260:  Co tu się dzieje?
13261:  Co jest za tymi drzwiami?
13265:  Właśnie sobie skopałem quest'a i szansę na zniżkę wellcora?
13271:  Ja tam uważam, że quest został rozwiązany w sposób szlachetny.
13276:  Eee... Omega Market, Cairns Salvage, Harriot's Emporium, Apartments, Shuttle to Quarantine Zone.
13283:  Co my mamy teraz zrobić?
13287:  Overlord.
13291:  Nie.
13293:  Eee... Missions.
13301:  Transit Hub.
13302:  Gdzie jest ten Transit Hub?
13308:  Head over to the transport depot outside the club and hop a shuttle to Archangel's location.
13314:  Ja mam zielonego pojęcia gdzie to jest.
13320:  Merc Recruiter.
13321:  Upper Afterlife.
13324:  Transport depot, może tutaj?
13337:  No to Transport Depot, a Transit Hub to są, przepraszam, dwie różne rzeczy.
13342:  Słyszałem, że człowiek weszł w Plague Zone.
13345:  Wiesz o czymś o tym?
13347:  Byłam tam na misji.
13347:  Przypomnij mi, żeby nie przeszedł w twoją drogę.
13350:  Cóż, moja praca została o wiele łatwiejsza.
13370:  Nie wiele jesteśmy w stanie z nim zrobić na razie Chociaż Vocha się do niego odwoływały No to idziemy do tego transport hub Jestem na misji
13395:  No, ktoż się nam przyda?
13396:  Oczywiście, że Mordin się nam przyda i oczywiście, że Miranda.
13401:  EXCEPT!
13404:  W dalszym ciągu nic nie jesteśmy.
13405:  Proszę bardzo, mamy niewiele Renegata, bez przesady.
13411:  Hmm... okej.
13416:  Quarianie, Turianie i Kroganie to najlepsze rasy.
13418:  Change my mind.
13419:  Hmm... Elkorzy.
13425:  Hanarzy.
13427:  Wyobraźcie sobie Hanara, który byłby ze Snajperku, to byłoby przecudowne.
13435:  Nie dostaniemy wielu zamówień, jeśli by wszyscy wiedzieli prawdę.
13438:  Archangel został zamknięty w budynku na końcu ulicy.
13441:  Jest w pozycji najwyższej.
13442:  I jedyny sposób do niej jest przez bardzo wyraźny brzeg.
13445:  To miejsce zabijające.
13446:  Ale on się zmęczył, robił błędy.
13449:  Będziemy go wkrótce znaleźli.
13455:  Zajmę się twoją atytułą, ale będziesz na drużynie dystrakcji.
13457:  Przejdź po brzegu i zatrzymaj Archangela, tak aby infantylizm był... Prawie tak.
13463:  Wygląda na to, że będziesz na trzeciej barakadzie.
13465:  Porozmawiaj z serdentem Cathka.
13467:  Powiedz, kiedy wejść.
13474:  Wolusowie?
13474:  Wolusowie są z tymi aparatami darth vaderowskimi?
13489:  Tak, archangel zamknął to.
13490:  Nie zniszczył go, ale wiedział tylko, gdzie go zamknąć, żeby go zmienić.
13494:  To nie była nawet sprawiedliwa walka.
13496:  Przynajmniej nie dla nas.
13498:  Gdzie jest infiltracja?
13498:  Na dalekiej części brudu, blisko jego pokoju.
13500:  Ale oni nie mogą się do niej zbliżyć bez jego widzenia.
13503:  Jak oni mogli się do niej zbliżyć bez jego widzenia?
13506:  Większymi dystrakcjami.
13507:  Tarak użył samolotu, aby zatrzymać archangelę.
13509:  Mieliśmy... Musimy zatrzymać archangelę na brudzie, żeby on nie znalazł się na brudzie.
13513:  Dobrze, patrzcie na siebie.
13514:  Wszelkie rzeczy są proste.
13515:  Wszelkie rzeczy są problematyczne.
13520:  Mordyn jest kimś, kogo po prostu się chce mieć aż na misji.
13525:  Czy ja znowu nie wiem gdzie iść?
13526:  Tak, oczywiście, że nie.
13529:  Będę.
13532:  Mam nadzieję, że będzie jakaś walka.
13538:  O tak.
13544:  Okej.
13546:  Tak zrobimy, o ile oczywiście gra będzie nam sprzyjać.
13550:  Sprzyja nam szczęście.
13554:  To jest mój problem na misjach, zawsze chcę wszystkich kampanów, no.
13567:  Z wszystkimi rozmawiamy.
13569:  Co potrzebujesz, freelancerze?
13571:  Więc zespół z infiltracją jest głównym skutkiem ataku.
13576:  Plan Tarek, a nie mój.
13578:  Archangel nie idzie gdziekolwiek, więc... Kto wie.
13580:  Może będzie ci szczęśliwy.
13583:  Co wiesz o Archangelu?
13585:  Jego oczekiwania na życie są krótkie.
13587:  Zobacz, nauczysz się tego, co musisz wiedzieć.
13589:  Jest mądry, jest skuteczny i jest niebezpieczny.
13593:  Ale mamy go skręcone.
13595:  Czy mogę ci pomóc?
13596:  Skąd przyjechał?
13598:  Kto jest on?
13598:  Nawet jego drużyna tego nie wiedziała.
13600:  Może dowiemy się więcej, kiedy będziemy mieli jego ciało.
13602:  Oczywiście, to nie ma znaczenia.
13609:  Okej.
13614:  Fantastyczne.
13615:  Nie wiem, czy to jest tatuaż naskórny, czy... Chyba tak, ale jest cudownie ten projekt.
13620:  Ja chyba najczęściej brałem Rexa i...
13635:  Jack.
13636:  Co ciekawe, jak grałem Shepardem zwykłym, bazowym, nie niezwykłą Yen.
13643:  Scholar.
13643:  Dobrze.
13665:  Zdobywamy coraz więcej informacji.
13667:  Możemy tylko i wyłącznie z Jerofem tutaj porozmawiać, nie widzę innego NPCa, z którym moglibyśmy.
13675:  To oznacza, że zdążamy dalej.
13681:  Uuu... Hakujemy!
13686:  Och, to jest to, co ja kocham.
13689:  Biała linijka kodu na górze.
13690:  Boże, przypuszczam, jak każdy, kto kiedykolwiek w życiu hackował, musi patrzeć na to z politowaniem.
13701:  Aczkolwiek, pamiętajmy... Still better hacking story than Cyberpunk 2077.
13707:  Open.
13707:  Element zero.
13719:  O, takie zagadki lubię, jak coś jest blisko siebie, zdecydowanie.
13725:  Pięknie.
13727:  Nawet nie sprawdzam, czy to jest na czas, czy nie jest, ale póki tego nie widzę, to się bardzo cieszę.
13732:  Świetnie.
13735:  Świetnie, świetnie, świetnie, świetnie, świetnie.
13741:  To jest ta część gry, która daje zawały każdemu studentowi informatyki na AGH.
13745:  Tak!
13745:  Tak.
13746:  That's not how hacking works!
13758:  Jak zwykle erudycyjny, elokwentny kroganin.
13766:  Spoiler alert, tak to jest na czas, nie musiałem tego wiedzieć.
13770:  Krogan with a plan?
13775:  Nie wydaje mi się.
13786:  Dlaczego bloodpack jest na Omega?
13788:  Jesteśmy błyskiem na tej bliskiej stacji.
13790:  Domyślam się, że grali przeciwko Polakom.
13791:  Bloodpack jest wszędzie na Omega.
13793:  Wszyscy tu.
13793:  Wydaję sobie sprawę, że Archangel głównie cię nienawidzi.
13800:  On jest po prostu głupio.
13801:  Ale on mnie kosztuje.
13803:  Będę ten, kto go dzisiaj wywołuje.
13804:  Sprawdź.
13805:  Ja jestem jedynym.
13806:  Co wiesz o Archangelu?
13808:  On jest głupio.
13809:  On jest Turianem, co sprawia, że jest trochę gorszy na wygląd.
13813:  I on jest mężczyzny, aż zrozumie, że jesteś więcej, niż on jest.
13816:  Wygląda na to, że miałeś osobistą doświadczenie.
13820:  Próbował mnie zniknąć raz.
13823:  Czekał, aż bym był sam.
13825:  Jak długo, tak jak w moim życiu.
13827:  Nie był tak ciężki po tym.
13828:  Czekaliśmy na niego ponad pół Omega.
13831:  Prawie go miałem.
13834:  Ale błyskawik zniknął, zanim moglibyśmy go zniknąć.
13838:  Powinienem iść.
13840:  Kodeks updatet.
13841:  Z wszystkimi rozmawiam, żeby nie było.
13844:  Nieważne.
13847:  A czemu nie mogę... Aha, bo nie mogę porozmawiać z jego przydupasem, niestety.
13851:  Cóż za smutek.
13857:  Tu nic nie zrobimy, już widzę.
13866:  Okej.
13871:  To właśnie robi Magini, jak widzi, że jest jakaś walka.
13875:  Stwierdza, pohakujemy sobie.
13879:  Come on, gdzie jest ten?
13882:  Tu.
13888:  O nie.
13892:  Tak, wiedziałem, że jak teraz będę... Tak, piszczy, piszczy, oczywiście.
13900:  To... Tak.
13904:  To!
13904:  To!
13912:  O nie.
13916:  Wiedziałem.
13918:  Wiedziałem, że jak się dowiem, że to jest na czas, to będę to teraz zmaszczał.
13923:  Byłem pewien.
13927:  W ogóle, dlaczego w Polsce Sportowym Narodowym jest dalej piłka?
13929:  Nie wiem dlaczego.
13930:  Ja uważam, że powinien być StarCraft.
13934:  Mamy zajebistych graczy StarCrafta.
13938:  I coraz więcej tychże.
13940:  Czemu nie mogę?
13942:  Czy nie mogę strzelać na razie?
13947:  Mamy porozmawiać ze wszystkimi freelancer.
13962:  Dobrze.
13972:  Potrzebujemy Medijelu na pewno, zawsze.
13981:  Uuu, nie mówi się tak do Ian Shepard, o nie.
13993:  No tak, tak.
13996:  Co jest jego problemem?
13997:  Dlaczego on jest tak skończony?
13999:  Nie jest wielkim fanem twojego freelancera.
14001:  Co chcesz wiedzieć?
14003:  Co Tark będzie robić, jeśli grupa infiltracyjna przeszkodzi?
14005:  Aby zacząć, będzie... Po tym zostawić Eclipse i...
14008:  Sugerowałam, żebyśmy pracowali razem, ale on nie wierzy w inne grupy.
14010:  Co jeśli Archangel przeżyje wszystkie ataki?
14012:  To dlatego Taric chce, żeby ten samolot się zniszczył tak źle.
14015:  Archangel jest dobry, ale nie może się tak długo zatrzymać.
14018:  Już jest tam przez dzień.
14019:  Co robią Blu Sons?
14020:  Sprzedawamy rzeczy do wielu z tych grup.
14022:  Wełka, mechy, maszynę, ty i tak dalej.
14024:  My też rozgrzewamy... Jak Archangel... On harasza i kłóci nas ciągle.
14027:  My się martwimy, że każda praca to zabójstwo.
14029:  Taric miał wystarczająco.
14033:  Oby Starcraft był sportem narodowym, TV musiałby przyznać, że gry istnieją.
14047:  To prawda, to bardzo poważna przeszkoda jest.
14054:  To jest niesamowite, ja myślałem, że jak Blizzard skończy wsparcie dla StarCrafta, to cała scena e-sportowa zacznie wymierać powolutku, a tymczasem nie, cały czas są organizowane mecze.
14062:  Ja dalej oglądam komentarze low-co na temat kolejnych meczy.
14066:  Ostatnio oglądałem Seriala, nigdy nie umiem go wymawiać, i Ragnaroka grających z ergami, no coś niesamowitego absolutnie, co tam się działo.
14079:  Od nas mamy cały czas Mana gra i Lazer tak samo.
14084:  Okej, z nią już porozmawialiśmy.
14087:  Z wszystkimi porozmawialiśmy!
14096:  Polecam żużel, Polak mistrzem świata dwa lata z rzędu.
14098:  No ba, zresztą, żeby było śmieszniej, jak...
14104:  Jak nie dalej, dwa dni temu czy dzień temu coś takiego Polki wygrały w reprezentacji kobiet w piłkę nożną, ale oczywiście o tym nic nikt nie mówił.
14113:  Zergowie, moja miłość.
14114:  No ja mam jeszcze z Protossów słabość, ale to dlatego, że tam są magowie, nie?
14118:  To standardowo.
14120:  Dobra, idziemy.
14124:  Kafka.
14124:  Kafka.
14130:  To musi być grupa, o której wspominała Salki.
14133:  Salki?
14133:  Znaleźliście go, kiedy zostaliście uciekani.
14137:  Tych trzech wystarczają z większości innych freelancersów.
14140:  Zespół z infiltracji jest w stanie dać nam sygnał.
14143:  Masz jakieś pytania?
14145:  To może być twój ostatni raz.
14147:  Tak, mam mnóstwo pytań, jak zawsze.
14149:  Yennefer nic nie robi przez większość tej gry, tylko zadaje pytania.
14152:  Tarek jest jedynym, kto ją pojechał.
14154:  Poza tym, ona nie ma... Kilka więcej zmniejszeń.
14157:  Dlaczego koordynujesz atak?
14160:  Jestem w grupie infiltracji.
14161:  Nasze drużyna koordynuje się z wojskiem wojskowym.
14164:  Zostaję, by zorganizować freelancerów i ubezpieczyć to, że wojskówka jest gotowa, jeśli ją potrzebujemy.
14170:  Mhm, planowy atak.
14172:  Try not to get killed too fast.
14173:  You're only a distraction as long as you're alive.
14177:  You don't have to make it all the way across.
14181:  Just keep Archangel watching that bridge.
14182:  How will the infiltration team get to Archangel?
14184:  They've got two options.
14185:  You travel in close quarters.
14187:  Finne, if that doesn't work, they have explosives.
14190:  They'll just need time to set up.
14192:  So the bridge is the only way.
14193:  Until the gunships work?
14193:  Look, just do your damn job.
14196:  Collect your credits.
14197:  Ha!
14200:  Ty, freelancerze, otrzymaj kryzys.
14210:  Zobacz, brawo drużynie!
14211:  Chodź, chodź, chodź!
14212:  Chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź
14230:  To był ten moment, kiedy kusił renegat?
14235:  Archangel jest w problemie.
14237:  Nie ma dużo czasu.
14238:  Cóż, nie czekajmy za długo.
14246:  Zostaw Garusa, on jest dobrym snajperem.
14249:  Chodź, daj tym chłopakom wyjaśnienie naszego.
14251:  Bądź gotowy do walki.
14264:  A, sabotuje się statek.
14267:  Polera.
14269:  To już rozumiem dlaczego.
14277:  Dobra, idziemy mu pomóc.
14287:  Ratunku!
14290:  Dobrze.
14294:  Tak, tak, tak, widzę, widzę, widzę.
14303:  Jesteśmy szybcy.
14319:  Żeby Garus tak snajpił, jak będzie po naszej stronie.
14333:  Ruska!
14336:  Ruska!
14339:  Ruska!
14340:  Ruska!
14342:  Ruska!
14342:  Ruska!
14343:  Ruska!
14343:  Ruska!
14343:  Ruska!
14344:  Ruska!
